n,primary_n,baseload_n,frequency,hit_rate,base_rate,lift,forward_benefit_bps,corridor_lift_min,corridor_freq_min,corridor_freq_max,quarter_lift_min,quarter_frequency_min,quarter_frequency_max,macro_year_lift,year_lift_min,year_frequency_min,year_frequency_max,trailing_days,floor_per_week,fallback_weekday,weekly_cap
273,210,63,1.0796610169491525,0.4432234432234432,0.3379032258064516,1.3116875169381135,49.86126441772941,1.1408543263964952,1.0282485875706215,1.1073446327683616,0.6293706293706293,0.875,1.2425,1.3116875169381135,1.3116875169381135,1.0796610169491525,1.0796610169491525,21,0.75,0,2
269,211,58,1.0638418079096046,0.45724907063197023,0.3379032258064516,1.353195340295091,52.10453713328357,1.1619812583668006,1.0282485875706215,1.0875706214689267,0.6656804733727811,0.8272727272727273,1.240909090909091,1.353195340295091,1.353195340295091,1.0638418079096046,1.0638418079096046,21,0.75,2,2
267,211,56,1.0559322033898306,0.4681647940074906,0.3379032258064516,1.3854996290436477,55.15703742892653,1.2173136992414102,1.0084745762711864,1.0677966101694916,0.7918552036199096,0.8113636363636363,1.240909090909091,1.3854996290436477,1.3854996290436477,1.0559322033898306,1.0559322033898306,21,0.75,3,2
273,210,63,1.0796610169491525,0.4432234432234432,0.3379032258064516,1.3116875169381135,49.86126441772941,1.1408543263964952,1.0282485875706215,1.1073446327683616,0.6293706293706293,0.875,1.2425,1.3116875169381135,1.3116875169381135,1.0796610169491525,1.0796610169491525,21,1.0,0,2
269,211,58,1.0638418079096046,0.45724907063197023,0.3379032258064516,1.353195340295091,52.10453713328357,1.1619812583668006,1.0282485875706215,1.0875706214689267,0.6656804733727811,0.8272727272727273,1.240909090909091,1.353195340295091,1.353195340295091,1.0638418079096046,1.0638418079096046,21,1.0,2,2
267,211,56,1.0559322033898306,0.4681647940074906,0.3379032258064516,1.3854996290436477,55.15703742892653,1.2173136992414102,1.0084745762711864,1.0677966101694916,0.7918552036199096,0.8113636363636363,1.240909090909091,1.3854996290436477,1.3854996290436477,1.0559322033898306,1.0559322033898306,21,1.0,3,2
296,207,89,1.1706214689265537,0.4155405405405405,0.3379032258064516,1.2297619815519576,41.1961963683284,1.0286391467509381,1.1073446327683616,1.2062146892655368,0.5968169761273209,0.9227272727272727,1.4,1.2297619815519576,1.2297619815519576,1.1706214689265537,1.1706214689265537,21,1.25,0,2
292,209,83,1.1548022598870056,0.4246575342465753,0.3379032258064516,1.2567430607774543,42.49321130408152,1.0457831325301206,1.1073446327683616,1.1864406779661016,0.6293706293706293,0.875,1.3825,1.2567430607774543,1.2567430607774543,1.1548022598870056,1.1548022598870056,21,1.25,2,2
289,210,79,1.1429378531073446,0.43944636678200694,0.3379032258064516,1.3005095341520014,44.532229644773494,1.095582329317269,1.0875706214689267,1.1864406779661016,0.7478632478632478,0.8590909090909091,1.3475,1.3005095341520014,1.3005095341520014,1.1429378531073446,1.1429378531073446,21,1.25,3,2
318,206,112,1.257627118644068,0.41823899371069184,0.3379032258064516,1.2377478572822385,40.05017314436902,1.0257147994964935,1.1864406779661016,1.3248587570621468,0.5867014341590613,0.9386363636363637,1.4875,1.2377478572822385,1.2377478572822385,1.257627118644068,1.257627118644068,21,1.5,0,2
312,208,104,1.2338983050847459,0.4198717948717949,0.3379032258064516,1.2425800134630685,40.52942274806801,1.0572752548656164,1.1864406779661016,1.2853107344632768,0.7211538461538461,0.8909090909090909,1.47,1.2425800134630685,1.2425800134630685,1.2338983050847459,1.2338983050847459,21,1.5,2,2
304,209,95,1.2022598870056498,0.4342105263157895,0.3379032258064516,1.2850144454214296,41.89526170786862,1.138267355134825,1.1666666666666667,1.2457627118644068,0.8391608391608391,0.875,1.4349999999999998,1.2850144454214296,1.2850144454214296,1.2022598870056498,1.2022598870056498,21,1.5,3,2
251,210,41,0.9926553672316385,0.46215139442231074,0.3379032258064516,1.3677034107008719,64.78143400030511,1.2549397590361446,0.9491525423728814,1.0084745762711864,0.0,0.7318181818181818,1.2249999999999999,1.3677034107008719,1.3677034107008719,0.9926553672316385,0.9926553672316385,35,0.75,0,2
247,211,36,0.9768361581920904,0.46558704453441296,0.3379032258064516,1.3778709671185492,62.67547742799632,1.2805507745266782,0.9491525423728814,1.0084745762711864,0.0,0.7159090909090909,1.2075,1.3778709671185492,1.3778709671185492,0.9768361581920904,0.9768361581920904,35,0.75,2,2
242,212,30,0.9570621468926553,0.47107438016528924,0.3379032258064516,1.3941103374820016,63.346791377295844,1.2805507745266782,0.9293785310734464,0.9689265536723164,0.0,0.6840909090909091,1.19,1.3941103374820016,1.3941103374820016,0.9570621468926553,0.9570621468926553,35,0.75,3,2
263,204,59,1.0401129943502825,0.4524714828897338,0.3379032258064516,1.3390564171438424,65.98336847869125,1.206672845227062,0.9887005649717514,1.0875706214689267,0.0,0.7318181818181818,1.295,1.3390564171438424,1.3390564171438424,1.0401129943502825,1.0401129943502825,35,1.0,0,2
258,205,53,1.0203389830508476,0.4496124031007752,0.3379032258064516,1.3305951786275925,61.424111150707084,1.1717458067564375,0.9887005649717514,1.0677966101694916,0.0,0.7159090909090909,1.2774999999999999,1.3305951786275925,1.3305951786275925,1.0203389830508476,1.0203389830508476,35,1.0,2,2
253,207,46,1.0005649717514125,0.4624505928853755,0.3379032258064516,1.3685888667729489,62.753590924508195,1.2303330970942594,0.9689265536723164,1.0282485875706215,0.13111888111888112,0.7000000000000001,1.2425,1.3685888667729489,1.3685888667729489,1.0005649717514125,1.0005649717514125,35,1.0,3,2
300,198,102,1.1864406779661016,0.42,0.3379032258064516,1.2429594272076372,53.27933989176591,1.125,1.1073446327683616,1.265536723163842,0.618131868131868,0.8909090909090909,1.4175,1.2429594272076372,1.2429594272076372,1.1864406779661016,1.1864406779661016,35,1.25,0,2
294,199,95,1.1627118644067798,0.4217687074829932,0.3379032258064516,1.248193788255159,49.46696805269655,1.1182795698924732,1.1073446327683616,1.225988700564972,0.7478632478632478,0.8590909090909091,1.4,1.248193788255159,1.248193788255159,1.1627118644067798,1.1627118644067798,35,1.25,2,2
288,205,83,1.1389830508474577,0.4409722222222222,0.3379032258064516,1.3050251922566958,52.93671566250931,1.1555555555555557,1.0875706214689267,1.1864406779661016,0.7619738751814223,0.8431818181818181,1.3475,1.3050251922566958,1.3050251922566958,1.1389830508474577,1.1389830508474577,35,1.25,3,2
322,191,131,1.2734463276836159,0.4161490683229814,0.3379032258064516,1.2315628752279162,46.63905828246093,1.0980392156862744,1.1864406779661016,1.344632768361582,0.837468982630273,0.9863636363636364,1.505,1.2315628752279162,1.2315628752279162,1.2734463276836159,1.2734463276836159,35,1.5,0,2
315,195,120,1.2457627118644068,0.4222222222222222,0.3379032258064516,1.2495359321134978,44.63613215096457,1.1204819277108435,1.1864406779661016,1.305084745762712,0.9778357235984354,0.9386363636363637,1.4875,1.2495359321134978,1.2495359321134978,1.2457627118644068,1.2457627118644068,35,1.5,2,2
307,200,107,1.2141242937853107,0.4234527687296417,0.3379032258064516,1.253177644927818,48.74640811358106,1.125,1.1468926553672316,1.265536723163842,0.9109311740890688,0.9068181818181819,1.4349999999999998,1.253177644927818,1.253177644927818,1.2141242937853107,1.2141242937853107,35,1.5,3,2
244,208,36,0.9649717514124294,0.45901639344262296,0.3379032258064516,1.3584256035056146,54.035879388172724,1.1951807228915663,0.9491525423728814,0.9887005649717514,0.7211538461538461,0.8808988764044944,1.1295454545454544,1.3584256035056146,1.3584256035056146,0.9649717514124294,0.9649717514124294,56,0.75,0,2
243,209,34,0.9610169491525424,0.4609053497942387,0.3379032258064516,1.3640158323266254,54.02328056492019,1.1951807228915663,0.9293785310734464,0.9887005649717514,0.7342657342657342,0.875,1.1295454545454544,1.3640158323266254,1.3640158323266254,0.9610169491525424,0.9610169491525424,56,0.75,2,2
240,211,29,0.9491525423728814,0.4666666666666667,0.3379032258064516,1.381066030230708,55.85327331186634,1.219572166215884,0.9293785310734464,0.9689265536723164,0.7478632478632478,0.8590909090909091,1.1295454545454544,1.381066030230708,1.381066030230708,0.9491525423728814,0.9491525423728814,56,0.75,3,2
265,201,64,1.0480225988700564,0.45660377358490567,0.3379032258064516,1.351285630657,46.896022383346335,1.1492122335495831,1.0282485875706215,1.0875706214689267,0.6962864721485411,0.9227272727272727,1.240909090909091,1.351285630657,1.351285630657,1.0480225988700564,1.0480225988700564,56,1.0,0,2
264,202,62,1.0440677966101695,0.4583333333333333,0.3379032258064516,1.3564041368337312,45.56978404579022,1.1492122335495831,1.0282485875706215,1.0875706214689267,0.7085020242914979,0.9068181818181819,1.240909090909091,1.3564041368337312,1.3564041368337312,1.0440677966101695,1.0440677966101695,56,1.0,2,2
257,204,53,1.0163841807909604,0.4591439688715953,0.3379032258064516,1.3588031537011414,45.82731383822706,1.1131585164186157,0.9887005649717514,1.0480225988700564,0.8241758241758241,0.8909090909090909,1.240909090909091,1.3588031537011414,1.3588031537011414,1.0163841807909604,1.0163841807909604,56,1.0,3,2
291,197,94,1.1508474576271188,0.4536082474226804,0.3379032258064516,1.3424205890313214,48.55563240203419,1.1008243500317059,1.0875706214689267,1.2062146892655368,0.8112980769230769,1.0181818181818183,1.3522727272727273,1.3424205890313214,1.3424205890313214,1.1508474576271188,1.1508474576271188,56,1.25,0,2
287,200,87,1.1350282485875707,0.4634146341463415,0.3379032258064516,1.3714418767099366,51.4246459823147,1.1204819277108435,1.0875706214689267,1.1864406779661016,0.9457755359394703,0.9704545454545455,1.3522727272727273,1.3714418767099366,1.3714418767099366,1.1350282485875707,1.1350282485875707,56,1.25,2,2
276,204,72,1.0915254237288137,0.463768115942029,0.3379032258064516,1.3724879803534988,54.58277988721163,1.1408543263964952,1.0282485875706215,1.1468926553672316,0.8241758241758241,0.8909090909090909,1.3522727272727273,1.3724879803534988,1.3724879803534988,1.0915254237288137,1.0915254237288137,56,1.25,3,2
318,195,123,1.257627118644068,0.44339622641509435,0.3379032258064516,1.3121988562165083,44.461753944127345,1.1032437442075997,1.1666666666666667,1.305084745762712,0.8741258741258742,1.05,1.4349999999999998,1.3121988562165083,1.3121988562165083,1.257627118644068,1.257627118644068,56,1.5,0,2
314,199,115,1.2418079096045198,0.4554140127388535,0.3379032258064516,1.347764620038612,48.48733295883734,1.1671686746987953,1.1666666666666667,1.2853107344632768,1.0989010989010988,1.0022727272727272,1.4318181818181819,1.347764620038612,1.347764620038612,1.2418079096045198,1.2418079096045198,56,1.5,2,2
301,204,97,1.1903954802259888,0.46179401993355484,0.3379032258064516,1.3666457869155322,52.98774494502337,1.185695161598776,1.1073446327683616,1.2457627118644068,0.9946949602122016,0.9227272727272727,1.4000000000000001,1.3666457869155322,1.3666457869155322,1.1903954802259888,1.1903954802259888,56,1.5,3,2
