feature,mean_importance
annual_cos,21.658880501975066
annual_sin,21.33096321178564
ap37_trailing_rate,9.723287400358803
day_of_month_scaled,7.983954489813012
known_change,6.5180674927337385
rank_ap26,4.943583291552559
rank_distributional,3.093572693444423
rank_ridge,2.6302235157376805
rank_std,2.545180438239749
log_days_since,2.442638010994223
rank_mean,2.3939819654718484
fallback_precision_margin,2.2453811216074286
rank_min,2.124621201250912
weekday_sin,1.7902242523845031
post_2022_02_24,1.4440508209420866
rank_max,1.1983679680047223
ap37_month_empty,0.7605236063839693
days_to_friday,0.7429182185079369
support_count,0.7098228926910343
core_flag,0.6636010328071107
currency_KZT,0.5778012618674476
currency_KGS,0.4930929390244187
weekday_cos,0.48438117417060744
fallback_flag,0.4393668484071114
ap37_week_used,0.40982792525770223
currency_AMD,0.24125539975098434
currency_TJS,0.23243957454525824
currency_UZS,0.1779907502900139
