date,currency,decision_at,reference_kind,local_source_term,cny_basis_last_z,cny_last_missing,cny_basis_mean_z,cny_mean_missing,cny_basis_post_z,cny_post_missing,cny_n,cny_age,cny_quality,cny_range,cny_late_z,cny_max_source,local_basis_last_z,local_last_missing,local_basis_mean_z,local_mean_missing,local_basis_post_z,local_post_missing,local_n,local_age,local_quality,local_range,local_late_z,local_max_source
2022-01-10,AMD,2022-01-10T18:30:00+03:00,effective,TOD,2.859313954316296,0.0,2.4743080789830816,0.0,2.617390362480615,0.0,47.0,20.016666666666666,0.8463641661483698,70.76893796505281,0.3445187753631252,2022-01-10T18:30:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,720.0,0.0,0.0,0.0,
2022-01-10,KGS,2022-01-10T18:30:00+03:00,effective,TOD,2.859313954316296,0.0,2.4743080789830816,0.0,2.617390362480615,0.0,47.0,20.016666666666666,0.8463641661483698,70.76893796505281,0.3445187753631252,2022-01-10T18:30:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,720.0,0.0,0.0,0.0,
2022-01-10,KZT,2022-01-10T18:30:00+03:00,effective,TOM,2.859313954316296,0.0,2.4743080789830816,0.0,2.617390362480615,0.0,47.0,20.016666666666666,0.8463641661483698,70.76893796505281,0.3445187753631252,2022-01-10T18:30:00,4.172766887052825,0.0,4.172766887052825,0.0,4.172766887052825,0.0,1.0,146.38333333333333,0.012302965581729575,0.0,0.0,2022-01-10T16:30:00
2022-01-10,TJS,2022-01-10T18:30:00+03:00,effective,TOD,2.859313954316296,0.0,2.4743080789830816,0.0,2.617390362480615,0.0,47.0,20.016666666666666,0.8463641661483698,70.76893796505281,0.3445187753631252,2022-01-10T18:30:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,720.0,0.0,0.0,0.0,
2022-01-10,UZS,2022-01-10T18:30:00+03:00,effective,TOD,2.859313954316296,0.0,2.4743080789830816,0.0,2.617390362480615,0.0,47.0,20.016666666666666,0.8463641661483698,70.76893796505281,0.3445187753631252,2022-01-10T18:30:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,720.0,0.0,0.0,0.0,
2022-01-11,AMD,2022-01-11T18:30:00+03:00,effective,TOD,-1.2879698702885574,0.0,-0.9700372608978394,0.0,-0.9578947456828995,0.0,48.0,20.016666666666666,0.8463641661483698,29.74810088543338,-0.3651343017134677,2022-01-11T18:30:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,720.0,0.0,0.0,0.0,
2022-01-11,KGS,2022-01-11T18:30:00+03:00,effective,TOD,-1.2879698702885574,0.0,-0.9700372608978394,0.0,-0.9578947456828995,0.0,48.0,20.016666666666666,0.8463641661483698,29.74810088543338,-0.3651343017134677,2022-01-11T18:30:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,720.0,0.0,0.0,0.0,
2022-01-11,KZT,2022-01-11T18:30:00+03:00,effective,TOM,-1.2879698702885574,0.0,-0.9700372608978394,0.0,-0.9578947456828995,0.0,48.0,20.016666666666666,0.8463641661483698,29.74810088543338,-0.3651343017134677,2022-01-11T18:30:00,-0.3483836199831104,0.0,-0.8815137251149098,0.0,-0.3483836199831104,0.0,2.0,143.41666666666666,0.025221826240478952,58.30920310793144,1.0662602102635619,2022-01-11T16:30:00
2022-01-11,TJS,2022-01-11T18:30:00+03:00,effective,TOD,-1.2879698702885574,0.0,-0.9700372608978394,0.0,-0.9578947456828995,0.0,48.0,20.016666666666666,0.8463641661483698,29.74810088543338,-0.3651343017134677,2022-01-11T18:30:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,720.0,0.0,0.0,0.0,
2022-01-11,UZS,2022-01-11T18:30:00+03:00,effective,TOD,-1.2879698702885574,0.0,-0.9700372608978394,0.0,-0.9578947456828995,0.0,48.0,20.016666666666666,0.8463641661483698,29.74810088543338,-0.3651343017134677,2022-01-11T18:30:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,720.0,0.0,0.0,0.0,
