candidate,min_lift,mean_lift,min_rate,max_rate,min_forward,min_symmetric,cadence_penalty,selection_value,min_benefit_lower_ci,max_weekly_signals,early_forward_ratio_min,joint_early_pass
past_hist_urgent_cap2,1.0966469943072021,1.1270230396367362,1.2415902140672783,1.3058103975535167,15.76824718863658,-0.7243244292314622,0.0,1.0966469943072021,-39.04236826349221,2,0.21600702099114116,False
past_logit_urgent_cap2,0.9305555555555556,0.9926650857284145,0.7492354740061162,0.8562691131498471,16.872303220054675,0.8826849046376783,0.25076452599388377,0.42902650356778804,-72.09254142358199,2,0.15232613804762365,False
past_survival_h5_urgent_cap2,1.0075951864273032,1.0429036050242833,1.1773700305810397,1.2415902140672783,16.772315441133184,-1.9087220153704891,0.0,1.0075951864273032,-37.13603662736838,2,0.22976161206895426,False
past_survival_mean_urgent_cap2,1.0331296896141704,1.0567196145261148,1.1345565749235473,1.2629969418960245,15.904837136067844,-3.3857700299138016,0.0,1.0331296896141704,-39.273748257499584,2,0.21787814764770613,False
announced_hist_urgent_cap2,1.7539939438237442,1.8105537972663732,1.2415902140672783,1.2844036697247707,75.90924501432251,25.478555199765523,0.0,1.7539939438237442,22.002396969947714,2,1.0398701697831652,True
announced_hist_gated_urgent_cap2,1.7539939438237442,1.8105537972663732,1.2415902140672783,1.2844036697247707,75.90924501432251,25.478555199765523,0.0,1.7539939438237442,22.002396969947714,2,1.0398701697831652,True
announced_logit_urgent_cap2,1.6440032465505403,1.6656318904968663,1.0703363914373087,1.2201834862385321,76.9362895084812,27.161606848768788,0.0,1.6440032465505403,-8.129510528065508,2,0.8158607915540365,False
announced_logit_gated_urgent_cap2,1.7548763082778307,1.7830818995512137,1.0061162079510704,1.1773700305810397,85.04046603573528,30.312585980726467,0.0,1.7548763082778307,-8.538693514810758,2,0.8892292510032636,False
announced_survival_h5_urgent_cap2,1.7473226238286481,1.810596446692204,1.198776758409786,1.3272171253822629,77.47980297957056,27.162638352535225,0.0,1.7473226238286481,23.480523107504773,2,1.0472703689974494,True
announced_survival_h5_gated_urgent_cap2,1.752963661251582,1.8161785398053607,1.1773700305810397,1.3272171253822629,77.78297601134092,27.180165662611408,0.0,1.752963661251582,23.485566960151203,2,1.0516032145460532,True
