information,model,period,n,brier_h5
past,hist,early,1135,0.26143058944075487
past,logit,early,1135,0.30948192638118377
past,survival_h5,early,1135,0.26462256686035734
past,hist,later,3260,0.23635216599959855
past,logit,later,3260,0.2220547916348637
past,survival_h5,later,3260,0.23085218309884764
announced,hist,early,1135,0.1304098511831909
announced,logit,early,1135,0.2445893579511221
announced,survival_h5,early,1135,0.1263924749042214
announced,hist,later,3260,0.12859506327309217
announced,logit,later,3260,0.12855404085457584
announced,survival_h5,later,3260,0.13021395816439074
market,hist,early,1135,0.12621023510899138
market,logit,early,1135,0.2108620047078147
market,survival_h5,early,1135,0.12515351094175373
market,hist,later,3260,0.11287628796611922
market,logit,later,3260,0.12018006916767326
market,survival_h5,later,3260,0.11407538714384761
past_market,hist,early,1135,0.17729387994800327
past_market,logit,early,1135,0.2673226913749175
past_market,survival_h5,early,1135,0.19092983271311667
past_market,hist,later,3260,0.15585180770753548
past_market,logit,later,3260,0.16205719827738013
past_market,survival_h5,later,3260,0.15033165066186446
