origin,n_train,n_query,model_fit,target_clip_lo,target_clip_hi,intercept,coefficients,last_target_maturity,h
2024-04-01,589,101,True,-532.4272754871793,218.74991202441706,-89.76648114698588,"[-84.37110787681861, 36.55141425161783, 30.350724845970337, -7.207693284241463, 1.155390458160481, -21.18096341432206, 0.6202005933919139, -1.8456130965044328, -2.7307217856889086, 0.620200593391915, 1.442762549363699, -3.278497248326842, -7.23958393157759, 6.480793419580289, 0.0, 5.71961067758035]",2024-03-29,5
2024-07-01,689,109,True,-501.2261087599721,210.30833432190968,-98.39293992480623,"[-81.83100133921259, 33.57574219769601, 29.03968883886277, -6.49926281826194, 1.5646122451928504, -21.3618566610458, 0.8379507648952793, -2.503865137215397, -3.8233570552485734, 0.8379507648952834, -8.645389216689953, -5.110181185259009, -5.49740099100829, 7.596325709233669, 0.0, 3.798041112095102]",2024-06-28,5
2024-10-01,799,109,True,-479.7225119447149,233.68197284977433,-94.07633882839795,"[-91.56765100268665, 30.92537151992242, 29.09270169832955, -8.898436618657797, 4.991438190541784, -15.596701863134122, 0.167578010230167, -0.18321315236598285, -2.27942107060177, 0.1675780102301772, -1.7652107921789129, -5.565298136023391, -4.087644444655635, 7.233648694703355, 0.0, 3.22281634126249]",2024-09-27,5
2025-01-01,908,94,True,-511.5569455815284,247.46144993464404,-91.3408874092297,"[-88.93088358016435, 31.892160706411907, 29.85087346660607, -10.965431220511952, 8.821266538391017, -18.26985393078685, 0.3627274009458088, 0.7714444170452667, -1.521450776925496, 0.3627274009458089, 1.4548209641146073, -6.230396595281401, 1.7058175118618195, 3.889008358970094, 0.0, 3.436084480742668]",2024-12-29,5
2025-04-01,1001,93,True,-492.6037262432918,274.5256631310043,-87.09564603175996,"[-85.79710638497714, 31.296471834355785, 29.86003641248537, -12.858282574749184, 10.123277437289275, -13.550759692881106, 1.8062992655890506, -3.88387375011216, -0.808004132435088, 1.806299265589048, 2.7035074157720995, -5.6872415638874525, 3.0494164965712587, 2.1716324025000247, 0.0, 4.596796837418795]",2025-03-28,5
2025-07-01,1096,102,True,-469.84852915654847,260.64135152806614,-80.20649354983757,"[-81.58285270168132, 28.77279590180296, 26.12560800673602, -14.100830262167449, 8.79230618210673, -12.065215414105912, 4.4355612583750625, -2.2188135106149622, -2.8484177791671774, 4.435561258375066, 2.837384454071757, -2.4071589203159043, 3.6206438890150245, -1.2440108659047147, 0.0, 4.317919799901944]",2025-06-27,5
2025-10-01,1196,99,True,-450.13454699341446,257.59088930867836,-73.7627632273764,"[-77.0399844180736, 27.05521489043519, 24.026526794091442, -14.782134993436953, 8.852892059196186, -12.311238668054333, 1.1555011946668778, -4.321417979127876, -4.327619720450989, 1.1555011946668647, 1.8121203336672533, -1.455882391012796, 0.9811029839508513, 0.14261932407149955, 0.0, 2.37345624455651]",2025-09-26,5
2026-01-01,1294,82,True,-429.60666001178936,256.51783642019893,-66.57517121197694,"[-75.01460414185564, 24.425101089042855, 22.571899310339973, -12.960080955835993, 8.7449513977984, -12.272151977574962, -1.214906887097468, -3.291788446340079, -6.659065270975752, -1.214906887097481, 1.52917971489551, -1.8524115624796331, -1.6740611943544128, 2.6119793275598333, 0.0, 0.7846831664472224]",2025-12-26,5
2026-04-01,1379,87,True,-420.2130213645947,259.49377611565404,-60.04625703098812,"[-70.70466039222617, 23.00492850381963, 21.00478831708843, -12.14531870575855, 8.292535344942632, -12.737513120075278, -3.3722293360240907, -1.387697304935514, -8.939303425010566, -3.3722293360241014, 1.0517860748684722, -2.63270721456034, -4.162038733365432, 4.842842145532864, 0.0, 0.7016287507148213]",2026-03-27,5
2026-07-01,1462,73,True,-413.9829912308075,257.92136302035647,-57.077088876773715,"[-68.56674062665611, 23.443705702128014, 20.69160658307818, -12.05546145868599, 8.10595750220346, -12.569566824336174, -3.072418167822924, -1.6983858148212048, -7.048318488474819, -3.0724181678229305, 0.9449930383092727, -2.6579781133069083, -3.2004310359329002, 4.151278033167136, 0.0, 1.1613836370437949]",2026-06-26,5
2026-10-01,1538,0,True,-406.97578851256065,271.7166864602898,-46.015890059219494,"[-67.8268809379163, 23.50220875820716, 23.212550705576373, -11.830723200388382, 9.198677484311794, -10.510579286603535, -5.326390188960492, -1.4558000288804862, -8.116766767286279, -5.326390188960499, -0.17681413874971563, -3.0563465531729137, -6.5909416747958804, 6.768366972662602, 0.0, -0.09050475056435224]",2026-09-02,5
2023-01-01,0,93,False,,,,[],,10
2023-04-01,73,139,False,,,,[],,10
2023-07-01,200,134,True,-688.8650286068076,318.68042616609597,-185.89480273337665,"[-100.45036230347938, 23.41396744432406, 20.985753414671844, 4.862486940656211, 14.929873284543374, -15.633001406797938, 2.5484023958608764, 1.5310129301040873, -2.318400284259566, 2.548402395860878, 15.652054960955295, -15.322390914718035, -3.4418272235886453, 15.924174404673598, 0.0, 3.3092690624814747]",2023-06-28,10
2023-10-01,345,119,True,-827.0382901713182,251.60373285268807,-225.85026723477387,"[-113.19620959721081, 38.063425392993885, 33.36799602235899, 2.8928839362497207, 10.651636896104156, -36.501102493385446, 0.3581723770785029, -2.0317151766166335, -5.521572798578238, 0.35817237707849725, 8.862765082365637, -10.918789858277826, -7.024089969255417, 14.036385388583218, 0.0, 4.720506356156852]",2023-09-28,10
2024-01-01,464,112,True,-776.307584013726,241.6253161751196,-221.8584291795417,"[-114.54552650248581, 38.94791738586035, 33.758211788406925, -2.639688789980565, 9.780173669647727, -30.571670133432093, 2.220888934232199, -7.395889435241775, -2.306473761168486, 2.2208889342322027, 1.6049814258561437, -9.500426293884294, -3.9289449223953996, 9.679782101260102, 0.0, 6.232433330981755]",2023-12-29,10
2024-04-01,580,101,True,-753.2185993979016,231.85151890415796,-200.9047444600287,"[-118.77985270970764, 39.61634828185687, 32.10481964407398, -5.849770567932811, 6.61979363351993, -32.525819314082, 0.3582091604930216, -5.572833375849381, -3.271201247907382, 0.35820916049301327, 2.8856782680811808, -7.767701435122631, -4.151092558621797, 8.89830191228826, 0.0, 4.942283402931161]",2024-03-29,10
2024-07-01,680,109,True,-712.8781804244051,221.82169275442396,-215.31418517394238,"[-118.37821783012346, 33.0308383642541, 29.948379612306002, -6.295081119346768, 6.881281086806702, -22.216588205892005, 0.19073843104076232, -5.185600773513642, -5.683175533000773, 0.19073843104075724, -12.193968931553737, -9.540830277929782, -3.805365116467497, 11.687177839581045, 0.0, 1.498831634204552]",2024-06-28,10
2024-10-01,791,109,True,-691.7040395409194,265.698303928743,-195.52963764981197,"[-133.21117949264146, 36.100175117537106, 31.409323728763702, -9.625999231841988, 7.3038638545993875, -20.27838006994465, -1.0812115724975004, -0.8375320562930699, -4.3829929268241585, -1.08121157249749, -0.05223342634998355, -8.061476944078173, -4.021807816869927, 10.822982391304548, 0.0, 0.1242425306838851]",2024-09-27,10
2025-01-01,901,94,True,-703.6120499505325,261.41188616824695,-186.8620744317854,"[-127.63365246926396, 36.49140410542878, 31.12761745516519, -8.42142252293376, 9.436624166328045, -25.433304938557566, -2.307996668210754, -1.2089952919622955, -3.146004249536568, -2.3079966682107567, 1.048189598901973, -9.078481288634354, 1.0921183720085095, 8.377396865008158, 0.0, -0.17064673277820475]",2024-12-29,10
2025-04-01,994,93,True,-690.2263729976877,318.41832202463576,-181.29421279606117,"[-125.18451306082663, 35.6557673501858, 31.29385436510951, -8.134934967651743, 10.937452151636812, -20.175616025404327, 2.632420850712318, -4.421962434198769, -1.8497298781629596, 2.6324208507123257, 5.379457697106658, -9.011764682889257, 5.316959102460448, 4.511635366629323, 0.0, 2.988743275821832]",2025-03-28,10
2025-07-01,1088,102,True,-679.745051013856,294.3339908316633,-169.49468191923307,"[-119.96672795905138, 33.67225101664534, 28.18633705221184, -11.175577069462062, 8.67922929368333, -16.67794336113713, 5.360847232961047, -1.6810292253992511, -3.3354321462922836, 5.36084723296104, 5.521876717247814, -4.675870210530476, 5.13894775636706, 0.6221412395178326, 0.0, 2.4676575396900176]",2025-06-27,10
2025-10-01,1188,99,True,-674.7144533040123,284.23801890403604,-155.2684465487892,"[-115.25956367930758, 31.290662275714336, 24.67859835567343, -12.994436126380023, 8.416076902669113, -17.317203125103923, -1.2628548425523576, -5.825279500637309, -9.033117852438757, -1.262854842552342, 4.0149079479057095, -3.218978855234912, -1.336856833069701, 4.502755547478752, 0.0, -1.567320573205539]",2025-09-26,10
2026-01-01,1286,82,True,-665.6566223377151,288.3013993131638,-142.30243762255648,"[-115.58140367051102, 27.638854617963464, 23.106569381669434, -13.122572541967122, 7.720410717288983, -16.169850274982966, -3.965517522991073, -3.385204091368289, -11.37856289315138, -3.965517522991071, 3.6587197630496857, -2.976084003531457, -4.756747621260053, 6.780088149037611, 0.0, -3.4426357407777557]",2025-12-26,10
2026-04-01,1370,87,True,-655.8837635782736,305.0455837417945,-128.4291732726863,"[-112.69504181094214, 25.198831939878858, 21.45646567745903, -12.5414398629349, 8.933981238241735, -15.805533170896497, -7.869579135043293, -0.4167437730078595, -12.726924598498911, -7.869579135043265, 2.5061903418599134, -3.7818363625784013, -9.038030944387916, 9.993557091507716, 0.0, -3.4477468061358296]",2026-03-27,10
2026-07-01,1455,73,True,-651.9929780130287,304.6849605766894,-123.39012085178928,"[-107.90526255122852, 26.34227578673279, 20.35073331634122, -12.289687394253585, 9.143072806951858, -16.110769950817982, -6.933428437174872, 0.06707447488296818, -10.597122273550855, -6.933428437174873, 2.8969481289844365, -3.813306955686372, -6.9739101339779035, 8.490364181347214, 0.0, -2.5906639718147817]",2026-06-26,10
2026-10-01,1531,0,True,-644.0727695763777,362.7559453927717,-101.41402159389753,"[-112.10904180733993, 27.610930255281595, 26.0061469066186, -11.572103313272946, 11.015770017524279, -15.792565045864372, -11.21106489530011, -0.3300637545073867, -13.791887509397341, -11.211064895300101, 1.5031586054191286, -4.349802264015936, -12.249603856392651, 12.408997625516902, 0.0, -4.425075568262433]",2026-09-02,10
2023-01-01,0,93,False,,,,[],,20
2023-04-01,59,139,False,,,,[],,20
2023-07-01,180,134,False,,,,[],,20
2023-10-01,326,119,True,-789.6502221514011,1048.8329580813036,157.92996560727772,"[-206.6367477094864, 36.562089748945354, 30.600945009259384, -6.461599966304167, 4.17650423140913, -55.99997101837082, -3.5720777702263224, 1.6408573151767063, -9.911740576410807, -3.572077770226316, 8.370599471985448, -2.247253373042799, -24.90835778687982, 21.0312624074608, 0.0, 1.5730191470965522]",2023-09-28,20
2024-01-01,445,112,True,-906.8219400658727,982.5613467545069,1.1703254049547611,"[-246.6957024110189, 54.900454125055994, 41.94311556614105, -16.577035893933964, 11.90920796989552, -46.158346232288075, -3.537653381767152, -8.38962259787403, -6.293853207337069, -3.5376533817671594, -18.4919139064485, -2.167592915546591, -17.149947085022152, 12.655997080846014, 0.0, 5.216635530894383]",2023-12-29,20
2024-04-01,560,101,True,-827.6403893412732,907.6165146045888,-29.069853883430056,"[-225.4601470113377, 53.13125196307595, 38.33066383935382, -17.89184267424296, 6.73485449158175, -42.89425277439151, -2.8083788738088935, -5.130018880107436, -6.151314071244787, -2.8083788738088997, -25.65238147070835, -3.2439619960697357, -18.736158771660378, 14.819962379831637, 0.0, 6.536595391398436]",2024-03-29,20
2024-07-01,664,109,True,-919.460162186933,838.9470450202936,-100.16928632757477,"[-261.11560592482607, 46.772479123295156, 37.189199393520994, -16.45847695469241, 9.445882333042347, -29.43789713974449, -3.019945393089226, -4.470949991126983, -8.515820858440515, -3.0199453930892424, -24.788411661506398, -1.2857593718241058, -15.36947284309507, 12.330547102155274, 0.0, 0.4501830013415843]",2024-06-28,20
2024-10-01,774,109,True,-941.5529922286624,821.5562049785391,-125.08385181403487,"[-266.8052724794602, 44.63583710149828, 39.450545680103225, -15.226230682361242, 14.362999657550837, -26.473425289967796, -1.3226753724298799, 1.40810785774372, -7.510718304049038, -1.3226753724298812, -24.622035935819735, -3.1573724137456445, -12.433639989822755, 11.470904101718915, 0.0, 1.30053176129304]",2024-09-27,20
2025-01-01,884,94,True,-938.5657044374447,797.9858655045794,-136.76992469015704,"[-246.34791832834694, 45.97895777410897, 38.9181699137282, -13.785351313982604, 13.040161816457921, -31.5302074904805, 0.1480299426316154, 1.5192972007041476, -8.269335405433388, 0.14802994263161323, -16.0351951360397, -4.604138320260192, -3.5291905922954627, 6.156240395757836, 0.0, 2.3818054983567385]",2024-12-29,20
2025-04-01,977,93,True,-926.1194793237104,771.3070998660222,-153.75128795661342,"[-217.77532054637504, 44.721199083995636, 44.81076346871702, -12.58124053755338, 19.82149022023632, -28.121937363403585, 19.879206852321275, -1.5233434662438965, -13.986983408240029, 19.879206852321293, -7.685822166547893, -6.888892819952525, 14.050291232875237, -7.227530859689435, 0.0, 14.541372914753252]",2025-03-28,20
2025-07-01,1074,102,True,-918.4597640587701,761.5633933681693,-168.00499636600082,"[-203.07970359753344, 40.066900901330534, 40.26541400633051, -18.681643604362392, 18.99147569863822, -21.306395436789018, 38.29523141909326, -2.553695218679472, -11.814228985854793, 38.29523141909322, -2.6853037365194674, 1.5769416924458624, 29.3262657745192, -27.357684558873498, 0.0, 22.18411799975133]",2025-06-28,20
2025-10-01,1171,99,True,-915.9236268145094,739.3000036528427,-153.56579599654765,"[-197.31363285477875, 36.9723889073991, 35.83307504687681, -20.4233567440674, 17.836103980031478, -21.470254966254775, 27.17570641345533, -8.276010806282912, -20.674714028475005, 27.175706413455348, -3.554919427851431, 3.5291153672947213, 17.931687122714962, -19.168596774968414, 0.0, 15.259302621833251]",2025-09-26,20
2026-01-01,1270,82,True,-908.7738925736764,710.0744676506305,-147.14185047794317,"[-192.7889518253732, 32.74099402714948, 33.11380046792437, -18.988859097951515, 17.251781389477696, -21.51528050948605, 21.342883886609773, -6.81700207798796, -21.428626314727655, 21.342883886609815, -3.1505101663188593, 1.1465243193729444, 14.299734726891101, -13.238251226209124, 0.0, 12.337036373271646]",2025-12-26,20
2026-04-01,1357,87,True,-888.3566471648865,698.1485123059301,-128.05907464794805,"[-189.79095476452102, 29.306883013098542, 28.47213225219498, -17.514496088218824, 15.159744673167197, -18.831966481095012, 14.030267796176643, -1.590433516830344, -24.076586193816507, 14.030267796176656, -4.39507670254618, -0.9318098376822072, 5.924877815465914, -5.7137500089675, 0.0, 11.183076150646288]",2026-03-28,20
2026-07-01,1442,73,True,-871.0547027394057,676.569000849859,-122.83527199238482,"[-173.57630632884462, 27.561368896706846, 26.876772988014064, -19.130692322645366, 14.69245636664183, -19.236913927869193, 12.279350942024617, -1.5242829827342201, -20.335271700205038, 12.279350942024568, -5.906947290555962, -3.245655052807724, 6.701642174348172, -3.7307261383237615, 0.0, 11.419695788588346]",2026-06-27,20
2026-10-01,1514,0,True,-864.4327208108461,703.8990574747648,-91.40332701884121,"[-177.4830713542554, 30.741815547139804, 35.314428725468105, -16.650599597359125, 15.819734691118535, -22.146949313606985, 3.771031962261583, -2.6292926034385067, -27.195985775908113, 3.771031962261549, -7.549910055262573, -3.809105238169811, -2.861386620235491, 3.462413893259512, 0.0, 7.210902650719072]",2026-09-02,20
