origin,n_train,n_query,model_fit,target_clip_lo,target_clip_hi,intercept,coefficients,last_target_maturity,h
2023-01-01,0,93,False,,,,[],,1
2023-04-01,87,139,False,,,,[],,1
2023-07-01,223,134,True,-109.28600540961698,288.12585859830966,78.005352178574,"[-37.75160591595206, 19.28920921832323, 9.754572844561423, -0.26482854786280485, -4.044707105011851, -8.3608520938347, 2.1633685820810005, 1.0897641702308392, -0.7937110453395259, 2.163368582081002, -2.6978523684749396, -1.1020085452370465, -5.065421279840771, 2.780045547912289, 0.0, 3.684278375472031]",2023-06-28,1
2023-10-01,360,119,True,-214.30272589284593,274.07442442693787,23.31246566403676,"[-58.463814516291045, 27.24989886264017, 16.084485518145904, -0.007308329328123754, -3.7009640467641223, -10.557576357517569, 2.4334681001302108, -2.257081270759764, 0.7498353815246103, 2.433468100130214, -2.6122751159494464, 0.042725282371185516, -5.346901951168209, 1.1330605809346914, 0.0, 6.050904383313567]",2023-09-28,1
2024-01-01,482,112,True,-207.46787092198818,239.57361254831386,23.120505077656997,"[-56.97208855503149, 29.877852630971333, 17.99151529247484, -1.3500512049940574, -3.0077387910924256, -12.652232457563727, 1.8653892519076114, -1.1944000023887027, -0.7307941012601707, 1.8653892519076056, -3.9875611061795455, 0.4246986976578428, -5.829081419661643, 1.7190221870674245, 0.0, 5.254367666459558]",2023-12-29,1
2024-04-01,595,101,True,-190.59903366096034,230.0092029460906,18.52051310494658,"[-54.59081135756692, 27.736482211841746, 16.27073008638853, -3.246748088913434, -3.2858325438085774, -9.76657333061532, 1.320933982673511, -1.157010948453837, -1.394206534824241, 1.3209339826735131, -3.6554405577946794, -0.37030255831823167, -6.1539731232462005, 2.953738257242021, 0.0, 5.207821787579277]",2024-03-29,1
2024-07-01,696,109,True,-205.6294201838195,225.9537081776034,11.104072553805697,"[-52.64027250120597, 28.870279776636526, 17.44882708295608, -3.6266398420775134, -0.39158973944843695, -12.684801683229043, 1.8033037494593374, -1.2577880864755953, -1.628710155411184, 1.803303749459332, -5.019441757384498, -1.7666050423693986, -4.263397409598077, 2.7960470419787216, 0.0, 5.265485537133758]",2024-06-28,1
2024-10-01,807,109,True,-218.15536099210513,225.30572689967664,7.029386668492039,"[-57.87535486628168, 27.551446994965687, 16.664657900571584, -3.678519653443993, 3.213258198965456, -12.133071356645045, 2.409760306782936, 1.376273436904904, -2.136307267726145, 2.4097603067829265, -0.4557794352124977, -3.018438697866499, -2.216677196464798, 2.6020943926148, 0.0, 5.362600740257547]",2024-09-28,1
2025-01-01,916,94,True,-224.00062539004873,224.47211945775837,5.7971668318940335,"[-52.672622656302174, 24.447291538760133, 16.78395924642893, -8.345687636877368, 6.17149840009099, -10.063713464492958, 2.2496848127756834, 3.116274948556784, -1.379734553450215, 2.2496848127756794, 0.8122426964643727, -3.957626875574629, 1.65009211144608, 1.1836561880254197, 0.0, 4.852937094790703]",2024-12-29,1
2025-04-01,1010,93,True,-223.20416340019244,221.7256022539225,3.391115042420109,"[-47.06181765192598, 22.325292863886798, 18.376140643128004, -10.002260726681346, 6.43143623220662, -9.730616636353348, 4.041498939642463, 3.1612264470686156, -3.1893905816270753, 4.0414989396424685, 2.3978991232437097, -2.841209865722416, 2.631328000083138, -0.7077786115204496, 0.0, 5.578994009312056]",2025-03-29,1
2025-07-01,1103,102,True,-219.9540901191635,216.77825679507777,3.154975890190257,"[-44.00301928668599, 20.94017958249595, 16.121334251256418, -10.482110427812328, 5.719301145163666, -8.752277249990302, 5.68539141107128, 2.841033538436888, -3.7183461488556984, 5.6853914110712775, 2.494205793365433, -1.0726549363752633, 3.6186811549840545, -3.0129394109211436, 0.0, 5.759364953126301]",2025-06-28,1
2025-10-01,1203,99,True,-213.8566398475451,213.9479264360652,2.518364212098917,"[-40.89961104689098, 20.904461549471655, 15.387996255960125, -9.889746172358365, 5.798057551819838, -7.922177299890671, 5.5331536957020075, 2.7537681603397344, -2.7049196228479793, 5.533153695702011, 1.9622527774932752, -0.26425592486419486, 3.4088364718324438, -3.476646682770812, 0.0, 5.568693603424763]",2025-09-27,1
2026-01-01,1302,82,True,-203.97505573322977,212.4503014059888,3.3592672418276983,"[-37.96965533371521, 19.33629607421088, 14.290152636736707, -9.252202510600194, 5.803692425400975, -7.582380894242586, 3.8081217056946977, 1.661711555049137, -3.7141120121768574, 3.8081217056947003, 1.5407354321455684, -0.7027703166573477, 1.9606671322457858, -1.7851180455112803, 0.0, 4.649453352065554]",2025-12-27,1
2026-04-01,1385,87,True,-200.01792327631662,211.60034285645244,4.481601849740608,"[-35.57010006256893, 18.641218037537463, 14.136172185759385, -9.227809069129385, 6.140947030681787, -6.995235884677883, 2.9166074788837744, 2.19154858147475, -4.351209252885875, 2.9166074788837775, 1.267941509111299, -1.052922424393711, 1.1573909116151593, -0.9047462481886194, 0.0, 4.546619427318108]",2026-03-28,1
2026-07-01,1470,73,True,-199.5328088678222,208.25283397418318,4.65695251763489,"[-33.11360371275526, 17.09665624552105, 13.901278111366075, -9.766024534323526, 5.3577478776819465, -4.889564969456965, 2.6940900163865384, 0.925563410172529, -2.772374941758525, 2.6940900163865393, 0.751366677729723, -1.0269277483831947, 0.8833999825199131, -0.6848182109283022, 0.0, 4.410827301875312]",2026-06-27,1
2026-10-01,1544,0,True,-195.45910091417826,206.7545733630128,4.9739330959389765,"[-31.187057311463807, 16.071965814362567, 13.493332201741742, -8.549077351425305, 5.560594201995826, -4.4457938897625215, 2.3445112990609323, 1.2141403594469704, -2.217318422691892, 2.344511299060929, 0.5020772908182991, -1.5091012622939064, 0.6561273992291736, 0.0066986297865687505, 0.0, 4.2353785552838525]",2026-09-02,1
2023-01-01,0,93,False,,,,[],,3
2023-04-01,85,139,False,,,,[],,3
2023-07-01,220,134,True,-269.1696953543568,295.2628111504873,10.129271225093696,"[-45.65723141717642, 23.544850018146178, 18.120526708033932, -0.26587613321788645, 1.804825568074055, -12.190464346203893, 1.7480946417517527, 2.24025142241514, -1.8758316908313912, 1.7480946417517498, -1.3990894194110657, -5.14646013597205, -5.142372017684808, 6.368158539526626, 0.0, 4.525878466106026]",2023-06-28,3
2023-10-01,356,119,True,-526.0282080557731,272.575495921302,-49.1921702295841,"[-72.58694868893271, 41.3369583677945, 31.65482421276639, -2.076337650445522, 3.1787310067745893, -25.948655641449093, 1.8028577977005475, 0.40837318580088755, -2.047576323809297, 1.8028577977005475, 3.627653301917072, -2.284458475446654, -7.575646942593411, 4.567548416647958, 0.0, 7.2714298998541755]",2023-09-27,3
2024-01-01,477,112,True,-459.54354205531814,269.7018436710513,-33.782297466155335,"[-77.0092465494594, 40.27872468594528, 30.90648759671105, -3.266972871284691, 2.527965883974059, -24.044844538957868, 1.574732168217633, -0.7580583333830185, -2.123644588687567, 1.5747321682176298, 2.966040371040714, -1.554998860664022, -6.6971703100961815, 3.756624373471137, 0.0, 6.580290120204146]",2023-12-29,3
2024-04-01,591,101,True,-410.3296840990641,239.72730072046295,-36.214687887300386,"[-74.73949497498535, 37.12850660869126, 26.94359031830141, -5.679323916990943, 0.42700645677950444, -19.0612604294353, 0.314676176937391, -1.651067845148523, -2.5441870122083547, 0.31467617693739236, 0.752835185617273, -1.755486681676215, -8.170625980070708, 5.5464893494962135, 0.0, 6.025863729586388]",2024-03-29,3
2024-07-01,691,109,True,-402.5512374576464,234.85764722721902,-44.8816705107647,"[-71.92698437900124, 35.632738122590304, 28.02608089062337, -5.313600836012804, 1.046354218262567, -23.666781203327265, 0.7648363625022565, -1.2480927274125346, -3.9221052336364264, 0.7648363625022488, -6.525555317501257, -4.089530690444872, -6.0755152457777974, 6.619932139943266, 0.0, 4.754183542609272]",2024-06-28,3
2024-10-01,803,109,True,-410.6130745320585,243.23043511929043,-47.505568047222866,"[-80.99694931905393, 32.87022432280102, 27.977720860784483, -7.013934485500573, 5.439434052632478, -20.03100856303453, 1.1075852441315477, 1.3601344911824036, -3.0932638803199692, 1.107585244131548, -1.174814561271622, -5.071623784725709, -3.8675310775687626, 5.983151572941563, 0.0, 4.867881642579323]",2024-09-28,3
2025-01-01,912,94,True,-428.13854712473113,247.85233444085117,-45.70316352952828,"[-76.96953458093355, 32.67308897586429, 28.475932451590275, -11.97165995947383, 9.672320088569029, -19.757021127748025, 0.25999579071706724, 3.484197826795305, -1.8195200285131803, 0.2599957907170704, 1.6995206586039189, -5.8790956048582546, 0.7758276336445643, 3.8677608823029206, 0.0, 4.31151745785933]",2024-12-29,3
2025-04-01,1006,93,True,-420.5658413207092,265.8273290926596,-43.60503991449265,"[-71.7961026917252, 32.01433774471863, 29.154965578279374, -14.434319134964621, 10.31750779338725, -16.55868803156498, 1.963476663932177, 0.6437582862174728, -2.3190727059224976, 1.9634766639321775, 3.0329168237856963, -4.880074749940872, 2.1730332173269518, 1.7132904546151562, 0.0, 5.298787400227023]",2025-03-29,3
2025-07-01,1100,102,True,-402.49263759397064,247.31281064308178,-39.45065171972257,"[-67.80604766682859, 29.88380020443985, 24.84524485652561, -15.29992061668945, 8.710568723168599, -14.450144017849325, 4.0879373367811045, 0.9251630582388498, -3.6851436163381908, 4.087937336781099, 3.023327472114286, -2.0565227824641372, 2.7087801136463527, -1.2308248415387513, 0.0, 5.024854366443227]",2025-06-28,3
2025-10-01,1199,99,True,-385.96494203289535,242.26902651150002,-37.040675104021254,"[-63.457208749669896, 28.79116576722222, 23.65883494348321, -15.556318050034196, 9.027325957253774, -13.66892911398776, 2.9386254244381766, -0.3396818430865695, -2.9436876233577722, 2.9386254244381806, 2.1050002580551808, -0.9256054671207579, 2.083818022927484, -1.639510677515307, 0.0, 4.317605572551198]",2025-09-27,3
2026-01-01,1298,82,True,-377.34375463137945,239.4896400968508,-32.78325494358108,"[-60.72268546643298, 26.437231499816225, 22.396461750586102, -13.743003230060573, 8.984647139757442, -14.013456134010298, 0.2420900151239037, -0.6598199076435157, -4.6441621259995935, 0.24209001512390418, 1.6943146586199804, -1.6834000135674845, -0.13702165136550587, 0.9289704498707583, 0.0, 2.899942489514827]",2025-12-27,3
2026-04-01,1382,87,True,-355.9402969509093,239.25060646265763,-28.425127620233255,"[-56.72142289199561, 25.326600731591224, 21.218521444105342, -13.245410879785966, 8.455400457858472, -13.616229998678742, -1.1358285219109965, 0.3833346009125835, -6.9081507540603235, -1.1358285219109983, 1.287650985941745, -2.165471062931031, -1.9169266036241264, 2.482396256115147, 0.0, 2.7907521584012613]",2026-03-28,3
2026-07-01,1466,73,True,-352.7593274367471,237.4704690661236,-26.47305687091426,"[-54.29433926542996, 24.881612836523374, 20.66921529782275, -13.42099101182657, 8.255482673687728, -12.152236666038151, -1.1999818664367088, -0.4751215376537171, -4.962037981031658, -1.1999818664367168, 0.9927968019967086, -2.0619845790694598, -1.6746716268454922, 2.198774461508114, 0.0, 2.9458645774987926]",2026-06-27,3
2026-10-01,1542,0,True,-334.14588993570203,240.82033801886277,-20.606157692982823,"[-51.88257334371983, 23.927567813176648, 21.67515834189913, -12.873846177790838, 8.39833340210611, -10.446306457370625, -2.2640552806950103, -0.15898395020857062, -5.224361123237467, -2.2640552806950094, 0.10520257230259857, -2.581290075303959, -3.3963126161759063, 3.8959558850203417, 0.0, 2.173498646609148]",2026-09-02,3
2023-01-01,0,93,False,,,,[],,5
2023-04-01,81,139,False,,,,[],,5
2023-07-01,214,134,True,-387.24606267129974,313.1427122613426,-55.398030498548195,"[-59.611287945255754, 23.77061541173388, 20.207961358532433, 0.18703461536601587, 6.230219669979604, -11.603266071782526, 2.060693195030252, 2.6360468202833323, -2.181679173417769, 2.0606931950302507, 4.643968465034676, -8.441317500086694, -3.1194301842138645, 8.751864975561471, 0.0, 3.5459502724161664]",2023-06-28,5
2023-10-01,354,119,True,-629.5310698088781,266.8245139414256,-105.39593577442376,"[-81.13589686971467, 41.23513777190734, 35.46006840962075, -2.8067259665646684, 5.31432813310928, -27.588087542594693, 1.4446343890583733, 0.8590866531388254, -3.505797346444516, 1.4446343890583737, 7.282401111195655, -4.370131878801071, -7.63321984566546, 7.14655534680684, 0.0, 6.322413727323]",2023-09-28,5
2024-01-01,475,112,True,-596.2810313522102,239.6848484343448,-90.71007680216994,"[-85.60431853003234, 39.196020395213345, 34.29896982278297, -5.207008499302547, 3.801491845260254, -24.920598515318822, 2.365478519615025, -1.424879483074534, -2.112112131655195, 2.3654785196150256, 3.7405858903864297, -3.4702059268969174, -5.777117402300461, 4.9663869780153425, 0.0, 6.595612365028983]",2023-12-29,5
