h,period,slice,group,n,mae_candidate,mae_baseline,mae_delta,rmse_candidate,rmse_baseline,rmse_delta,bias_candidate,bias_baseline,spearman_candidate,spearman_baseline,spearman_delta
1,screen_2023,all,ALL,1235,88.65701044793097,90.55785017502619,-1.9008397270952173,115.50459133669406,117.9482338240035,-2.4436424873094325,-24.712980352103017,-28.52498926163583,0.40992803956043594,0.4199263596319753,-0.009998320071539335
1,screen_2023,hard_direct,ALL,485,88.60822209890217,93.44850470294877,-4.8402826040465925,119.06426414022826,125.01580878997326,-5.951544649745003,-12.975327639215976,-22.682195687201595,0.40073083222099154,0.4130930254329192,-0.012362193211927663
1,screen_2023,currency_all,AMD,247,85.14440123546925,90.33997975511993,-5.195578519650681,109.34019038561401,116.62015830616863,-7.2799679205546255,-18.29465202764997,-24.351823605685716,0.436867110280088,0.43686312858949405,3.981690593957143e-06
1,screen_2023,currency_hard,AMD,189,83.49264268547631,90.28263154449067,-6.789988859014358,108.89091574085707,118.35128031835366,-9.460364577496591,-8.391551944711123,-16.30753808108589,0.4771787625091097,0.466947510620523,0.010231251888586701
1,screen_2023,currency_all,KGS,247,86.25069929824589,86.92319687053546,-0.6724975722895721,110.59672361309026,110.97126342725217,-0.3745398141619063,-27.04298455654925,-27.529378668426368,0.470516377489751,0.4742567776337289,-0.0037404001439779178
1,screen_2023,currency_hard,KGS,79,76.29030480667737,78.39292379851949,-2.102618991842121,109.05226008257716,110.2354665626678,-1.1832064800906323,2.573615794036755,1.0528645834842616,0.5184031158714703,0.5237341772151899,-0.005331061343719634
1,screen_2023,currency_all,KZT,247,100.21113778090312,103.8348196242131,-3.6236818433099813,133.2684532510146,137.43853718502984,-4.170083934015253,-30.524947209817977,-42.90025087439147,0.23378098153451168,0.2786251700181883,-0.044844188483676634
1,screen_2023,currency_hard,KZT,195,97.92586287284057,102.51585987436653,-4.589997001525958,130.58860943718975,135.95325674223466,-5.364647305044912,-17.162650644279775,-32.83803528607286,0.27792163653724766,0.3194322614057518,-0.04151062486850415
1,screen_2023,currency_all,TJS,247,82.34782800934778,82.34782800934778,0.0,106.02959531846932,106.02959531846932,0.0,-15.650255641021623,-15.650255641021623,0.49934063203763807,0.49934063203763807,0.0
1,screen_2023,currency_hard,TJS,0,,,,,,,,,,,
1,screen_2023,currency_all,UZS,247,89.33098591568877,89.34342661591468,-0.01244070022590904,116.2621386198219,116.24293567375777,0.019202946064126536,-32.052062325476285,-32.193237518653994,0.44854939048280384,0.4496403737055523,-0.0010909832227484761
1,screen_2023,currency_hard,UZS,22,94.20004138550472,94.33971651985934,-0.13967513435461854,129.61112397669078,129.417603627999,0.19352034869177714,-71.07406179834958,-72.65907419448115,0.5268210050818747,0.5268210050818747,0.0
1,validation_2024,all,ALL,1240,60.4409630206967,64.1185349212201,-3.6775719005234038,90.07260176714459,93.80389890409052,-3.7312971369459262,13.48713507364454,11.4817309345734,0.5839822493255038,0.5692709951705393,0.014711254154964548
