hypothesis,horizon,control,challenger,control_lift,challenger_lift,lift_difference,lift_difference_ci_low,lift_difference_ci_high,p_lift_below_negative_margin,lift_noninferior,control_symmetric,challenger_symmetric,symmetric_difference,symmetric_difference_ci_low,symmetric_difference_ci_high,p_symmetric_below_negative_margin,symmetric_noninferior,control_future,challenger_future,future_difference,future_difference_ci_low,future_difference_ci_high,p_future_below_negative_margin,future_noninferior,n_challenger
early_vs_late,1,route_1530,route_1520,1.7800067233117465,1.7699561886033823,-0.010050534708364145,-0.025116391869367066,0.003811035359465194,0.00024993751562109475,True,21.863061155520167,21.733490862909036,-0.12957029261113107,-0.5641263558292603,0.1815970476167117,0.00024993751562109475,True,77.61232402494105,77.01454990603595,-0.5977741189050931,-1.505507749113462,0.18473820930617027,0.00024993751562109475,True,513
early_vs_late,3,route_1530,route_1520,2.0143077561432894,2.0060300008651883,-0.00827775527810104,-0.026455138248697097,0.0063695798097599,0.00024993751562109475,True,41.372041632876595,40.93952129409537,-0.43252033878122376,-1.1800853754074914,0.062469196203242434,0.00024993751562109475,True,93.52584263529778,93.65421077580207,0.12836814050429268,-1.2428243843057096,1.6128435000497896,0.00024993751562109475,True,513
early_vs_late,5,route_1530,route_1520,2.0529084958019066,2.0488585939448614,-0.004049901857045235,-0.03525696104488165,0.02105325955949999,0.003749062734316421,True,47.9081165161289,47.613733045985136,-0.29438347014376376,-1.1563643819390006,0.508847013938464,0.00024993751562109475,True,95.20087810368796,95.99038461438529,0.7895065106973362,-0.6526604853323864,2.6119255642279837,0.00024993751562109475,True,513
early_vs_late,10,route_1530,route_1520,2.0050884539613714,2.0076614941858204,0.0025730402244490413,-0.03599411105937606,0.03733366510171805,0.005498625343664084,True,55.16420406166146,55.177967607406615,0.013763545745156591,-1.2077222159679866,1.3753810717686625,0.00024993751562109475,True,90.5965399782847,92.25042282991068,1.6538828516259798,-0.002943210939909584,3.768290252610362,0.00024993751562109475,True,508
early_vs_late,20,route_1530,route_1520,1.9283750433017024,1.9282923434713455,-8.269983035691375e-05,-0.056206661381304465,0.06393646171237356,0.03824043989002749,False,78.80183730050807,78.50717967508443,-0.29465762542363905,-1.2632143090533048,0.709223644889231,0.00024993751562109475,True,79.23557570263263,83.17243745408378,3.936861751451147,0.16502324287682274,9.544615060539261,0.00024993751562109475,True,493
fresh_vs_stale,1,matched_stale20,route_1520,0.9813542937255477,1.7699561886033823,0.7886018948778346,0.5544904985507924,1.05564302282498,0.00024993751562109475,True,-3.76714424026252,21.733490862909036,25.500635103171557,16.908769684583337,34.939528112165995,0.00024993751562109475,True,-3.6660498220261215,77.01454990603595,80.68059972806208,60.288832726403726,103.24082237106761,0.00024993751562109475,True,513
fresh_vs_stale,3,matched_stale20,route_1520,0.9734987008441537,2.0060300008651883,1.0325313000210348,0.7119344357489994,1.4192703743508102,0.00024993751562109475,True,-5.040897139083648,40.93952129409537,45.98041843317902,30.409428695996827,64.45065395315707,0.00024993751562109475,True,-6.977128146589372,93.65421077580207,100.63133892239145,76.09467451322197,128.74353428249287,0.00024993751562109475,True,513
fresh_vs_stale,5,matched_stale20,route_1520,0.9901863399065454,2.0488585939448614,1.058672254038316,0.6917338124442202,1.4972635381777288,0.00024993751562109475,True,0.029465303874176774,47.613733045985136,47.58426774211096,27.412183287686506,70.45305392438797,0.00024993751562109475,True,-6.724031223288714,95.99038461438529,102.71441583767401,75.89894300529257,130.81913482199985,0.00024993751562109475,True,513
fresh_vs_stale,10,matched_stale20,route_1520,0.9424791796233861,2.0076614941858204,1.0651823145624344,0.6708400527001078,1.5593505844780309,0.00024993751562109475,True,-0.49795681992531426,55.177967607406615,55.67592442733193,24.185350429742545,88.93631432296047,0.00024993751562109475,True,-17.2367580146233,92.25042282991068,109.48718084453398,71.27922899825785,148.4059908491129,0.00024993751562109475,True,508
fresh_vs_stale,20,matched_stale20,route_1520,0.782565104658674,1.9282923434713455,1.1457272388126714,0.6171528235795982,1.7403850369914926,0.00024993751562109475,True,12.32785394000137,78.50717967508443,66.17932573508305,25.803629256256695,101.41118539013684,0.0004998750312421895,True,-23.60261707623858,83.17243745408378,106.77505453032236,45.238407553816614,148.9447214999391,0.00024993751562109475,True,493
