candidate,group,h,n_scope,n_signals,first,last,hit_rate,base_rate,pooled_lift,adjusted_lift,frequency,currency_rate_min,currency_rate_max,symmetric_bps,forward_bps
cny_cbr_w25_r25,2024,1,1240,288,2024-01-09,2024-12-28,0.8506944444444444,0.5435483870967742,1.5650758325090668,1.5668678116457784,1.135774647887324,1.084507042253521,1.1830985915492958,-5.739402908744312,54.64073339913404
cny_cbr_w25_r25,2024,3,1240,288,2024-01-09,2024-12-28,0.6111111111111112,0.3919354838709677,1.5592135345221767,1.562372480939256,1.135774647887324,1.084507042253521,1.1830985915492958,-1.9430031051795424,65.12573279893405
cny_cbr_w25_r25,2024,5,1240,288,2024-01-09,2024-12-28,0.5625,0.3379032258064516,1.6646778042959427,1.6695478723404256,1.135774647887324,1.084507042253521,1.1830985915492958,2.479012874228557,69.65972825366961
cny_cbr_w25_r25,2024,10,1240,288,2024-01-09,2024-12-28,0.4166666666666667,0.2693548387096774,1.5469061876247505,1.5519399249061325,1.135774647887324,1.084507042253521,1.1830985915492958,3.030708403854498,71.04986752684539
cny_cbr_w25_r25,2024,20,1240,288,2024-01-09,2024-12-28,0.3159722222222222,0.18870967741935485,1.6743827160493825,1.680291862110044,1.135774647887324,1.084507042253521,1.1830985915492958,1.1030258326123505,80.0342011815137
cny_cbr_w25_r25,2025,1,1235,265,2025-01-09,2025-12-30,0.7886792452830189,0.4631578947368421,1.7028301886792454,1.7040105627991418,1.0421348314606742,1.002808988764045,1.0814606741573034,6.56201565269934,68.96934248880109
cny_cbr_w25_r25,2025,3,1235,265,2025-01-09,2025-12-30,0.5471698113207547,0.28421052631578947,1.9252271139063593,1.9287522214443429,1.0421348314606742,1.002808988764045,1.0814606741573034,9.425985089838548,60.25630061812111
cny_cbr_w25_r25,2025,5,1235,265,2025-01-09,2025-12-30,0.39622641509433965,0.22186234817813766,1.7859110315383557,1.7918336327207407,1.0421348314606742,1.002808988764045,1.0814606741573034,6.64349249904937,44.809205146775795
cny_cbr_w25_r25,2025,10,1235,265,2025-01-09,2025-12-30,0.2528301886792453,0.14736842105263157,1.7156334231805932,1.7238541666666667,1.0421348314606742,1.002808988764045,1.0814606741573034,8.269137442978707,15.049820114852272
cny_cbr_w25_r25,2025,20,1235,265,2025-01-09,2025-12-30,0.1320754716981132,0.09635627530364373,1.3706992230854607,1.3781284871672248,1.0421348314606742,1.002808988764045,1.0814606741573034,18.38424170357331,-30.033359953637703
cny_cbr_w25_r25,2026,1,805,287,2026-01-12,2026-08-31,0.8048780487804879,0.55527950310559,1.4495007366181045,1.4510163473918303,1.7318965517241378,1.629310344827586,1.8103448275862066,3.7577325397056542,62.93224662123953
cny_cbr_w25_r25,2026,3,795,282,2026-01-12,2026-08-27,0.648936170212766,0.4050314465408805,1.6021871283203382,1.6035822540644806,1.7315789473684213,1.6271929824561404,1.81140350877193,6.110979000489435,83.34751672354466
cny_cbr_w25_r25,2026,5,785,277,2026-01-12,2026-08-25,0.555956678700361,0.3401273885350318,1.6345542800740953,1.638186869029067,1.715929203539823,1.6106194690265487,1.7964601769911506,8.882175646050493,99.83810210693724
cny_cbr_w25_r25,2026,10,760,272,2026-01-12,2026-08-18,0.4522058823529412,0.29210526315789476,1.5480922098569156,1.5515352697095435,1.738812785388128,1.63013698630137,1.821917808219178,7.011409051699241,127.1112578570784
cny_cbr_w25_r25,2026,20,710,241,2026-01-12,2026-08-04,0.3651452282157676,0.24647887323943662,1.4814463544754,1.4863803972879743,1.6458536585365853,1.502439024390244,1.7414634146341463,27.72629537501173,151.04804959281307
cny_cbr_w25_r25,TJS,1,656,169,2024-01-09,2026-08-31,0.8224852071005917,0.5259146341463414,1.5639139010376468,1.5602776371943172,1.2545068928950158,1.2545068928950158,1.2545068928950158,1.0418718455860916,60.03820771207232
cny_cbr_w25_r25,TJS,3,654,168,2024-01-09,2026-08-27,0.625,0.37767584097859325,1.6548582995951417,1.6371466248008,1.2523961661341854,1.2523961661341854,1.2523961661341854,5.476261105905786,72.52420225642368
cny_cbr_w25_r25,TJS,5,652,167,2024-01-09,2026-08-25,0.5209580838323353,0.3205521472392638,1.6251898117640318,1.6197527388577821,1.247598719316969,1.247598719316969,1.247598719316969,6.444818153419085,75.02447028437636
cny_cbr_w25_r25,TJS,10,647,166,2024-01-09,2026-08-18,0.4036144578313253,0.2550231839258114,1.5826579043446516,1.558939124998053,1.249462365591398,1.249462365591398,1.249462365591398,3.850667843919631,75.30963571445093
cny_cbr_w25_r25,TJS,20,637,160,2024-01-09,2026-08-04,0.28125,0.17739403453689168,1.585453539823009,1.5345234155480414,1.222707423580786,1.222707423580786,1.222707423580786,9.592722833527919,70.05141566710647
cny_cbr_w25_r25,UZS,1,656,168,2024-01-09,2026-08-31,0.8630952380952381,0.5213414634146342,1.6555277081592872,1.6309666877602642,1.247083775185578,1.247083775185578,1.247083775185578,3.2975028796350383,66.94793951440433
cny_cbr_w25_r25,UZS,3,654,167,2024-01-09,2026-08-27,0.6287425149700598,0.3562691131498471,1.764796587083344,1.7245632673862072,1.2449414270500534,1.2449414270500534,1.2449414270500534,6.292479789791864,73.54878888162072
cny_cbr_w25_r25,UZS,5,652,166,2024-01-09,2026-08-25,0.5421686746987951,0.294478527607362,1.841114457831325,1.7811373852902919,1.2401280683030949,1.2401280683030949,1.2401280683030949,7.765804144410039,75.71783470053228
cny_cbr_w25_r25,UZS,10,647,165,2024-01-09,2026-08-18,0.3939393939393939,0.22256568778979907,1.7699915824915824,1.6846072547050148,1.2419354838709677,1.2419354838709677,1.2419354838709677,8.722799077798388,78.37190925725092
cny_cbr_w25_r25,UZS,20,637,158,2024-01-09,2026-08-04,0.2911392405063291,0.16483516483516483,1.7662447257383966,1.6747817388219557,1.207423580786026,1.207423580786026,1.207423580786026,21.492534558011105,74.19520441207615
cny_cbr_w25_r25,KGS,1,656,165,2024-01-09,2026-08-31,0.8,0.4954268292682927,1.614769230769231,1.6144365762520927,1.2248144220572639,1.2248144220572639,1.2248144220572639,2.543022938429768,61.674919347238195
cny_cbr_w25_r25,KGS,3,654,164,2024-01-09,2026-08-27,0.6097560975609756,0.3486238532110092,1.7490372272143773,1.7262396241160975,1.222577209797657,1.222577209797657,1.222577209797657,6.18304605484894,70.00122440145441
cny_cbr_w25_r25,KGS,5,652,163,2024-01-09,2026-08-25,0.5030674846625767,0.2929447852760736,1.7172774869109948,1.7023385635632706,1.2177161152614728,1.2177161152614728,1.2177161152614728,8.075125540046706,71.68052031180426
cny_cbr_w25_r25,KGS,10,647,162,2024-01-09,2026-08-18,0.345679012345679,0.22565687789799072,1.5318789108743447,1.4940897768536332,1.2193548387096773,1.2193548387096773,1.2193548387096773,8.149511339170889,68.99643951216055
cny_cbr_w25_r25,KGS,20,637,156,2024-01-09,2026-08-04,0.25,0.1664050235478807,1.5023584905660377,1.4407195309973326,1.1921397379912664,1.1921397379912664,1.1921397379912664,17.653469028903938,60.432094082825095
cny_cbr_w25_r25,AMD,1,656,167,2024-01-09,2026-08-31,0.8323353293413174,0.524390243902439,1.5872441164183262,1.566463298982108,1.23966065747614,1.23966065747614,1.23966065747614,2.7991330971886175,64.93803518455634
cny_cbr_w25_r25,AMD,3,654,166,2024-01-09,2026-08-27,0.6265060240963856,0.35932721712538224,1.743552935144835,1.7080203109778713,1.2374866879659212,1.2374866879659212,1.2374866879659212,7.367302802373241,76.9035103453514
cny_cbr_w25_r25,AMD,5,652,165,2024-01-09,2026-08-25,0.5272727272727272,0.29754601226993865,1.7720712277413306,1.7358904638074169,1.2326574172892208,1.2326574172892208,1.2326574172892208,8.469237434348099,78.62075921288756
cny_cbr_w25_r25,AMD,10,647,164,2024-01-09,2026-08-18,0.38414634146341464,0.23338485316846985,1.6459780326280085,1.5877369389414229,1.2344086021505376,1.2344086021505376,1.2344086021505376,7.7225174893366795,78.05338375017237
cny_cbr_w25_r25,AMD,20,637,158,2024-01-09,2026-08-04,0.2721518987341772,0.1726844583987441,1.5760069044879172,1.4866924836012307,1.207423580786026,1.207423580786026,1.207423580786026,17.56534835766694,76.71801302205282
cny_cbr_w25_r25,KZT,1,656,171,2024-01-09,2026-08-31,0.7602339181286549,0.5137195121951219,1.4798618703038506,1.4488675021505841,1.2693531283138917,1.2693531283138917,1.2693531283138917,-2.647108120536029,56.49261549066244
