model,period,n,brier_h5,mean_probability,event_rate
full_recent50,early,647,0.20751418856090612,0.6503764126559222,0.6754250386398764
full_recent50,later,1683,0.211765133025706,0.585859471336729,0.5704099821746881
resid_hist100,early,647,0.23314957712656076,0.6782869853893091,0.6754250386398764
resid_hist100,later,1683,0.24678419790352785,0.5127941417174141,0.5704099821746881
resid_hist50,early,647,0.2112604279695335,0.6762141926569554,0.6754250386398764
resid_hist50,later,1683,0.22075750122865073,0.5515016189736759,0.5704099821746881
resid_ridge,early,647,0.3906058694739674,0.4794267721357076,0.6754250386398764
resid_ridge,later,1683,0.2331487118871642,0.5238639585098436,0.5704099821746881
local_resid_ridge,early,647,0.37397186652400205,0.5037322745478616,0.6754250386398764
local_resid_ridge,later,1683,0.2272849347375045,0.5281751796547425,0.5704099821746881
stack_logit,early,647,0.35860798358162066,0.48504392985077405,0.6754250386398764
stack_logit,later,1683,0.23484270912536792,0.5315446929245337,0.5704099821746881
