origin,family,n_shared_train,n_eligible_train,n_query,shared_mask_sha256,train_mask_sha256,last_shared_mature20,correction_mean,correction_abs_mean,correction_max_abs,local_counts
2023-04-01,local_resid_ridge,1410,484,305,71651e85a71ff49e225eb625a452e42024b1b873bfdf98673236d129ad2f1f88,1400df69538caf53ba0f5ce237d393c2ebe74066ac001e87460ccc6912c191a6,2023-03-29,0.22455520880250973,0.2368429221591312,0.6426983415232348,"{""AMD"": 101, ""KGS"": 93, ""KZT"": 96, ""TJS"": 95, ""UZS"": 99}"
2023-04-01,stack_logit,1410,484,305,71651e85a71ff49e225eb625a452e42024b1b873bfdf98673236d129ad2f1f88,1400df69538caf53ba0f5ce237d393c2ebe74066ac001e87460ccc6912c191a6,2023-03-29,,,,
2023-07-01,full_recent50,1715,655,325,c55e3280582666e6720c51a9b39e767d5214e4ca384ba9438f85fa1925aed1b9,d0997e0a3f7d0b0feb839768b187ec95e226fa1e08079c54bb11c24dc36c21b4,2023-06-28,,,,
2023-07-01,resid_hist100,1715,655,325,c55e3280582666e6720c51a9b39e767d5214e4ca384ba9438f85fa1925aed1b9,d0997e0a3f7d0b0feb839768b187ec95e226fa1e08079c54bb11c24dc36c21b4,2023-06-28,-0.1253411544813865,0.17620126048324267,0.5393581237832134,
2023-07-01,resid_hist50,1715,655,325,c55e3280582666e6720c51a9b39e767d5214e4ca384ba9438f85fa1925aed1b9,d0997e0a3f7d0b0feb839768b187ec95e226fa1e08079c54bb11c24dc36c21b4,2023-06-28,-0.06267057724069325,0.08810063024162133,0.2696790618916067,
2023-07-01,resid_ridge,1715,655,325,c55e3280582666e6720c51a9b39e767d5214e4ca384ba9438f85fa1925aed1b9,d0997e0a3f7d0b0feb839768b187ec95e226fa1e08079c54bb11c24dc36c21b4,2023-06-28,-0.6696503467764285,0.6696503467764285,1.516105958780499,
2023-07-01,local_resid_ridge,1715,655,325,c55e3280582666e6720c51a9b39e767d5214e4ca384ba9438f85fa1925aed1b9,d0997e0a3f7d0b0feb839768b187ec95e226fa1e08079c54bb11c24dc36c21b4,2023-06-28,-0.5554530411592721,0.5554530411592721,1.364142276723991,"{""AMD"": 136, ""KGS"": 127, ""KZT"": 130, ""TJS"": 130, ""UZS"": 132}"
2023-07-01,stack_logit,1715,655,325,c55e3280582666e6720c51a9b39e767d5214e4ca384ba9438f85fa1925aed1b9,d0997e0a3f7d0b0feb839768b187ec95e226fa1e08079c54bb11c24dc36c21b4,2023-06-28,,,,
2023-10-01,full_recent50,2045,864,320,2cd93d2927475be09465aff94f2117263d2137341378ca927f18e5287b444b08,a721721e0e988d9a47c800cea663e2a23de78b0dcd762845433a08baf66b594a,2023-09-28,,,,
2023-10-01,resid_hist100,2045,864,320,2cd93d2927475be09465aff94f2117263d2137341378ca927f18e5287b444b08,a721721e0e988d9a47c800cea663e2a23de78b0dcd762845433a08baf66b594a,2023-09-28,-0.04030790236128658,0.15685228565502687,0.5663189236845346,
2023-10-01,resid_hist50,2045,864,320,2cd93d2927475be09465aff94f2117263d2137341378ca927f18e5287b444b08,a721721e0e988d9a47c800cea663e2a23de78b0dcd762845433a08baf66b594a,2023-09-28,-0.02015395118064329,0.07842614282751344,0.2831594618422673,
2023-10-01,resid_ridge,2045,864,320,2cd93d2927475be09465aff94f2117263d2137341378ca927f18e5287b444b08,a721721e0e988d9a47c800cea663e2a23de78b0dcd762845433a08baf66b594a,2023-09-28,0.05318786930468853,0.1290193154637606,0.6583980129994113,
2023-10-01,local_resid_ridge,2045,864,320,2cd93d2927475be09465aff94f2117263d2137341378ca927f18e5287b444b08,a721721e0e988d9a47c800cea663e2a23de78b0dcd762845433a08baf66b594a,2023-09-28,0.11561437228876899,0.1561362941116732,0.5526803461290528,"{""AMD"": 181, ""KGS"": 171, ""KZT"": 167, ""TJS"": 172, ""UZS"": 173}"
2023-10-01,stack_logit,2045,864,320,2cd93d2927475be09465aff94f2117263d2137341378ca927f18e5287b444b08,a721721e0e988d9a47c800cea663e2a23de78b0dcd762845433a08baf66b594a,2023-09-28,,,,
2024-01-01,full_recent50,2370,1024,285,13c12d636de81caa2d8f49407911d34b073d580c219198a1010d4e836d698f9f,9d8cc00c941fb27c910739b085064fd6a1c0c21b3b604b113f7b7ea736ba380d,2023-12-29,,,,
2024-01-01,resid_hist100,2370,1024,285,13c12d636de81caa2d8f49407911d34b073d580c219198a1010d4e836d698f9f,9d8cc00c941fb27c910739b085064fd6a1c0c21b3b604b113f7b7ea736ba380d,2023-12-29,-0.18481887807721153,0.20804489129851444,0.5260332740645224,
2024-01-01,resid_hist50,2370,1024,285,13c12d636de81caa2d8f49407911d34b073d580c219198a1010d4e836d698f9f,9d8cc00c941fb27c910739b085064fd6a1c0c21b3b604b113f7b7ea736ba380d,2023-12-29,-0.09240943903860577,0.10402244564925722,0.2630166370322612,
2024-01-01,resid_ridge,2370,1024,285,13c12d636de81caa2d8f49407911d34b073d580c219198a1010d4e836d698f9f,9d8cc00c941fb27c910739b085064fd6a1c0c21b3b604b113f7b7ea736ba380d,2023-12-29,-0.12013720693826231,0.16231334241218617,0.5845822531865493,
2024-01-01,local_resid_ridge,2370,1024,285,13c12d636de81caa2d8f49407911d34b073d580c219198a1010d4e836d698f9f,9d8cc00c941fb27c910739b085064fd6a1c0c21b3b604b113f7b7ea736ba380d,2023-12-29,-0.1131408112872335,0.14131115281698275,0.5178153143090455,"{""AMD"": 209, ""KGS"": 205, ""KZT"": 198, ""TJS"": 207, ""UZS"": 205}"
2024-01-01,stack_logit,2370,1024,285,13c12d636de81caa2d8f49407911d34b073d580c219198a1010d4e836d698f9f,9d8cc00c941fb27c910739b085064fd6a1c0c21b3b604b113f7b7ea736ba380d,2023-12-29,,,,
2024-04-01,full_recent50,2655,1172,300,360d6d76a7c3929c4e974f20fe05f1f0b93c6663b61beb6d04f053c75949b7ec,ac31349b1aab54a9d4ec6bcd24904c3c37e51ab2344396ad656b1b382d5333c6,2024-03-29,,,,
2024-04-01,resid_hist100,2655,1172,300,360d6d76a7c3929c4e974f20fe05f1f0b93c6663b61beb6d04f053c75949b7ec,ac31349b1aab54a9d4ec6bcd24904c3c37e51ab2344396ad656b1b382d5333c6,2024-03-29,-0.03375676486382699,0.1392076692076094,0.5850639698683604,
