scenario,clock,status,selected_alpha,base_rows,calibration_rows,evaluation_rows,latest_base_maturity_ord,base_cutoff_ord,latest_calibration_maturity_ord,eval_cutoff_ord
calendar_assumed_replay,00:15,fit,0.0,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,06:00,fit,0.0,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,09:15,fit,0.0,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,10:15,fit,0.0,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,10:45,fit,0.025,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,11:45,fit,0.01,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,12:45,fit,0.0,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,13:45,fit,0.05,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,14:45,fit,0.05,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,15:10,fit,0.05,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,15:25,fit,0.05,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,15:45,fit,0.05,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,16:45,fit,0.025,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,17:45,fit,0.1,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,18:45,fit,0.2,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,19:15,fit,0.2,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,20:15,fit,0.2,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,21:15,fit,0.2,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,22:15,fit,0.2,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,23:15,fit,0.2,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,00:15,fit,0.0,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,06:00,fit,0.0,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,09:15,fit,0.0,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,10:15,fit,0.0,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,10:45,fit,0.025,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,11:45,fit,0.01,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,12:45,fit,0.0,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,13:45,fit,0.05,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,14:45,fit,0.05,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,15:10,fit,0.05,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,15:25,fit,0.05,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,15:45,fit,0.05,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,16:45,fit,0.025,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,17:45,fit,0.1,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,18:45,fit,0.1,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,19:15,fit,0.1,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,20:15,fit,0.1,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,21:15,fit,0.1,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,22:15,fit,0.1,1025,470,2910,739127,739128,739249,739250
no_same_day_receipt,23:15,fit,0.1,1025,470,2910,739127,739128,739249,739250
