scenario,clock,metric,block_dates,mean_delta,ci_low,ci_high
calendar_assumed_replay,00:15,brier,20,-1.7143538879444607e-19,-9.430845041519614e-19,5.505511567829482e-19
calendar_assumed_replay,00:15,auc,20,0.0,0.0,0.0
calendar_assumed_replay,00:15,brier,50,-1.8952956806122409e-19,-7.5116209071872e-19,3.010728836914386e-19
calendar_assumed_replay,00:15,auc,50,0.0,0.0,0.0
calendar_assumed_replay,06:00,brier,20,-1.8738292227531606e-19,-9.788669016246447e-19,5.581517493323313e-19
calendar_assumed_replay,06:00,auc,20,0.0,0.0,0.0
calendar_assumed_replay,06:00,brier,50,-1.934151101974498e-19,-7.380473427903729e-19,3.1667645310164225e-19
calendar_assumed_replay,06:00,auc,50,0.0,0.0,0.0
calendar_assumed_replay,09:15,brier,20,-2.2174356184758512e-19,-1.0458266316724436e-18,5.311621942206992e-19
calendar_assumed_replay,09:15,auc,20,0.0,0.0,0.0
calendar_assumed_replay,09:15,brier,50,-1.9506279943717485e-19,-7.18434833388436e-19,3.314901570116161e-19
calendar_assumed_replay,09:15,auc,50,0.0,0.0,0.0
calendar_assumed_replay,10:15,brier,20,-4.490890444948409e-19,-1.1839264176702022e-18,2.0722011953726844e-19
calendar_assumed_replay,10:15,auc,20,0.0,0.0,0.0
calendar_assumed_replay,10:15,brier,50,-4.58767136998281e-19,-9.818198156601447e-19,3.503118694681575e-20
calendar_assumed_replay,10:15,auc,50,0.0,0.0,0.0
calendar_assumed_replay,10:45,brier,20,0.0014089445172676645,7.800400954410874e-05,0.00269431525819181
calendar_assumed_replay,10:45,auc,20,-0.03068763661980256,-0.04661222476250438,-0.01501881301990187
calendar_assumed_replay,10:45,brier,50,0.0014441625137611637,-2.321803710292854e-05,0.00303805758063571
calendar_assumed_replay,10:45,auc,50,-0.02994766710456126,-0.047181564519156366,-0.01199685883253358
calendar_assumed_replay,11:45,brier,20,0.0004798483187578748,2.5888061800030835e-05,0.0009256962653241892
calendar_assumed_replay,11:45,auc,20,-0.010268129514546682,-0.01635656325025753,-0.0048413124911135955
calendar_assumed_replay,11:45,brier,50,0.000478594826281569,-7.557009322323272e-05,0.0010893775344624223
calendar_assumed_replay,11:45,auc,50,-0.009927775448553753,-0.016643790155611175,-0.0034201466774070955
calendar_assumed_replay,12:45,brier,20,8.385517664455809e-20,-6.739918587681839e-19,8.116743573318585e-19
calendar_assumed_replay,12:45,auc,20,0.0,0.0,0.0
calendar_assumed_replay,12:45,brier,50,7.797902441652635e-20,-5.25716965783972e-19,7.069892351964239e-19
calendar_assumed_replay,12:45,auc,50,0.0,0.0,0.0
calendar_assumed_replay,13:45,brier,20,0.002421004616804375,0.00042360436041038877,0.004604036946982299
calendar_assumed_replay,13:45,auc,20,-0.040104409710608115,-0.06377939045937302,-0.01751464399647903
calendar_assumed_replay,13:45,brier,50,0.0024135334582000676,-8.660862600645789e-05,0.004888847787648942
calendar_assumed_replay,13:45,auc,50,-0.039656683954252814,-0.06576933577549197,-0.015181648825153816
calendar_assumed_replay,14:45,brier,20,0.0025662789755588116,0.00046405302028294245,0.004655704297633412
calendar_assumed_replay,14:45,auc,20,-0.04004084301120197,-0.0648691254888305,-0.019832761016445943
calendar_assumed_replay,14:45,brier,50,0.0025345045901590197,4.2332374479976985e-06,0.005132066767561632
calendar_assumed_replay,14:45,auc,50,-0.03951846581628298,-0.06454407907596812,-0.016156305046140657
calendar_assumed_replay,15:10,brier,20,0.00246373487280098,0.00030015970456008647,0.0047593737859915625
calendar_assumed_replay,15:10,auc,20,-0.03828414019069784,-0.06212857174860118,-0.01863923754520453
calendar_assumed_replay,15:10,brier,50,0.0023765532420077368,-0.0001730783946821797,0.004831155880605974
calendar_assumed_replay,15:10,auc,50,-0.03687261768252437,-0.06031074573619726,-0.014949011790861583
calendar_assumed_replay,15:25,brier,20,0.0024402664015992664,0.0003448408033082956,0.004541636621819267
calendar_assumed_replay,15:25,auc,20,-0.0369428513429628,-0.05967623095522799,-0.017161338860759177
calendar_assumed_replay,15:25,brier,50,0.0024352332311793233,0.0001219756188323062,0.004945852212072494
calendar_assumed_replay,15:25,auc,50,-0.03545942542074648,-0.0584572752192742,-0.013581570559872873
calendar_assumed_replay,15:45,brier,20,0.002437214579850651,0.0005276975441699379,0.004545289645953041
calendar_assumed_replay,15:45,auc,20,-0.03622329660433364,-0.0577880155443443,-0.017031311917388946
calendar_assumed_replay,15:45,brier,50,0.002396203658251586,-0.0001618861389350891,0.0047306148419462395
calendar_assumed_replay,15:45,auc,50,-0.035213428636721125,-0.057916561682153464,-0.01310292519314705
calendar_assumed_replay,16:45,brier,20,0.0009714311263988273,0.0001087747938555539,0.0018853372476405452
calendar_assumed_replay,16:45,auc,20,-0.016424286963173274,-0.028339971767212282,-0.006281866075234449
calendar_assumed_replay,16:45,brier,50,0.0009754286717596064,2.7014939758116034e-06,0.0020166524414342774
calendar_assumed_replay,16:45,auc,50,-0.015924287292468482,-0.028748645861848447,-0.00479375401828005
calendar_assumed_replay,17:45,brier,20,0.00464637391378526,0.0012511325794236309,0.008225848932254521
calendar_assumed_replay,17:45,auc,20,-0.07143598251582436,-0.11355211814573948,-0.035560113795710065
calendar_assumed_replay,17:45,brier,50,0.00477742436319113,0.0004846062801841615,0.008893653703007712
calendar_assumed_replay,17:45,auc,50,-0.07039298466721794,-0.11773068790938172,-0.024172488708149312
calendar_assumed_replay,18:45,brier,20,-0.006989823743364112,-0.009317026460920697,-0.004886660608204138
calendar_assumed_replay,18:45,auc,20,0.15506161606647106,0.11590688078570292,0.2023143617459632
calendar_assumed_replay,18:45,brier,50,-0.0069876615533568135,-0.009541736383684768,-0.004731439656838687
calendar_assumed_replay,18:45,auc,50,0.155307997687733,0.11434302618985122,0.20358511879565883
calendar_assumed_replay,19:15,brier,20,-0.006988762534418059,-0.009087967785247203,-0.005106249159589464
calendar_assumed_replay,19:15,auc,20,0.14155245320593526,0.10812620701045861,0.18161776874108657
calendar_assumed_replay,19:15,brier,50,-0.006948543600306031,-0.00919438185628136,-0.004881847616855958
calendar_assumed_replay,19:15,auc,50,0.1421839134307453,0.10710608635149,0.18777937666964412
calendar_assumed_replay,20:15,brier,20,-0.006552194984584783,-0.008487684166014916,-0.004819489932212688
calendar_assumed_replay,20:15,auc,20,0.13067025630136114,0.09913253374188484,0.17026792216911643
calendar_assumed_replay,20:15,brier,50,-0.006557698609358281,-0.008571740559938661,-0.004728986026189387
calendar_assumed_replay,20:15,auc,50,0.13053511246044724,0.09751256922520839,0.17443551484006084
calendar_assumed_replay,21:15,brier,20,-0.00671148679947256,-0.008658226037320485,-0.004748729298977981
calendar_assumed_replay,21:15,auc,20,0.13538729862133608,0.10228821730215261,0.17737900813472304
calendar_assumed_replay,21:15,brier,50,-0.006733651788146372,-0.009083121869313983,-0.004758785981251926
calendar_assumed_replay,21:15,auc,50,0.1362576678596023,0.10283527585329283,0.18267677382563627
calendar_assumed_replay,22:15,brier,20,-0.006676570407315851,-0.008542494124616579,-0.004910540806330405
calendar_assumed_replay,22:15,auc,20,0.13384785767381283,0.10178717476752387,0.17096803396977436
calendar_assumed_replay,22:15,brier,50,-0.006721665005471054,-0.008966415883693903,-0.0047590707025589405
calendar_assumed_replay,22:15,auc,50,0.1346885038054337,0.09674429125235647,0.1801401411775756
calendar_assumed_replay,23:15,brier,20,-0.006715564812506242,-0.008647527300606566,-0.004951501732946516
calendar_assumed_replay,23:15,auc,20,0.13324401077755332,0.1012283846337892,0.17048263708852882
calendar_assumed_replay,23:15,brier,50,-0.0067078394959036195,-0.00905179183912562,-0.00470808140842294
calendar_assumed_replay,23:15,auc,50,0.13415701551723644,0.09977786238599175,0.18274624746340645
no_same_day_receipt,00:15,brier,20,-1.888505817934792e-19,-9.922200995153252e-19,5.925928657668881e-19
no_same_day_receipt,00:15,auc,20,0.0,0.0,0.0
no_same_day_receipt,00:15,brier,50,-1.846025957145065e-19,-7.755734056126205e-19,3.630698738981699e-19
no_same_day_receipt,00:15,auc,50,0.0,0.0,0.0
no_same_day_receipt,06:00,brier,20,-1.810848626451803e-19,-9.450815225865053e-19,5.454989982060057e-19
no_same_day_receipt,06:00,auc,20,0.0,0.0,0.0
no_same_day_receipt,06:00,brier,50,-1.8481958518023003e-19,-6.903573503236566e-19,3.1619955317697496e-19
no_same_day_receipt,06:00,auc,50,0.0,0.0,0.0
no_same_day_receipt,09:15,brier,20,-1.788613167464197e-19,-9.552007428630369e-19,5.6277171735254455e-19
no_same_day_receipt,09:15,auc,20,0.0,0.0,0.0
no_same_day_receipt,09:15,brier,50,-1.8621630583459898e-19,-7.572127585129346e-19,3.630996801434615e-19
no_same_day_receipt,09:15,auc,50,0.0,0.0,0.0
no_same_day_receipt,10:15,brier,20,-5.053238867045555e-19,-1.2769591607869137e-18,1.5967601466957706e-19
no_same_day_receipt,10:15,auc,20,0.0,0.0,0.0
no_same_day_receipt,10:15,brier,50,-4.68124015979219e-19,-1.0391515463254971e-18,3.4417364582839765e-20
no_same_day_receipt,10:15,auc,50,0.0,0.0,0.0
no_same_day_receipt,10:45,brier,20,0.001443366148682558,0.00022066800896559778,0.002737453383521047
no_same_day_receipt,10:45,auc,20,-0.030586627232199164,-0.04729038303070189,-0.015406598033526423
no_same_day_receipt,10:45,brier,50,0.0014780220381207657,-7.082851600207128e-05,0.0029852801340339657
no_same_day_receipt,10:45,auc,50,-0.029775014396044682,-0.04904576482579415,-0.012725521445200554
no_same_day_receipt,11:45,brier,20,0.0005007535469359172,4.805217174234377e-05,0.000958135224695943
no_same_day_receipt,11:45,auc,20,-0.010515529049218328,-0.016362225848570146,-0.004870234016938314
no_same_day_receipt,11:45,brier,50,0.000488876391814259,-4.4693893224513865e-05,0.0010805539738334242
no_same_day_receipt,11:45,auc,50,-0.010045583373331226,-0.016187776755249662,-0.004171481578953168
no_same_day_receipt,12:45,brier,20,8.524750087774651e-20,-6.956162897273106e-19,7.597313862400827e-19
no_same_day_receipt,12:45,auc,20,0.0,0.0,0.0
no_same_day_receipt,12:45,brier,50,6.257202719402132e-20,-5.296681561754529e-19,6.563391099941757e-19
no_same_day_receipt,12:45,auc,50,0.0,0.0,0.0
no_same_day_receipt,13:45,brier,20,0.002460053364347685,0.0004468257247782569,0.004592607287293969
no_same_day_receipt,13:45,auc,20,-0.0409422553468588,-0.06589127194518465,-0.01966679156935988
no_same_day_receipt,13:45,brier,50,0.0023259885346716665,-9.915347302082577e-05,0.00479997466765708
no_same_day_receipt,13:45,auc,50,-0.03971685949039181,-0.06523563456035691,-0.01623887406340383
no_same_day_receipt,14:45,brier,20,0.0026038440373077655,0.0003979402135923102,0.004867166143262971
no_same_day_receipt,14:45,auc,20,-0.040438357823641004,-0.06352945276177978,-0.01912087391519775
no_same_day_receipt,14:45,brier,50,0.0024870059309992226,4.551874182102971e-06,0.005028359616007376
no_same_day_receipt,14:45,auc,50,-0.038711808649073476,-0.06434672105645779,-0.014824414252764196
no_same_day_receipt,15:10,brier,20,0.0024340495166377627,0.0003550963185853259,0.004730589901185611
no_same_day_receipt,15:10,auc,20,-0.03802588098429109,-0.06223887925838138,-0.01804283484993737
no_same_day_receipt,15:10,brier,50,0.002347877878473197,-0.0001728659810632301,0.0050179966826549155
no_same_day_receipt,15:10,auc,50,-0.03687558294861382,-0.06047030110052094,-0.015523472158105064
no_same_day_receipt,15:25,brier,20,0.0024403766414857423,0.00023777407548931513,0.004475718977189156
no_same_day_receipt,15:25,auc,20,-0.037258174342787255,-0.05987537158983673,-0.017609647143661068
no_same_day_receipt,15:25,brier,50,0.002326503030921999,-0.00011140710157522214,0.004776594485028107
no_same_day_receipt,15:25,auc,50,-0.035508282394619624,-0.05784153283752547,-0.013962059766922726
no_same_day_receipt,15:45,brier,20,0.0024458373452817543,0.0005928120971522566,0.004447379266925614
no_same_day_receipt,15:45,auc,20,-0.03642376649805937,-0.05911234644374949,-0.017695279483681308
no_same_day_receipt,15:45,brier,50,0.0023711136341436696,-2.2093976686608078e-05,0.004860637383849302
no_same_day_receipt,15:45,auc,50,-0.03536920789655909,-0.059551190475076635,-0.015165017971559027
no_same_day_receipt,16:45,brier,20,0.0009766525115052532,0.00012993480378457225,0.0018773218082616895
no_same_day_receipt,16:45,auc,20,-0.0164925806794398,-0.029142157003860854,-0.006799988825043771
no_same_day_receipt,16:45,brier,50,0.000975622477716462,-7.427805641624531e-05,0.0019834459917447535
no_same_day_receipt,16:45,auc,50,-0.015787237513646767,-0.02859638650484676,-0.004630683254733007
no_same_day_receipt,17:45,brier,20,0.004742639855183135,0.001496077170125236,0.008339480054959846
no_same_day_receipt,17:45,auc,20,-0.07293186801233047,-0.11642391328070732,-0.03725935490226546
no_same_day_receipt,17:45,brier,50,0.004703305095548499,0.0005798801649937064,0.009117101677886211
no_same_day_receipt,17:45,auc,50,-0.07071958577260073,-0.12130493440477756,-0.02743433850045381
no_same_day_receipt,18:45,brier,20,0.0047636951780854276,0.0012485975176777008,0.00853048133309887
no_same_day_receipt,18:45,auc,20,-0.073753666719302,-0.11669292130024939,-0.034069188618016916
no_same_day_receipt,18:45,brier,50,0.004771396875404522,0.0007565194155818977,0.008880919514482053
no_same_day_receipt,18:45,auc,50,-0.07111987187251996,-0.11888350207097378,-0.028176790880449616
no_same_day_receipt,19:15,brier,20,0.004719874930299643,0.001446150491411104,0.008348601299130912
no_same_day_receipt,19:15,auc,20,-0.07230600787088678,-0.114413130439313,-0.035896154221317346
no_same_day_receipt,19:15,brier,50,0.0047187298569132475,0.0004995163035434512,0.008967967354617638
no_same_day_receipt,19:15,auc,50,-0.07185639550623013,-0.11993479970808053,-0.028754240258590788
no_same_day_receipt,20:15,brier,20,0.0047242007233637435,0.00151594212062047,0.008290774398926603
no_same_day_receipt,20:15,auc,20,-0.07304521199504946,-0.11401714144517304,-0.03694002549717785
no_same_day_receipt,20:15,brier,50,0.00464063976076271,0.00036182859485464153,0.008820744640535687
no_same_day_receipt,20:15,auc,50,-0.07070465691789324,-0.11678842293236336,-0.025788689709478136
no_same_day_receipt,21:15,brier,20,0.004749966136399572,0.0013164704247205336,0.008192295855060408
no_same_day_receipt,21:15,auc,20,-0.07324511728638637,-0.11556917958933231,-0.036947617446738835
