scenario,clock,brier_identity_h20,brier_rank_correction_selected,logloss_identity_h20,logloss_rank_correction_selected,ece_identity_h20,ece_rank_correction_selected,auc_identity_h20,auc_rank_correction_selected,average_precision_identity_h20,average_precision_rank_correction_selected,brier_delta,logloss_delta,ece_delta,auc_delta,average_precision_delta,brier_ci_low,brier_ci_high,auc_ci_low,auc_ci_high,pass
calendar_assumed_replay,00:15,0.12428935098399156,0.12428935098399156,0.4201615955475662,0.4201615955475662,0.036075777056309745,0.036075777056309745,0.3741152962054678,0.3741152962054678,0.10152054427289763,0.10152054427289763,0.0,0.0,0.0,0.0,0.0,-9.430845041519614e-19,5.505511567829482e-19,0.0,0.0,False
calendar_assumed_replay,06:00,0.12428935098399156,0.12428935098399156,0.4201615955475662,0.4201615955475662,0.036075777056309745,0.036075777056309745,0.3741152962054678,0.3741152962054678,0.10152054427289763,0.10152054427289763,0.0,0.0,0.0,0.0,0.0,-9.788669016246447e-19,5.581517493323313e-19,0.0,0.0,False
calendar_assumed_replay,09:15,0.12428935098399156,0.12428935098399156,0.4201615955475662,0.4201615955475662,0.036075777056309745,0.036075777056309745,0.3741152962054678,0.3741152962054678,0.10152054427289763,0.10152054427289763,0.0,0.0,0.0,0.0,0.0,-1.0458266316724436e-18,5.311621942206992e-19,0.0,0.0,False
calendar_assumed_replay,10:15,0.11875734888999052,0.11875734888999052,0.4000760592456141,0.4000760592456141,0.03182679756896785,0.03182679756896785,0.5664948911506165,0.5664948911506165,0.17520816131024183,0.17520816131024183,0.0,0.0,0.0,0.0,0.0,-1.1839264176702022e-18,2.0722011953726844e-19,0.0,0.0,False
calendar_assumed_replay,10:45,0.11770455971760314,0.11916666068430536,0.3952768542826707,0.4000668654811027,0.03147655921957627,0.027021044507389954,0.5993069092484298,0.5679711025872127,0.18757891920287384,0.16680945660309832,0.0014621009667022122,0.0047900111984320315,-0.004455514712186314,-0.03133580666121705,-0.020769462599775523,-2.321803710292854e-05,0.00303805758063571,-0.047181564519156366,-0.01199685883253358,False
calendar_assumed_replay,11:45,0.11777707207577807,0.118267849751512,0.3944596237333479,0.3960182358322346,0.03171365247598176,0.0299750560796362,0.6115178427949602,0.6010037040031381,0.19270254644555398,0.18569756003899734,0.0004907776757339249,0.0015586120988866914,-0.0017385963963455625,-0.01051413879182217,-0.00700498640655664,-7.557009322323272e-05,0.0010893775344624223,-0.016643790155611175,-0.0034201466774070955,False
calendar_assumed_replay,12:45,0.11761612810734255,0.11761612810734255,0.3935752544573411,0.3935752544573411,0.0316281361789471,0.0316281361789471,0.6166236978347901,0.6166236978347901,0.19912522948597194,0.19912522948597194,0.0,0.0,0.0,0.0,0.0,-6.739918587681839e-19,8.116743573318585e-19,0.0,0.0,False
calendar_assumed_replay,13:45,0.11712235216117395,0.11955003855405008,0.39149584968715967,0.39915567996998264,0.03141475375351321,0.028848122593535794,0.6296336220878761,0.5883635811951224,0.20631369216327045,0.17734439062237856,0.0024276863928761327,0.007659830282822966,-0.002566631159977413,-0.04127004089275366,-0.02896930154089189,-8.660862600645789e-05,0.004888847787648942,-0.06576933577549197,-0.015181648825153816,False
calendar_assumed_replay,14:45,0.11682219225255243,0.1193239071194112,0.39013809669263905,0.39796159110183077,0.031042854593878615,0.032143567273568895,0.6370381349630547,0.596465277091574,0.2119387794102788,0.18194160704845416,0.0025017148668587674,0.007823494409191722,0.00110071267969028,-0.04057285787148068,-0.029997172361824642,4.2332374479976985e-06,0.005132066767561632,-0.0648691254888305,-0.016156305046140657,False
calendar_assumed_replay,15:10,0.11573440001112661,0.11815764934956317,0.385663044076101,0.39354279181772367,0.031575012584157576,0.033323807511488,0.6426580190021051,0.6039142060647437,0.2242290907394312,0.19705448981622098,0.002423249338436559,0.007879747741622645,0.0017487949273304257,-0.0387438129373614,-0.027174600923210224,-0.0001730783946821797,0.004831155880605974,-0.06212857174860118,-0.014949011790861583,False
calendar_assumed_replay,15:25,0.11559740012808753,0.11800616947106851,0.3852979292391892,0.3930854122060404,0.03156714423630308,0.031773096784158635,0.643303300066175,0.605856537001604,0.22428330454073092,0.19937392030100057,0.002408769342980982,0.007787482966851167,0.0002059525478555549,-0.037446763064570954,-0.024909384239730353,0.0001219756188323062,0.004945852212072494,-0.05967623095522799,-0.013581570559872873,False
calendar_assumed_replay,15:45,0.11559408523676269,0.11796946107027066,0.3851716670705343,0.39283697386652394,0.03173654225936399,0.03179469085208209,0.6439266226098899,0.607224952065548,0.22449787024965234,0.20023899704795822,0.00237537583350797,0.007665306795989646,5.8148592718104686e-05,-0.03670167054434181,-0.02425887320169412,-0.0001618861389350891,0.0047306148419462395,-0.057916561682153464,-0.01310292519314705,False
