n,frequency,hit_rate,base_rate,lift,forward_benefit_bps,corridor_lift_min,corridor_freq_min,corridor_freq_max,quarter_lift_min,quarter_frequency_min,quarter_frequency_max,macro_year_lift,year_lift_min,year_frequency_min,year_frequency_max,rate,window,minimum_history
337,1.332768361581921,0.37388724035608306,0.3379032258064516,1.1064920716981934,32.796804903381535,0.9803921568627452,1.2457627118644068,1.463276836158192,0.21106941838649154,0.755056179775281,2.1954545454545458,1.1064920716981934,1.1064920716981934,1.332768361581921,1.332768361581921,0.18,20,5
317,1.2536723163841808,0.38170347003154576,0.3379032258064516,1.1296236344608992,33.83126908581365,1.0,1.1666666666666667,1.384180790960452,0.21106941838649154,0.755056179775281,2.1954545454545458,1.1296236344608992,1.1296236344608992,1.2536723163841808,1.2536723163841808,0.18,20,10
267,1.0559322033898306,0.33707865168539325,0.3379032258064516,0.9975597329114264,29.715395836353487,0.9056603773584905,0.9689265536723164,1.1666666666666667,0.21106941838649154,0.315,1.8931818181818183,0.9975597329114264,0.9975597329114264,1.0559322033898306,1.0559322033898306,0.18,20,20
329,1.301129943502825,0.364741641337386,0.3379032258064516,1.0794263371321209,28.757508166027147,0.9904761904761905,1.1864406779661016,1.384180790960452,0.39984767707539987,0.597752808988764,1.956818181818182,1.0794263371321209,1.0794263371321209,1.301129943502825,1.301129943502825,0.18,40,5
309,1.2220338983050847,0.37216828478964403,0.3379032258064516,1.1014049478261543,29.55731143814331,1.0101010101010102,1.1073446327683616,1.305084745762712,0.39984767707539987,0.597752808988764,1.956818181818182,1.1014049478261543,1.1014049478261543,1.2220338983050847,1.2220338983050847,0.18,40,10
259,1.0242937853107343,0.32432432432432434,0.3379032258064516,0.9598142295039671,24.489218619651478,0.8853190539937528,0.9096045197740114,1.0875706214689267,0.39984767707539987,0.28,1.6545454545454545,0.9598142295039671,0.9598142295039671,1.0242937853107343,1.0242937853107343,0.18,40,20
312,1.2338983050847459,0.3685897435897436,0.3379032258064516,1.0908145156355182,30.509303528940983,1.0037945863900835,1.1666666666666667,1.305084745762712,0.39984767707539987,0.2202247191011236,2.0681818181818183,1.0908145156355182,1.0908145156355182,1.2338983050847459,1.2338983050847459,0.18,60,5
292,1.1548022598870056,0.3767123287671233,0.3379032258064516,1.1148527152058065,31.475656673948418,1.0094979647218454,1.0875706214689267,1.225988700564972,0.39984767707539987,0.2202247191011236,2.0681818181818183,1.1148527152058065,1.1148527152058065,1.1548022598870056,1.1548022598870056,0.18,60,10
242,0.9570621468926553,0.32644628099173556,0.3379032258064516,0.966094005798931,26.44789312767103,0.9048092868988392,0.8898305084745763,1.0084745762711864,0.39984767707539987,0.2202247191011236,1.7659090909090909,0.966094005798931,0.966094005798931,0.9570621468926553,0.9570621468926553,0.18,60,20
307,1.2141242937853107,0.36482084690553745,0.3379032258064516,1.0796607402455047,29.585021836417912,1.0211013896037056,1.1468926553672316,1.265536723163842,0.39984767707539987,0.14157303370786517,2.0681818181818183,1.0796607402455047,1.0796607402455047,1.2141242937853107,1.2141242937853107,0.18,120,5
