breakdown,group,n_scope,n_signals,frequency,base_rate,hit_rate,lift,forward_benefit_bps
overall,all,2020,663,1.5652613827993256,0.26782178217821784,0.36048265460030166,1.3459795975833813,31.760301577868162
year,2025,1235,423,1.668169014084507,0.22186234817813766,0.2860520094562648,1.289322013425135,3.1971837691493694
quarter,2025Q1,285,105,1.8846153846153848,0.15087719298245614,0.2,1.3255813953488373,-50.701094943929306
quarter,2025Q2,295,136,2.1636363636363636,0.16610169491525423,0.25735294117647056,1.5493697478991595,-1.3461603344186586
quarter,2025Q3,330,91,1.4,0.34545454545454546,0.5274725274725275,1.526894158473106,87.96731556031722
quarter,2025Q4,325,91,1.4,0.20923076923076922,0.18681318681318682,0.8928571428571429,-12.592573703793049
year,2026,785,240,1.4933333333333332,0.3401273885350318,0.49166666666666664,1.4455368289637953,82.10279671573502
quarter,2026Q1,270,85,1.5454545454545454,0.2851851851851852,0.36470588235294116,1.2788388082505728,45.8432681912683
quarter,2026Q2,310,60,0.9333333333333333,0.3032258064516129,0.43333333333333335,1.4290780141843973,80.9001148248951
quarter,2026Q3,205,95,2.375,0.4682926829268293,0.6421052631578947,1.3711622807017543,115.30512132657785
currency,TJS,404,127,1.4991568296795954,0.2995049504950495,0.3937007874015748,1.3145051083490598,27.419921313296257
currency,UZS,404,134,1.581787521079258,0.2698019801980198,0.373134328358209,1.382993290428591,39.133433825846744
currency,KGS,404,132,1.558178752107926,0.24257425742574257,0.3106060606060606,1.2804576376004948,28.03419894378524
currency,AMD,404,134,1.581787521079258,0.2623762376237624,0.39552238805970147,1.507462686567164,43.145583370882754
currency,KZT,404,136,1.6053962900505903,0.26485148514851486,0.33088235294117646,1.2493128092358439,20.94740716468059
