n,frequency,hit_rate,base_rate,lift,forward_benefit_bps,corridor_lift_min,corridor_freq_min,corridor_freq_max,quarter_lift_min,quarter_frequency_min,quarter_frequency_max,macro_year_lift,year_lift_min,year_frequency_min,year_frequency_max,period,rate,window,minimum_history
437,1.7282485875706217,0.36613272311212813,0.3379032258064516,1.0835431423843411,27.639661351684772,1.0406504065040652,1.6214689265536724,1.7796610169491527,0.3814367450731087,1.053932584269663,2.625,1.0835431423843411,1.0835431423843411,1.7282485875706217,1.7282485875706217,screen_2024,0.35,20,10
423,1.668169014084507,0.2860520094562648,0.22186234817813766,1.289322013425135,3.1971837691493694,1.1860744297719086,1.5577464788732394,1.7746478873239435,0.8928571428571429,1.4,2.1636363636363636,1.289322013425135,1.289322013425135,1.668169014084507,1.668169014084507,retrospective_2025,0.35,20,10
240,1.4933333333333332,0.49166666666666664,0.3401273885350318,1.4455368289637953,82.10279671573502,1.3083333333333333,1.431111111111111,1.5555555555555554,1.2788388082505728,0.9333333333333333,2.375,1.4455368289637953,1.4455368289637953,1.4933333333333332,1.4933333333333332,retrospective_2026,0.35,20,10
663,1.5652613827993256,0.36048265460030166,0.26782178217821784,1.3459795975833813,31.760301577868162,1.2493128092358439,1.4991568296795954,1.6053962900505903,0.8928571428571429,0.9333333333333333,2.375,1.367429421194465,1.289322013425135,1.4933333333333332,1.668169014084507,combined_2025_2026,0.35,20,10
