candidate,horizon_lift_min,horizon_lift_mean,symmetric_benefit_min,future_benefit_min
incumbent,1.6230036627345803,1.8545481119686134,18.007536172632168,70.28340285633575
incumbent60_kyrgyz40,1.5374191860496293,1.681514220032091,16.598577281799525,57.35156213604606
incumbent75_kyrgyz25,1.5890637698483825,1.7742092174539212,17.33849243415579,63.354877884014
incumbent90_kyrgyz10,1.607023851912411,1.8142560055300325,17.11588630812224,66.01722497698181
incumbent_kgs_local_overlay,1.5141502976437455,1.676069470837757,16.130640078074567,53.89141096144594
kyrgyz_selected,0.9882964889466842,1.0866768932845852,-0.5013355383362509,-15.733158688470501
