rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,candidate,rate,rolling,cooldown
0.12,596,2.3570621468926554,0,0,0.37583892617449666,0.3379032258064516,1.1122679438099663,0.5649158863833904,21.52724838709754,1.1122679438099663,1.1122679438099663,1,1,2.194915254237288,2.4915254237288136,1.022902420492782,0.9712351945854484,1.1122679438099663,2.3570621468926554,2.3570621468926554,0.15730337078651685,5.122727272727273,4,quarterly_reset_hist_qrank60,0.12,0,0
0.12,398,1.5740112994350282,20,0,0.3015075376884422,0.3379032258064516,0.8922896103428838,0.5649158863833904,-3.5626857112649906,0.8922896103428838,0.8922896103428838,0,1,1.364406779661017,1.7203389830508475,0.824262567511425,0.8880407124681934,0.8922896103428838,1.5740112994350282,1.5740112994350282,0.7865168539325843,2.768181818181818,4,quarterly_reset_hist_qrank60,0.12,20,0
0.12,362,1.4316384180790962,40,0,0.32044198895027626,0.3379032258064516,0.9483247405688366,0.5649158863833904,1.8996252330669106,0.9483247405688366,0.9483247405688366,0,1,1.3248587570621468,1.5621468926553672,0.8583171101016657,0.9159663865546218,0.9483247405688366,1.4316384180790962,1.4316384180790962,0.5820224719101125,2.8000000000000003,4,quarterly_reset_hist_qrank60,0.12,40,0
0.12,361,1.4276836158192092,60,0,0.3739612188365651,0.3379032258064516,1.1067110056261116,0.5649158863833904,18.80269996447238,1.1067110056261116,1.1067110056261116,1,1,1.1468926553672316,1.5423728813559323,1.0145454545454544,0.9213483146067416,1.1067110056261116,1.4276836158192092,1.4276836158192092,0.20449438202247192,3.181818181818182,4,quarterly_reset_hist_qrank60,0.12,60,0
0.12,337,1.332768361581921,120,0,0.4124629080118694,0.3379032258064516,1.220653952111499,0.5649158863833904,35.58049968387113,1.220653952111499,1.220653952111499,1,1,1.2457627118644068,1.4039548022598871,1.090909090909091,0.9548192771084337,1.220653952111499,1.332768361581921,1.332768361581921,0.0,2.9225,4,quarterly_reset_hist_qrank60,0.12,120,0
0.12,417,1.6491525423728814,250,0,0.41247002398081534,0.3379032258064516,1.2206750113036062,0.5649158863833904,33.19391600331176,1.2206750113036062,1.2206750113036062,1,1,1.423728813559322,1.8785310734463279,1.1193415637860082,0.9611650485436893,1.2206750113036062,1.6491525423728814,1.6491525423728814,0.0,3.465,4,quarterly_reset_hist_qrank60,0.12,250,0
0.12,197,0.7790960451977401,40,3,0.3197969543147208,0.3379032258064516,0.9464158075185056,0.5649158863833904,-5.507348678036163,0.9464158075185056,0.9464158075185056,0,1,0.7514124293785311,0.8107344632768362,0.779261586802828,0.8177083333333334,0.9464158075185056,0.7790960451977401,0.7790960451977401,0.3460674157303371,1.415909090909091,4,quarterly_reset_hist_qrank60,0.12,40,3
0.12,179,0.707909604519774,60,3,0.3743016759776536,0.3379032258064516,1.1077185637524833,0.5649158863833904,16.691096025249582,1.1077185637524833,1.1077185637524833,1,1,0.632768361581921,0.7711864406779662,0.9253731343283582,0.8045977011494253,1.1077185637524833,0.707909604519774,0.707909604519774,0.1101123595505618,1.5590909090909093,4,quarterly_reset_hist_qrank60,0.12,60,3
0.15,643,2.5429378531073445,0,0,0.37636080870917576,0.3379032258064516,1.1138124171822863,0.5649158863833904,19.92433382952879,1.1138124171822863,1.1138124171822863,1,1,2.2740112994350286,2.8870056497175143,1.0392875851231012,0.9717868338557993,1.1138124171822863,2.5429378531073445,2.5429378531073445,0.4931818181818182,5.122727272727273,4,quarterly_reset_hist_qrank60,0.15,0,0
0.15,407,1.6096045197740114,20,0,0.3046683046683047,0.3379032258064516,0.9016436701400903,0.5649158863833904,-1.4555594931704545,0.9016436701400903,0.9016436701400903,0,1,1.423728813559322,1.7401129943502827,0.8148959474260679,0.8980099502487562,0.9016436701400903,1.6096045197740114,1.6096045197740114,0.8179775280898877,2.815909090909091,4,quarterly_reset_hist_qrank60,0.15,20,0
0.15,403,1.5937853107344633,40,0,0.315136476426799,0.3379032258064516,0.9326234624563979,0.5649158863833904,-1.01378195426613,0.9326234624563979,0.9326234624563979,0,1,1.423728813559322,1.6807909604519775,0.8225538971807629,0.9271356783919598,0.9326234624563979,1.5937853107344633,1.5937853107344633,0.6921348314606742,2.8954545454545455,4,quarterly_reset_hist_qrank60,0.15,40,0
0.15,379,1.498870056497175,60,0,0.3641160949868074,0.3379032258064516,1.0775750782425804,0.5649158863833904,16.789921786272025,1.0775750782425804,1.0775750782425804,1,1,1.225988700564972,1.6016949152542375,0.9988492520138089,0.93048128342246,1.0775750782425804,1.498870056497175,1.498870056497175,0.2359550561797753,3.245454545454545,4,quarterly_reset_hist_qrank60,0.15,60,0
0.15,352,1.3920903954802262,120,0,0.4147727272727273,0.3379032258064516,1.2274896940768063,0.5649158863833904,36.43329872925612,1.2274896940768063,1.2274896940768063,1,1,1.3248587570621468,1.4830508474576272,1.0980392156862744,0.968299711815562,1.2274896940768063,1.3920903954802262,1.3920903954802262,0.0,2.9925,4,quarterly_reset_hist_qrank60,0.15,120,0
0.15,468,1.8508474576271186,250,0,0.3995726495726496,0.3379032258064516,1.1825061705729965,0.5649158863833904,30.602411090554842,1.1825061705729965,1.1825061705729965,1,1,1.7005649717514124,1.9774011299435028,1.105542168674699,0.9740820734341252,1.1825061705729965,1.8508474576271186,1.8508474576271186,0.0,4.040909090909091,4,quarterly_reset_hist_qrank60,0.15,250,0
0.15,215,0.8502824858757062,40,3,0.28837209302325584,0.3379032258064516,0.8534162180163181,0.5649158863833904,-9.781217553693248,0.8534162180163181,0.8534162180163181,0,1,0.7909604519774012,0.9096045197740114,0.7209302325581395,0.8380952380952381,0.8534162180163181,0.8502824858757062,0.8502824858757062,0.40898876404494383,1.4318181818181819,4,quarterly_reset_hist_qrank60,0.15,40,3
0.15,189,0.747457627118644,60,3,0.36507936507936506,0.3379032258064516,1.0804258059627987,0.5649158863833904,16.996221560167,1.0804258059627987,1.0804258059627987,1,1,0.692090395480226,0.8107344632768362,0.9518123667377398,0.842391304347826,1.0804258059627987,0.747457627118644,0.747457627118644,0.1258426966292135,1.590909090909091,4,quarterly_reset_hist_qrank60,0.15,60,3
