rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,candidate,stage1_rate,stage1_rolling,stage1_cooldown,robustness,clears_1p30_gate
0.12,275,1.084507042253521,120,0,0.31272727272727274,0.22186234817813766,1.4095554080955541,0.5746618106139437,14.311527146286895,1.4095554080955541,1.4095554080955541,1,1,0.9070422535211268,1.2422535211267605,1.0977777777777777,0.9777777777777777,1.4095554080955541,1.084507042253521,1.084507042253521,0.0,4.1692307692307695,4,quarterly_reset_extra_qrank120,0.12,120,0,1.0977777777777777,False
0.25,161,0.6349295774647887,60,3,0.2857142857142857,0.22186234817813766,1.2877997914494264,0.5162011894544157,-4.501777652208243,1.2877997914494264,1.2877997914494264,1,1,0.532394366197183,0.7492957746478873,1.080625,0.8461538461538461,1.2877997914494264,0.6349295774647887,0.6349295774647887,0.0,1.6923076923076923,4,anchor_multiscale_locked,0.25,60,3,1.080625,False
0.12,255,1.0056338028169014,120,0,0.32941176470588235,0.22186234817813766,1.48475740661228,0.5583277000083551,9.386836756693535,1.48475740661228,1.48475740661228,1,1,0.828169014084507,1.1042253521126761,1.0767940979208586,0.972,1.48475740661228,1.0056338028169014,1.0056338028169014,0.0,3.8153846153846156,4,quarterly_reset_hist_qrank120_anchor50,0.12,120,0,1.0767940979208586,False
0.12,243,0.9583098591549296,120,0,0.31275720164609055,0.22186234817813766,1.4096903066894957,0.568141078712108,6.538040620670063,1.4096903066894957,1.4096903066894957,1,1,0.828169014084507,1.0450704225352112,1.0291666666666668,0.9495798319327731,1.4096903066894957,0.9583098591549296,0.9583098591549296,0.0,3.4153846153846152,4,quarterly_qrank_tree_consensus,0.12,120,0,1.0291666666666668,False
0.2,293,1.155492957746479,60,0,0.2627986348122867,0.22186234817813766,1.184512094865599,0.5644876459284353,-13.824933972228497,1.184512094865599,1.184512094865599,1,1,1.084507042253521,1.1830985915492958,1.0047457627118646,0.90625,1.184512094865599,1.155492957746479,1.155492957746479,0.3340909090909091,3.1076923076923078,4,quarterly_reset_hist_qrank120,0.2,60,0,1.0047457627118646,False
0.3,200,0.7887323943661971,60,3,0.26,0.22186234817813766,1.171897810218978,0.5472971433345739,-12.48681715497454,1.171897810218978,1.171897810218978,1,1,0.7690140845070422,0.847887323943662,0.9812206572769954,0.8205128205128205,1.171897810218978,0.7887323943661971,0.7887323943661971,0.1846153846153846,1.9076923076923078,4,quarterly_reset_hist_qrank60_anchor50,0.3,60,3,0.9812206572769954,False
0.22,146,0.5757746478873239,60,3,0.2876712328767123,0.22186234817813766,1.2966203379662034,0.5238745376242813,7.853573037460069,1.2966203379662034,1.2966203379662034,1,1,0.5126760563380282,0.7098591549295774,0.9605555555555556,0.8368794326241135,1.2966203379662034,0.5757746478873239,0.5757746478873239,0.05384615384615385,1.7076923076923076,4,quarterly_reset_hist_qrank250_anchor50,0.22,60,3,0.9605555555555556,False
0.12,248,0.9780281690140845,60,0,0.25806451612903225,0.22186234817813766,1.1631740051801271,0.5192621736785739,-22.14769747095838,1.1631740051801271,1.1631740051801271,1,1,0.8084507042253521,1.2225352112676056,0.8899443170651818,0.8559670781893004,1.1631740051801271,0.9780281690140845,0.9780281690140845,0.2545454545454546,2.5846153846153848,4,quarterly_reset_hist_qrank250_anchor25,0.12,60,0,0.8899443170651818,False
0.25,181,0.7138028169014085,60,3,0.2430939226519337,0.22186234817813766,1.0956970601282412,0.5602341690908953,-10.835473107903503,1.0956970601282412,1.0956970601282412,1,1,0.6309859154929577,0.7690140845070422,0.869718309859155,0.8295454545454546,1.0956970601282412,0.7138028169014085,0.7138028169014085,0.16923076923076924,1.876923076923077,4,quarterly_reset_hist_qrank120_anchor25,0.25,60,3,0.869718309859155,False
0.35,255,1.0056338028169014,60,3,0.23529411764705882,0.22186234817813766,1.060541004723057,0.5538938301799372,-29.97375545111418,1.060541004723057,1.060541004723057,1,1,0.9267605633802817,1.084507042253521,0.8316498316498316,0.84,1.060541004723057,1.0056338028169014,1.0056338028169014,0.3076923076923077,1.8153846153846156,4,quarterly_reset_hist_qrank60,0.35,60,3,0.8316498316498316,False
0.2,347,1.3684507042253522,60,0,0.21902017291066284,0.22186234817813766,0.9871894654914912,0.515090348405326,-31.966899867526294,0.9871894654914912,0.9871894654914912,0,1,1.2816901408450705,1.5183098591549296,0.8028169014084507,0.8888888888888888,0.9871894654914912,1.3684507042253522,1.3684507042253522,0.3181818181818182,2.630769230769231,4,quarterly_reset_hist_qrank250,0.2,60,0,0.8028169014084507,False
0.3,251,0.9898591549295775,40,3,0.19123505976095617,0.22186234817813766,0.8619536452729228,0.5474243678649825,-41.5170405876496,0.8619536452729228,0.8619536452729228,0,1,0.9070422535211268,1.0253521126760563,0.7562767911818739,0.8211382113821138,0.8619536452729228,0.9898591549295775,0.9898591549295775,0.43076923076923074,1.723076923076923,4,quarterly_reset_hist_qrank60_anchor25,0.3,40,3,0.7562767911818739,False
0.12,236,0.9307042253521127,20,0,0.16101694915254236,0.22186234817813766,0.7257515773846344,0.5641382531882088,-37.30055736662533,0.7257515773846344,0.7257515773846344,0,1,0.828169014084507,0.9859154929577465,0.5880952380952381,0.7532467532467533,0.7257515773846344,0.9307042253521127,0.9307042253521127,0.4,1.8153846153846156,4,quarterly_qrank_tree_anchor,0.12,20,0,0.5880952380952381,False
