period,policy,observed_lift,circular_shift_p_unadjusted,circular_shift_p_max_adjusted,n_recorded_policies,observed_max_lift,null_max_lift_q95
confirmation_2025,quarterly_reset_extra_qrank120,1.4095554080955541,0.07148212946763309,0.14521369657585603,13,1.48475740661228,1.6362113788621138
confirmation_2025,quarterly_qrank_tree_consensus,1.4096903066894957,0.07648087978005498,0.14521369657585603,13,1.48475740661228,1.6362113788621138
confirmation_2025,anchor_multiscale_locked,1.2877997914494264,0.1092226943264184,0.21219695076230943,13,1.48475740661228,1.6362113788621138
confirmation_2025,quarterly_reset_hist_qrank250_anchor25,1.1631740051801271,0.17170707323169207,0.45413646588352913,13,1.48475740661228,1.6362113788621138
confirmation_2025,quarterly_reset_hist_qrank120_anchor50,1.48475740661228,0.04023994001499625,0.10572356910772307,13,1.48475740661228,1.6362113788621138
confirmation_2025,quarterly_reset_hist_qrank250,0.9871894654914912,0.39915021244688825,0.8407898025493626,13,1.48475740661228,1.6362113788621138
confirmation_2025,quarterly_reset_hist_qrank120,1.184512094865599,0.13546613346663333,0.385153711572107,13,1.48475740661228,1.6362113788621138
confirmation_2025,quarterly_reset_hist_qrank120_anchor25,1.0956970601282412,0.22494376405898525,0.5873531617095726,13,1.48475740661228,1.6362113788621138
confirmation_2025,quarterly_reset_hist_qrank60_anchor50,1.171897810218978,0.15496125968507873,0.4171457135716071,13,1.48475740661228,1.6362113788621138
confirmation_2025,quarterly_reset_hist_qrank250_anchor50,1.2966203379662034,0.11272181954511372,0.1944513871532117,13,1.48475740661228,1.6362113788621138
confirmation_2025,quarterly_qrank_tree_anchor,0.7257515773846344,0.9135216195951013,1.0,13,1.48475740661228,1.6362113788621138
confirmation_2025,quarterly_reset_hist_qrank60,1.060541004723057,0.327168207948013,0.6813296675831042,13,1.48475740661228,1.6362113788621138
confirmation_2025,quarterly_reset_hist_qrank60_anchor25,0.8619536452729228,0.8040489877530618,0.9620094976255936,13,1.48475740661228,1.6362113788621138
retrospective_2025_2026,quarterly_reset_extra_qrank120,1.3798923089287147,0.09747563109222694,0.1422144463884029,13,1.4671962081600916,1.486286387477703
retrospective_2025_2026,quarterly_qrank_tree_consensus,1.4146197381710082,0.06773306673331667,0.11572106973256686,13,1.4671962081600916,1.486286387477703
retrospective_2025_2026,anchor_multiscale_locked,1.4276394476459713,0.00024993751562109475,0.1039740064983754,13,1.4671962081600916,1.486286387477703
retrospective_2025_2026,quarterly_reset_hist_qrank250_anchor25,1.2959639646106633,0.03624093976505874,0.21719570107473132,13,1.4671962081600916,1.486286387477703
retrospective_2025_2026,quarterly_reset_hist_qrank120_anchor50,1.4671962081600916,0.04948762809297676,0.07548112971757061,13,1.4671962081600916,1.486286387477703
retrospective_2025_2026,quarterly_reset_hist_qrank250,1.084232667205652,0.28692826793301673,0.6445888527868033,13,1.4671962081600916,1.486286387477703
retrospective_2025_2026,quarterly_reset_hist_qrank120,1.212569316081331,0.1284678830292427,0.3699075231192202,13,1.4671962081600916,1.486286387477703
retrospective_2025_2026,quarterly_reset_hist_qrank120_anchor25,1.0995316557613146,0.25968507873031743,0.6063484128967758,13,1.4671962081600916,1.486286387477703
retrospective_2025_2026,quarterly_reset_hist_qrank60_anchor50,1.2186116996375536,0.040989752561859535,0.3609097725568608,13,1.4671962081600916,1.486286387477703
retrospective_2025_2026,quarterly_reset_hist_qrank250_anchor50,1.2708110386872913,0.048987753061734564,0.24243939015246188,13,1.4671962081600916,1.486286387477703
retrospective_2025_2026,quarterly_qrank_tree_anchor,1.2248977509388512,0.02999250187453137,0.34691327168207947,13,1.4671962081600916,1.486286387477703
retrospective_2025_2026,quarterly_reset_hist_qrank60,0.9693587373809186,0.5863534116470882,0.9337665583604099,13,1.4671962081600916,1.486286387477703
retrospective_2025_2026,quarterly_reset_hist_qrank60_anchor25,1.0026014924351339,0.43364158960259935,0.870782304423894,13,1.4671962081600916,1.486286387477703
