rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,candidate,rate,rolling,cooldown,robustness
0.12,270,1.0677966101694916,120,0,0.5074074074074074,0.3379032258064516,1.5016352868381508,0.583978441797796,76.56066606929868,1.5016352868381508,1.5016352868381508,1,1,1.0282485875706215,1.1271186440677967,1.4035087719298245,0.8641509433962264,1.5016352868381508,1.0677966101694916,1.0677966101694916,0.3340909090909091,1.638636363636364,4,quarterly_reset_extra_qrank120,0.12,120,0,1.4035087719298245
0.12,265,1.0480225988700564,120,0,0.46037735849056605,0.3379032258064516,1.3624532804971405,0.5639623952395211,52.13072401212992,1.3624532804971405,1.3624532804971405,1,1,0.9096045197740114,1.1666666666666667,1.2297520661157024,0.8846153846153846,1.3624532804971405,1.0480225988700564,1.0480225988700564,0.5191011235955056,1.925,4,quarterly_qrank_tree_consensus,0.12,120,0,1.2297520661157024
0.25,261,1.0322033898305085,60,3,0.38697318007662834,0.3379032258064516,1.1452189577446759,0.5386788915084055,24.422626861918275,1.1452189577446759,1.1452189577446759,1,1,0.9689265536723164,1.0875706214689267,1.0767978290366351,0.890625,1.1452189577446759,1.0322033898305085,1.0322033898305085,0.4931818181818182,1.4477272727272728,4,anchor_multiscale_locked,0.25,60,3,1.0767978290366351
0.12,275,1.0875706214689267,60,0,0.3781818181818182,0.3379032258064516,1.1192015621609894,0.5657327492231081,29.433084080130183,1.1192015621609894,1.1192015621609894,1,1,0.9887005649717514,1.1666666666666667,1.0666666666666667,0.8777777777777778,1.1192015621609894,1.0875706214689267,1.0875706214689267,0.6449438202247191,2.4022727272727273,4,quarterly_reset_hist_qrank250_anchor25,0.12,60,0,1.0666666666666667
0.12,336,1.328813559322034,120,0,0.36904761904761907,0.3379032258064516,1.092169564723264,0.5682167680720003,28.324767098942228,1.092169564723264,1.092169564723264,1,1,1.225988700564972,1.423728813559322,0.9959839357429718,0.9244712990936556,1.092169564723264,1.328813559322034,1.328813559322034,0.39772727272727276,2.3227272727272728,4,quarterly_reset_hist_qrank120_anchor50,0.12,120,0,0.9959839357429718
0.2,310,1.225988700564972,60,0,0.3548387096774194,0.3379032258064516,1.0501193317422435,0.5623664603676174,21.7629821628714,1.0501193317422435,1.0501193317422435,1,1,1.1666666666666667,1.305084745762712,0.9959839357429718,0.8852459016393442,1.0501193317422435,1.225988700564972,1.225988700564972,0.597752808988764,2.2272727272727275,4,quarterly_reset_hist_qrank250,0.2,60,0,0.9959839357429718
0.2,321,1.269491525423729,60,0,0.34579439252336447,0.3379032258064516,1.0233533334820333,0.5565117921854424,16.727626496123666,1.0233533334820333,1.0233533334820333,1,1,1.0875706214689267,1.384180790960452,0.9532085561497327,0.8987341772151899,1.0233533334820333,1.269491525423729,1.269491525423729,0.36179775280898874,2.1636363636363636,4,quarterly_reset_hist_qrank120,0.2,60,0,0.9532085561497327
0.25,254,1.0045197740112994,60,3,0.33070866141732286,0.3379032258064516,0.9787082103997145,0.553492888060721,15.966890363452341,0.9787082103997145,0.9787082103997145,0,1,0.8700564971751413,1.1271186440677967,0.9193697868396664,0.8875502008032129,0.9787082103997145,1.0045197740112994,1.0045197740112994,0.6522727272727272,1.5590909090909093,4,quarterly_reset_hist_qrank120_anchor25,0.25,60,3,0.9193697868396664
0.3,273,1.0796610169491525,60,3,0.3333333333333333,0.3379032258064516,0.9864757358790771,0.5646397227898918,13.106113463033923,0.9864757358790771,0.9864757358790771,0,1,0.9887005649717514,1.1271186440677967,0.891143521454238,0.917910447761194,0.9864757358790771,1.0796610169491525,1.0796610169491525,0.30227272727272725,1.8454545454545455,4,quarterly_reset_hist_qrank60_anchor50,0.3,60,3,0.891143521454238
0.22,229,0.9056497175141243,60,3,0.3231441048034934,0.3379032258064516,0.9563214557430355,0.5735656208302932,10.944964413216638,0.9563214557430355,0.9563214557430355,0,1,0.7711864406779662,1.0084745762711864,0.8888888888888888,0.8794642857142857,0.9563214557430355,0.9056497175141243,0.9056497175141243,0.39772727272727276,1.6863636363636363,4,quarterly_reset_hist_qrank250_anchor50,0.22,60,3,0.8888888888888888
0.12,263,1.0401129943502825,20,0,0.33460076045627374,0.3379032258064516,0.9902265941904044,0.5780743548673106,20.459419594276994,0.9902265941904044,0.9902265941904044,0,1,0.8502824858757062,1.1468926553672316,0.868217054263566,0.8449612403100775,0.9902265941904044,1.0401129943502825,1.0401129943502825,0.5820224719101125,1.8772727272727274,4,quarterly_qrank_tree_anchor,0.12,20,0,0.868217054263566
0.35,276,1.0915254237288137,60,3,0.31521739130434784,0.3379032258064516,0.9328629241465187,0.5649158863833904,1.1729881695496882,0.9328629241465187,0.9328629241465187,0,1,1.0480225988700564,1.1073446327683616,0.8148959474260679,0.9188191881918819,0.9328629241465187,1.0915254237288137,1.0915254237288137,0.40898876404494383,2.0045454545454544,4,quarterly_reset_hist_qrank60,0.35,60,3,0.8148959474260679
0.3,275,1.0875706214689267,40,3,0.2872727272727273,0.3379032258064516,0.8501627251030593,0.549495783417975,0.05009006635050479,0.8501627251030593,0.8501627251030593,0,1,1.0282485875706215,1.1271186440677967,0.7338829000211372,0.8925925925925926,0.8501627251030593,1.0875706214689267,1.0875706214689267,0.36179775280898874,1.7022727272727272,4,quarterly_reset_hist_qrank60_anchor25,0.3,40,3,0.7338829000211372
