policy,n,frequency,lift,forward_benefit_bps,lift_ci_low,lift_ci_high,p_lift_le_1,benefit_ci_low,benefit_ci_high,lift_diff_vs_anchor_ci_low,lift_diff_vs_anchor_ci_high,lift_diff_vs_anchor,finite_bootstrap_lift,finite_bootstrap_difference,period
anchor_multiscale_locked,161,0.6349295774647887,1.2877997914494264,-4.501777652208243,0.6584733494701323,1.677830765323748,0.16370907273181703,-64.7851613620934,29.448219382248055,0.0,0.0,0.0,4000,4000,2025
quarterly_reset_extra_qrank120,275,1.084507042253521,1.4095554080955541,14.311527146286895,0.8828317683382421,1.8840591619594753,0.03875,-24.954984796579204,41.6616075352858,-0.23007574163607605,0.6838278084915257,0.12175561664612777,3999,3999,2025
quarterly_reset_hist_qrank120_anchor50,255,1.0056338028169014,1.48475740661228,9.386836756693535,0.8697856340996649,1.9572457575557174,0.039990002499375156,-45.9678398672902,35.71412001423122,-0.21282287803842326,0.7419458433147123,0.1969576151628536,4000,4000,2025
quarterly_qrank_tree_consensus,243,0.9583098591549296,1.4096903066894957,6.538040620670063,0.9425653625331861,1.8199925718917862,0.03525,-34.23399866854331,28.916549468675715,-0.3019012274839874,0.7125907347345889,0.12189051524006933,3999,3999,2025
quarterly_reset_hist_qrank120,293,1.155492957746479,1.184512094865599,-13.824933972228497,0.6932461114590469,1.5104062580756314,0.2086978255436141,-80.84628182057266,20.98070824392016,-0.6621282940182004,0.47169598784562367,-0.10328769658382742,4000,4000,2025
anchor_multiscale_locked,145,0.9022222222222221,1.4396228851866202,77.66126169912057,1.1183448328274297,1.9813624777940837,0.0017495626093476631,8.986143605427088,126.29970390214162,0.0,0.0,0.0,4000,4000,2026
quarterly_reset_extra_qrank120,185,1.151111111111111,1.3349529304585486,60.51695223393061,0.7142753344345544,1.7108628737870089,0.09572606848287928,-40.78884147791341,111.4498604394244,-1.0792723825631445,0.18146599271857095,-0.10466995472807161,4000,4000,2026
quarterly_reset_hist_qrank120_anchor50,142,0.8835555555555554,1.4907422060452604,69.05134550054674,0.34144018869543413,2.0460973800335815,0.1947013246688328,-122.90895912272566,131.73013308470576,-1.3879451446464455,0.46291832797934007,0.05111932085864024,4000,4000,2026
quarterly_qrank_tree_consensus,145,0.9022222222222221,1.4396228851866202,69.93140019787195,0.5213570316887396,1.8460306132924236,0.2026993251687078,-51.85067045778494,143.53591684365915,-1.317468906510112,0.4533084034781812,0.0,4000,4000,2026
quarterly_reset_hist_qrank120,212,1.319111111111111,1.2065401738393047,35.46740949328748,0.7086139799007576,1.6074882222479672,0.2504373906523369,-35.82263212996247,111.25906883926267,-0.9847864748740834,0.3131574137529392,-0.2330827113473155,4000,4000,2026
anchor_multiscale_locked,306,0.7224283305227657,1.4276394476459713,34.43168870708155,1.1779161077106282,1.7145838528608448,0.0029992501874531365,-14.63872014823206,67.39429849279331,0.0,0.0,0.0,4000,4000,2025_2026
quarterly_reset_extra_qrank120,460,1.0860033726812817,1.3798923089287147,32.894143757621855,1.0537191191349407,1.8152246015453397,0.012246938265433641,-10.141746707491786,74.28063481337739,-0.42624285571159193,0.3416656180726681,-0.047747138717256554,4000,4000,2025_2026
quarterly_reset_hist_qrank120_anchor50,397,0.9372681281618889,1.4671962081600916,30.727794544167484,0.9984623422123421,1.9717921530835048,0.02549362659335166,-29.959681220297448,79.1782945586494,-0.4936307421757428,0.5098228112504843,0.03955676051412027,4000,4000,2025_2026
quarterly_qrank_tree_consensus,388,0.9160202360876897,1.4146197381710082,30.22885798843881,0.9483917966333744,1.915914481323669,0.04473881529617595,-21.78838716087375,82.97555411673385,-0.5872058464273231,0.46298307615519346,-0.013019709474963115,4000,4000,2025_2026
quarterly_reset_hist_qrank120,505,1.1922428330522767,1.212569316081331,6.8680894231960306,0.8575237045995994,1.551954029143739,0.13471632091977007,-40.298666616815964,47.948672079411914,-0.6925979133938712,0.19047545661307375,-0.2150701315646404,4000,4000,2025_2026
