rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,candidate,passed_2025,stage1_rate,stage1_rolling,stage1_cooldown,robustness
0.12,206,1.2817777777777777,20,0,0.5194174757281553,0.3401273885350318,1.5271262863168613,0.5923459575144969,76.18466039594591,1.5271262863168613,1.5271262863168613,1,1,1.1199999999999999,1.462222222222222,1.3361702127659576,0.8805970149253731,1.5271262863168613,1.2817777777777777,1.2817777777777777,0.7777777777777778,2.45,3,quarterly_qrank_tree_anchor,False,0.12,20,0,1.3361702127659576
0.12,142,0.8835555555555554,120,0,0.5070422535211268,0.3401273885350318,1.4907422060452604,0.5863194655329487,69.05134550054674,1.4907422060452604,1.4907422060452604,1,1,0.6844444444444444,1.182222222222222,1.3221052631578947,0.8832116788321168,1.4907422060452604,0.8835555555555554,0.8835555555555554,0.03636363636363637,2.625,3,quarterly_reset_hist_qrank120_anchor50,False,0.12,120,0,1.3221052631578947
0.2,204,1.2693333333333332,60,0,0.4117647058823529,0.3401273885350318,1.210619079092311,0.5510932280595202,44.19224679699783,1.210619079092311,1.210619079092311,1,1,1.151111111111111,1.3377777777777777,1.15018315018315,0.8844221105527639,1.210619079092311,1.2693333333333332,1.2693333333333332,0.9177777777777778,1.7090909090909092,3,quarterly_reset_hist_qrank250,False,0.2,60,0,1.15018315018315
0.12,185,1.151111111111111,120,0,0.4540540540540541,0.3401273885350318,1.3349529304585486,0.5907733576272903,60.51695223393061,1.3349529304585486,1.3349529304585486,1,1,0.7466666666666666,1.5866666666666664,1.1322115384615385,0.9166666666666666,1.3349529304585486,1.151111111111111,1.151111111111111,0.0,3.15,3,quarterly_reset_extra_qrank120,False,0.12,120,0,1.1322115384615385
0.12,164,1.0204444444444443,60,0,0.4817073170731707,0.3401273885350318,1.4162555951402211,0.5701849522074242,68.30155702768539,1.4162555951402211,1.4162555951402211,1,1,0.84,1.182222222222222,1.1214285714285714,0.8364779874213837,1.4162555951402211,1.0204444444444443,1.0204444444444443,0.2644444444444444,1.675,3,quarterly_reset_hist_qrank250_anchor25,False,0.12,60,0,1.1214285714285714
0.2,212,1.319111111111111,60,0,0.41037735849056606,0.3401273885350318,1.2065401738393047,0.5529803479241681,35.46740949328748,1.2065401738393047,1.2065401738393047,1,1,1.1199999999999999,1.431111111111111,1.0735042735042737,0.8985507246376812,1.2065401738393047,1.319111111111111,1.319111111111111,1.1090909090909091,1.5088888888888887,3,quarterly_reset_hist_qrank120,False,0.2,60,0,1.0735042735042737
0.25,145,0.9022222222222221,60,3,0.4896551724137931,0.3401273885350318,1.4396228851866202,0.5777117406330889,77.66126169912057,1.4396228851866202,1.4396228851866202,1,1,0.84,0.9333333333333332,1.0466666666666666,0.9285714285714286,1.4396228851866202,0.9022222222222221,0.9022222222222221,0.2955555555555555,1.95,3,anchor_multiscale_locked,False,0.25,60,3,1.0466666666666666
0.12,145,0.9022222222222221,120,0,0.4896551724137931,0.3401273885350318,1.4396228851866202,0.5784239295475251,69.93140019787195,1.4396228851866202,1.4396228851866202,1,1,0.591111111111111,1.2444444444444442,1.0378605769230769,0.9142857142857143,1.4396228851866202,0.9022222222222221,0.9022222222222221,0.0,2.05,3,quarterly_qrank_tree_consensus,False,0.12,120,0,1.0378605769230769
0.3,181,1.1262222222222222,40,3,0.3756906077348066,0.3401273885350318,1.1045585283588883,0.5756004800948622,53.77127501204626,1.1045585283588883,1.1045585283588883,1,1,1.0577777777777777,1.182222222222222,0.991578947368421,0.8806818181818182,1.1045585283588883,1.1262222222222222,1.1262222222222222,0.49777777777777776,1.6363636363636365,3,quarterly_reset_hist_qrank60_anchor25,False,0.3,40,3,0.991578947368421
0.3,183,1.1386666666666665,60,3,0.3989071038251366,0.3401273885350318,1.1728167659278361,0.5844034242910647,48.761941405533136,1.1728167659278361,1.1728167659278361,1,1,0.9955555555555554,1.2444444444444442,0.9420000000000001,0.9213483146067416,1.1728167659278361,1.1386666666666665,1.1386666666666665,0.3733333333333333,1.825,3,quarterly_reset_hist_qrank60_anchor50,False,0.3,60,3,0.9420000000000001
0.25,145,0.9022222222222221,60,3,0.3586206896551724,0.3401273885350318,1.0543716905592149,0.5751666594363223,46.82570558904763,1.0543716905592149,1.0543716905592149,1,1,0.6844444444444444,1.182222222222222,0.8763955342902712,0.75,1.0543716905592149,0.9022222222222221,0.9022222222222221,0.7466666666666666,1.275,3,quarterly_reset_hist_qrank120_anchor25,False,0.25,60,3,0.8763955342902712
0.22,139,0.8648888888888888,60,3,0.39568345323741005,0.3401273885350318,1.163338991727966,0.5801664425259931,46.12082807640043,1.163338991727966,1.163338991727966,1,1,0.7466666666666666,0.9333333333333332,0.785,0.7835820895522388,1.163338991727966,0.8648888888888888,0.8648888888888888,0.43555555555555553,1.375,3,quarterly_reset_hist_qrank250_anchor50,False,0.22,60,3,0.785
0.35,161,1.0017777777777779,60,3,0.2981366459627329,0.3401273885350318,0.8765440714634658,0.5560387835668735,39.89445836148112,0.8765440714634658,0.8765440714634658,0,1,0.8711111111111111,1.151111111111111,0.7385752688172043,0.8397435897435898,0.8765440714634658,1.0017777777777779,1.0017777777777779,0.3888888888888889,1.5636363636363635,3,quarterly_reset_hist_qrank60,False,0.35,60,3,0.7385752688172043
