clock,period,currency,source,n,available_share,mean_bar_count,median_age_minutes,new_bar_share_vs1830,changed_basis_share_vs1830
1810,early,ALL,cny,1135,1.0,47.0,20.016666666666666,0.0,0.973568281938326
1810,early,ALL,local,1135,0.7383259911894273,17.57885462555066,32.90833333333333,0.0,0.34889867841409694
1810,early,AMD,cny,227,1.0,47.0,20.016666666666666,0.0,0.973568281938326
1810,early,AMD,local,227,1.0,28.519823788546255,28.916666666666668,0.0,0.5462555066079295
1810,early,KGS,cny,227,1.0,47.0,20.016666666666666,0.0,0.973568281938326
1810,early,KGS,local,227,0.7665198237885462,8.26431718061674,53.13333333333333,0.0,0.21145374449339208
1810,early,KZT,cny,227,1.0,47.0,20.016666666666666,0.0,0.973568281938326
1810,early,KZT,local,227,1.0,46.77533039647577,20.016666666666666,0.0,0.9162995594713657
1810,early,TJS,cny,227,1.0,47.0,20.016666666666666,0.0,0.973568281938326
1810,early,TJS,local,227,0.00881057268722467,0.00881057268722467,471.975,0.0,0.0
1810,early,UZS,cny,227,1.0,47.0,20.016666666666666,0.0,0.973568281938326
1810,early,UZS,local,227,0.9162995594713657,4.325991189427313,113.43333333333334,0.0,0.07048458149779736
1810,later,ALL,cny,3260,1.0,47.0,20.016666666666666,0.0,0.9677914110429447
1810,later,ALL,local,3260,0.7058282208588957,12.669018404907975,41.46666666666667,0.0,0.24938650306748467
1810,later,AMD,cny,652,1.0,47.0,20.016666666666666,0.0,0.9677914110429447
1810,later,AMD,local,652,1.0,26.162576687116566,30.433333333333334,0.0,0.495398773006135
1810,later,KGS,cny,652,1.0,47.0,20.016666666666666,0.0,0.9677914110429447
1810,later,KGS,local,652,0.9248466257668712,4.435582822085889,108.95,0.0,0.10429447852760736
1810,later,KZT,cny,652,1.0,47.0,20.016666666666666,0.0,0.9677914110429447
1810,later,KZT,local,652,1.0,31.303680981595093,21.21666666666667,0.0,0.6104294478527608
1810,later,TJS,cny,652,1.0,47.0,20.016666666666666,0.0,0.9677914110429447
1810,later,TJS,local,652,0.03067484662576687,0.032208588957055216,447.2416666666667,0.0,0.0
1810,later,UZS,cny,652,1.0,47.0,20.016666666666666,0.0,0.9677914110429447
1810,later,UZS,local,652,0.5736196319018405,1.4110429447852761,221.21666666666667,0.0,0.03680981595092025
1830,early,ALL,cny,1135,1.0,49.0,20.016666666666666,0.0,0.0
1830,early,ALL,local,1135,0.7383259911894273,18.238766519823788,34.36666666666667,0.0,0.0
1830,early,AMD,cny,227,1.0,49.0,20.016666666666666,0.0,0.0
1830,early,AMD,local,227,1.0,29.43612334801762,32.38333333333333,0.0,0.0
1830,early,KGS,cny,227,1.0,49.0,20.016666666666666,0.0,0.0
1830,early,KGS,local,227,0.7665198237885462,8.581497797356828,55.675,0.0,0.0
1830,early,KZT,cny,227,1.0,49.0,20.016666666666666,0.0,0.0
1830,early,KZT,local,227,1.0,48.731277533039645,20.016666666666666,0.0,0.0
1830,early,TJS,cny,227,1.0,49.0,20.016666666666666,0.0,0.0
1830,early,TJS,local,227,0.00881057268722467,0.00881057268722467,491.975,0.0,0.0
1830,early,UZS,cny,227,1.0,49.0,20.016666666666666,0.0,0.0
1830,early,UZS,local,227,0.9162995594713657,4.436123348017621,112.90833333333333,0.0,0.0
