currency,date,decision_at,cny_announced_price,cny_announced_effective_date,cny_source_received_at,local_source_term,cny_basis_last_z,cny_last_missing,cny_basis_mean_z,cny_mean_missing,cny_basis_post_z,cny_post_missing,cny_n,cny_age,cny_quality,cny_range,cny_late_z,cny_max_source,local_basis_last_z,local_last_missing,local_basis_mean_z,local_mean_missing,local_basis_post_z,local_post_missing,local_n,local_age,local_quality,local_range,local_late_z,local_max_source
AMD,2022-01-10,2022-01-10T19:30:00+03:00,11.7907,2022-01-11,2022-01-10T18:00:00+03:00,TOD,0.12165568115159395,0.0,-0.4107378278974855,0.0,-0.2770250826566648,0.0,52.0,20.016666666666666,0.8463641661483698,70.76893796505281,0.5234285066129514,2022-01-10T19:30:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,720.0,0.0,0.0,0.0,
KGS,2022-01-10,2022-01-10T19:30:00+03:00,11.7907,2022-01-11,2022-01-10T18:00:00+03:00,TOD,0.12165568115159395,0.0,-0.4107378278974855,0.0,-0.2770250826566648,0.0,52.0,20.016666666666666,0.8463641661483698,70.76893796505281,0.5234285066129514,2022-01-10T19:30:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,720.0,0.0,0.0,0.0,
KZT,2022-01-10,2022-01-10T19:30:00+03:00,11.7907,2022-01-11,2022-01-10T18:00:00+03:00,TOM,0.12165568115159395,0.0,-0.4107378278974855,0.0,-0.2770250826566648,0.0,52.0,20.016666666666666,0.8463641661483698,70.76893796505281,0.5234285066129514,2022-01-10T19:30:00,-0.8807365664262778,0.0,-0.8807365664262778,0.0,-0.8807365664262778,0.0,1.0,206.38333333333333,0.007462125830708261,0.0,0.0,2022-01-10T16:30:00
TJS,2022-01-10,2022-01-10T19:30:00+03:00,11.7907,2022-01-11,2022-01-10T18:00:00+03:00,TOD,0.12165568115159395,0.0,-0.4107378278974855,0.0,-0.2770250826566648,0.0,52.0,20.016666666666666,0.8463641661483698,70.76893796505281,0.5234285066129514,2022-01-10T19:30:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,720.0,0.0,0.0,0.0,
UZS,2022-01-10,2022-01-10T19:30:00+03:00,11.7907,2022-01-11,2022-01-10T18:00:00+03:00,TOD,0.12165568115159395,0.0,-0.4107378278974855,0.0,-0.2770250826566648,0.0,52.0,20.016666666666666,0.8463641661483698,70.76893796505281,0.5234285066129514,2022-01-10T19:30:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,720.0,0.0,0.0,0.0,
AMD,2022-01-11,2022-01-11T19:30:00+03:00,11.7446,2022-01-12,2022-01-11T18:00:00+03:00,TOD,-0.9350432671106178,0.0,-0.19951014660372826,0.0,-0.30259904569835744,0.0,54.0,20.016666666666666,0.8463641661483698,50.5988886347666,-0.8528119633393888,2022-01-11T19:30:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,720.0,0.0,0.0,0.0,
KGS,2022-01-11,2022-01-11T19:30:00+03:00,11.7446,2022-01-12,2022-01-11T18:00:00+03:00,TOD,-0.9350432671106178,0.0,-0.19951014660372826,0.0,-0.30259904569835744,0.0,54.0,20.016666666666666,0.8463641661483698,50.5988886347666,-0.8528119633393888,2022-01-11T19:30:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,720.0,0.0,0.0,0.0,
KZT,2022-01-11,2022-01-11T19:30:00+03:00,11.7446,2022-01-12,2022-01-11T18:00:00+03:00,TOM,-0.9350432671106178,0.0,-0.19951014660372826,0.0,-0.30259904569835744,0.0,54.0,20.016666666666666,0.8463641661483698,50.5988886347666,-0.8528119633393888,2022-01-11T19:30:00,0.1491968985119278,0.0,-0.3774598744498558,0.0,0.1491968985119278,0.0,2.0,203.41666666666666,0.015297810908795107,58.30920310793144,1.0533135459235472,2022-01-11T16:30:00
TJS,2022-01-11,2022-01-11T19:30:00+03:00,11.7446,2022-01-12,2022-01-11T18:00:00+03:00,TOD,-0.9350432671106178,0.0,-0.19951014660372826,0.0,-0.30259904569835744,0.0,54.0,20.016666666666666,0.8463641661483698,50.5988886347666,-0.8528119633393888,2022-01-11T19:30:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,720.0,0.0,0.0,0.0,
UZS,2022-01-11,2022-01-11T19:30:00+03:00,11.7446,2022-01-12,2022-01-11T18:00:00+03:00,TOD,-0.9350432671106178,0.0,-0.19951014660372826,0.0,-0.30259904569835744,0.0,54.0,20.016666666666666,0.8463641661483698,50.5988886347666,-0.8528119633393888,2022-01-11T19:30:00,0.0,1.0,0.0,1.0,0.0,1.0,0.0,720.0,0.0,0.0,0.0,
