candidate,year,currency,h,n_scope,n_signals,first,last,hit_rate,base_rate,pooled_lift,adjusted_lift,frequency,currency_rate_min,currency_rate_max,symmetric_bps,forward_bps
t1930_cny_urgent_cap2,2024,AMD,1,248,66,2024-01-09,2024-12-28,0.7878787878787878,0.5604838709677419,1.405711794201003,1.4057117942010031,1.3014084507042254,1.3014084507042254,1.3014084507042254,17.637375190639577,40.92757376897321
t1930_cny_urgent_cap2,2024,AMD,3,248,66,2024-01-09,2024-12-28,0.6212121212121212,0.40725806451612906,1.5253525352535253,1.525352535253525,1.3014084507042254,1.3014084507042254,1.3014084507042254,27.97654281107488,53.38699439269326
t1930_cny_urgent_cap2,2024,AMD,5,248,66,2024-01-09,2024-12-28,0.5757575757575758,0.3548387096774194,1.6225895316804408,1.6225895316804406,1.3014084507042254,1.3014084507042254,1.3014084507042254,32.25399379259652,65.05384842310781
t1930_cny_urgent_cap2,2024,AMD,10,248,66,2024-01-09,2024-12-28,0.4696969696969697,0.2903225806451613,1.6178451178451179,1.6178451178451176,1.3014084507042254,1.3014084507042254,1.3014084507042254,32.411115390707934,82.3743302634649
t1930_cny_urgent_cap2,2024,AMD,20,248,66,2024-01-09,2024-12-28,0.3333333333333333,0.21370967741935484,1.5597484276729559,1.5597484276729559,1.3014084507042254,1.3014084507042254,1.3014084507042254,31.353178283254913,108.367562757411
t1930_cny_urgent_cap2,2024,KGS,1,248,66,2024-01-09,2024-12-28,0.803030303030303,0.5645161290322581,1.4225108225108223,1.4225108225108223,1.3014084507042254,1.3014084507042254,1.3014084507042254,18.69638460688071,42.9557629674136
t1930_cny_urgent_cap2,2024,KGS,3,248,66,2024-01-09,2024-12-28,0.6363636363636364,0.41935483870967744,1.5174825174825175,1.5174825174825173,1.3014084507042254,1.3014084507042254,1.3014084507042254,28.522595325049135,55.05662188807162
t1930_cny_urgent_cap2,2024,KGS,5,248,66,2024-01-09,2024-12-28,0.6060606060606061,0.375,1.6161616161616161,1.6161616161616161,1.3014084507042254,1.3014084507042254,1.3014084507042254,32.61758688932112,66.97356235688014
t1930_cny_urgent_cap2,2024,KGS,10,248,66,2024-01-09,2024-12-28,0.48484848484848486,0.29435483870967744,1.6471564964715648,1.6471564964715648,1.3014084507042254,1.3014084507042254,1.3014084507042254,33.46325261492264,86.03846532944429
t1930_cny_urgent_cap2,2024,KGS,20,248,66,2024-01-09,2024-12-28,0.3333333333333333,0.20967741935483872,1.5897435897435896,1.5897435897435896,1.3014084507042254,1.3014084507042254,1.3014084507042254,30.75225549246897,110.75533519087574
t1930_cny_urgent_cap2,2024,KZT,1,248,66,2024-01-09,2024-12-28,0.7424242424242424,0.5040322580645161,1.472969696969697,1.472969696969697,1.3014084507042254,1.3014084507042254,1.3014084507042254,17.666258695516916,36.91890811608078
t1930_cny_urgent_cap2,2024,KZT,3,248,66,2024-01-09,2024-12-28,0.5606060606060606,0.3346774193548387,1.6750638919313618,1.675063891931362,1.3014084507042254,1.3014084507042254,1.3014084507042254,30.01959791728518,44.44179124623809
t1930_cny_urgent_cap2,2024,KZT,5,248,66,2024-01-09,2024-12-28,0.45454545454545453,0.2701612903225806,1.6824966078697423,1.6824966078697423,1.3014084507042254,1.3014084507042254,1.3014084507042254,34.36147653326255,48.53920471495861
t1930_cny_urgent_cap2,2024,KZT,10,248,66,2024-01-09,2024-12-28,0.3787878787878788,0.2056451612903226,1.8419489007724301,1.84194890077243,1.3014084507042254,1.3014084507042254,1.3014084507042254,31.790498211794212,43.55466860243534
t1930_cny_urgent_cap2,2024,KZT,20,248,66,2024-01-09,2024-12-28,0.2878787878787879,0.1532258064516129,1.878787878787879,1.8787878787878787,1.3014084507042254,1.3014084507042254,1.3014084507042254,28.414621080289873,33.637378326676505
t1930_cny_urgent_cap2,2024,TJS,1,248,66,2024-01-09,2024-12-28,0.7878787878787878,0.5483870967741935,1.4367201426024956,1.4367201426024958,1.3014084507042254,1.3014084507042254,1.3014084507042254,16.867575216995014,40.000472684203835
t1930_cny_urgent_cap2,2024,TJS,3,248,66,2024-01-09,2024-12-28,0.6060606060606061,0.40725806451612906,1.488148814881488,1.4881488148814879,1.3014084507042254,1.3014084507042254,1.3014084507042254,26.637239655851996,50.905824505013854
t1930_cny_urgent_cap2,2024,TJS,5,248,66,2024-01-09,2024-12-28,0.5606060606060606,0.3548387096774194,1.5798898071625342,1.5798898071625342,1.3014084507042254,1.3014084507042254,1.3014084507042254,30.597284070930233,61.523119978220045
