scenario,clock,monthly_origin,fit_cutoff_ord,latest_eligible_maturity_ord,status,selected_family,history_rows,fit_rows,screen_rows
calendar_assumed_replay,00:15,2025-01-01T00:00:00,739250,739249,fit,identity,470,350,120
calendar_assumed_replay,00:15,2025-02-01T00:00:00,739281,739280,fit,identity,570,425,145
calendar_assumed_replay,00:15,2025-03-01T00:00:00,739309,739308,fallback_identity,identity,755,565,190
calendar_assumed_replay,00:15,2025-04-01T00:00:00,739340,739339,fallback_identity,identity,920,690,230
calendar_assumed_replay,00:15,2025-05-01T00:00:00,739370,739367,fit,identity,1000,750,250
calendar_assumed_replay,00:15,2025-06-01T00:00:00,739401,739400,fit,anchor_logit,1000,750,250
calendar_assumed_replay,00:15,2025-07-01T00:00:00,739431,739430,fit,anchor_logit,1000,750,250
calendar_assumed_replay,00:15,2025-08-01T00:00:00,739462,739461,fit,anchor_logit,1000,750,250
calendar_assumed_replay,00:15,2025-09-01T00:00:00,739493,739492,fit,identity,1000,750,250
calendar_assumed_replay,00:15,2025-10-01T00:00:00,739523,739521,fit,identity,1000,750,250
calendar_assumed_replay,00:15,2025-11-01T00:00:00,739554,739553,fit,identity,1000,750,250
calendar_assumed_replay,00:15,2025-12-01T00:00:00,739584,739583,fit,identity,1000,750,250
calendar_assumed_replay,00:15,2026-01-01T00:00:00,739615,739612,fit,identity,1000,750,250
calendar_assumed_replay,00:15,2026-02-01T00:00:00,739646,739645,fit,joint_logit,1000,750,250
calendar_assumed_replay,00:15,2026-03-01T00:00:00,739674,739673,fit,joint_logit,1000,750,250
calendar_assumed_replay,00:15,2026-04-01T00:00:00,739705,739703,fit,joint_logit,1000,750,250
calendar_assumed_replay,00:15,2026-05-01T00:00:00,739735,739734,fit,identity,1000,750,250
calendar_assumed_replay,00:15,2026-06-01T00:00:00,739766,739765,fit,anchor_logit,1000,750,250
calendar_assumed_replay,00:15,2026-07-01T00:00:00,739796,739794,fit,identity,1000,750,250
calendar_assumed_replay,00:15,2026-08-01T00:00:00,739827,739826,fit,identity,1000,750,250
calendar_assumed_replay,06:00,2025-01-01T00:00:00,739250,739249,fit,identity,470,350,120
calendar_assumed_replay,06:00,2025-02-01T00:00:00,739281,739280,fit,identity,570,425,145
calendar_assumed_replay,06:00,2025-03-01T00:00:00,739309,739308,fallback_identity,identity,755,565,190
calendar_assumed_replay,06:00,2025-04-01T00:00:00,739340,739339,fallback_identity,identity,920,690,230
calendar_assumed_replay,06:00,2025-05-01T00:00:00,739370,739367,fit,identity,1000,750,250
calendar_assumed_replay,06:00,2025-06-01T00:00:00,739401,739400,fit,anchor_logit,1000,750,250
calendar_assumed_replay,06:00,2025-07-01T00:00:00,739431,739430,fit,anchor_logit,1000,750,250
calendar_assumed_replay,06:00,2025-08-01T00:00:00,739462,739461,fit,anchor_logit,1000,750,250
calendar_assumed_replay,06:00,2025-09-01T00:00:00,739493,739492,fit,identity,1000,750,250
calendar_assumed_replay,06:00,2025-10-01T00:00:00,739523,739521,fit,identity,1000,750,250
calendar_assumed_replay,06:00,2025-11-01T00:00:00,739554,739553,fit,identity,1000,750,250
calendar_assumed_replay,06:00,2025-12-01T00:00:00,739584,739583,fit,identity,1000,750,250
calendar_assumed_replay,06:00,2026-01-01T00:00:00,739615,739612,fit,identity,1000,750,250
calendar_assumed_replay,06:00,2026-02-01T00:00:00,739646,739645,fit,joint_logit,1000,750,250
calendar_assumed_replay,06:00,2026-03-01T00:00:00,739674,739673,fit,joint_logit,1000,750,250
calendar_assumed_replay,06:00,2026-04-01T00:00:00,739705,739703,fit,joint_logit,1000,750,250
calendar_assumed_replay,06:00,2026-05-01T00:00:00,739735,739734,fit,identity,1000,750,250
calendar_assumed_replay,06:00,2026-06-01T00:00:00,739766,739765,fit,anchor_logit,1000,750,250
calendar_assumed_replay,06:00,2026-07-01T00:00:00,739796,739794,fit,identity,1000,750,250
calendar_assumed_replay,06:00,2026-08-01T00:00:00,739827,739826,fit,identity,1000,750,250
calendar_assumed_replay,09:15,2025-01-01T00:00:00,739250,739249,fit,identity,470,350,120
calendar_assumed_replay,09:15,2025-02-01T00:00:00,739281,739280,fit,identity,570,425,145
calendar_assumed_replay,09:15,2025-03-01T00:00:00,739309,739308,fallback_identity,identity,755,565,190
calendar_assumed_replay,09:15,2025-04-01T00:00:00,739340,739339,fallback_identity,identity,920,690,230
calendar_assumed_replay,09:15,2025-05-01T00:00:00,739370,739367,fit,identity,1000,750,250
calendar_assumed_replay,09:15,2025-06-01T00:00:00,739401,739400,fit,anchor_logit,1000,750,250
calendar_assumed_replay,09:15,2025-07-01T00:00:00,739431,739430,fit,anchor_logit,1000,750,250
calendar_assumed_replay,09:15,2025-08-01T00:00:00,739462,739461,fit,anchor_logit,1000,750,250
calendar_assumed_replay,09:15,2025-09-01T00:00:00,739493,739492,fit,identity,1000,750,250
calendar_assumed_replay,09:15,2025-10-01T00:00:00,739523,739521,fit,identity,1000,750,250
calendar_assumed_replay,09:15,2025-11-01T00:00:00,739554,739553,fit,identity,1000,750,250
calendar_assumed_replay,09:15,2025-12-01T00:00:00,739584,739583,fit,identity,1000,750,250
calendar_assumed_replay,09:15,2026-01-01T00:00:00,739615,739612,fit,identity,1000,750,250
calendar_assumed_replay,09:15,2026-02-01T00:00:00,739646,739645,fit,joint_logit,1000,750,250
calendar_assumed_replay,09:15,2026-03-01T00:00:00,739674,739673,fit,joint_logit,1000,750,250
calendar_assumed_replay,09:15,2026-04-01T00:00:00,739705,739703,fit,joint_logit,1000,750,250
calendar_assumed_replay,09:15,2026-05-01T00:00:00,739735,739734,fit,identity,1000,750,250
calendar_assumed_replay,09:15,2026-06-01T00:00:00,739766,739765,fit,anchor_logit,1000,750,250
calendar_assumed_replay,09:15,2026-07-01T00:00:00,739796,739794,fit,identity,1000,750,250
calendar_assumed_replay,09:15,2026-08-01T00:00:00,739827,739826,fit,identity,1000,750,250
calendar_assumed_replay,10:15,2025-01-01T00:00:00,739250,739249,fit,identity,470,350,120
