scenario,clock,metric,block_dates,mean_delta,ci_low,ci_high
calendar_assumed_replay,00:15,brier,20,0.004715421151315713,8.154064472355235e-05,0.010464957426966678
calendar_assumed_replay,00:15,auc,20,-0.04411917227221177,-0.12289877051277141,0.03468038816181612
calendar_assumed_replay,00:15,brier,50,0.004710566402627923,-0.0005400141806889707,0.01134484959308747
calendar_assumed_replay,00:15,auc,50,-0.045088762188535254,-0.13967293140808199,0.048186483248664716
calendar_assumed_replay,06:00,brier,20,0.004638206767157529,0.0003516394695689777,0.00989510271625158
calendar_assumed_replay,06:00,auc,20,-0.04269464569073816,-0.1251950712124894,0.03404077631749008
calendar_assumed_replay,06:00,brier,50,0.004723655363130987,-0.0006663736509848302,0.011338401261882913
calendar_assumed_replay,06:00,auc,50,-0.045220968983240184,-0.13566546692969517,0.0453915197086046
calendar_assumed_replay,09:15,brier,20,0.0049651830840743705,0.000428266996855857,0.010767116303031642
calendar_assumed_replay,09:15,auc,20,-0.044732857570937,-0.11749930891755901,0.04325418933843074
calendar_assumed_replay,09:15,brier,50,0.004765511222425898,-0.0007626269079240801,0.011348070157615912
calendar_assumed_replay,09:15,auc,50,-0.047092096223167915,-0.14355987433171394,0.04695548215270645
calendar_assumed_replay,10:15,brier,20,0.001416001020374419,-0.0001111109794433996,0.0035307748682808365
calendar_assumed_replay,10:15,auc,20,-0.044713807646841575,-0.12395774782923775,4.260850317618006e-05
calendar_assumed_replay,10:15,brier,50,0.0014546932794351197,-4.897038384151887e-05,0.0037556963014111215
calendar_assumed_replay,10:15,auc,50,-0.045735902605523134,-0.12048971017357925,3.9851169166790605e-07
calendar_assumed_replay,10:45,brier,20,0.0017080219119138085,1.3431714692896528e-05,0.004518521083198468
calendar_assumed_replay,10:45,auc,20,-0.042001934856691195,-0.1242756346514844,0.001851403347736496
calendar_assumed_replay,10:45,brier,50,0.0017826892435968676,0.0,0.004767923312951984
calendar_assumed_replay,10:45,auc,50,-0.044059371624220654,-0.13951218221112097,0.001843502917856021
calendar_assumed_replay,11:45,brier,20,0.0014583854585430269,-0.00036880526613189055,0.004381649366942405
calendar_assumed_replay,11:45,auc,20,-0.04368780851616612,-0.12337001210287905,-0.0016298974964768177
calendar_assumed_replay,11:45,brier,50,0.0014256644697201804,-0.0001130398403549724,0.0040200835420045045
calendar_assumed_replay,11:45,auc,50,-0.04115123326638003,-0.11571695750672002,0.0
calendar_assumed_replay,12:45,brier,20,0.0014092113163701918,-0.00032774774675817746,0.004133583961755712
