scenario,clock,monthly_origin,selected_family,family,feasible,n,positive_rate,mean_prediction,brier,logloss,ece,baseline_brier,baseline_logloss,baseline_ece,brier_delta,logloss_delta,auc,average_precision,ece_delta
calendar_assumed_replay,00:15,2025-01-01T00:00:00,identity,identity,True,120,0.09166666666666666,0.18128634165435564,0.09274883350902821,0.3421765834257305,0.089619674987689,0.09274883350902821,0.3421765834257305,0.089619674987689,0.0,0.0,0.40783986655546284,0.0889394844932917,0.0
calendar_assumed_replay,00:15,2025-01-01T00:00:00,identity,anchor_logit,False,120,0.09166666666666666,0.47395348316249647,0.2297661993219974,0.6526311241003013,0.3822868164958298,0.09274883350902821,0.3421765834257305,0.089619674987689,0.1370173658129692,0.31045454067457084,0.40783986655546284,0.0889394844932917,0.29266714150814077
calendar_assumed_replay,00:15,2025-01-01T00:00:00,identity,joint_logit,False,120,0.09166666666666666,0.4426147180980601,0.20764926353158195,0.6067161878702964,0.3509480514313934,0.09274883350902821,0.3421765834257305,0.089619674987689,0.11490043002255373,0.26453960444456587,0.5913261050875729,0.12762808023570116,0.26132837644370444
calendar_assumed_replay,00:15,2025-02-01T00:00:00,identity,identity,True,145,0.041379310344827586,0.17624569759645867,0.05779303573672859,0.25619831554576195,0.1348663872516311,0.05779303573672859,0.25619831554576195,0.1348663872516311,0.0,0.0,0.618705035971223,0.10657894736842105,0.0
calendar_assumed_replay,00:15,2025-02-01T00:00:00,identity,anchor_logit,False,145,0.041379310344827586,0.41425303392084756,0.17853519422109076,0.5488148584944377,0.37287372357601994,0.05779303573672859,0.25619831554576195,0.1348663872516311,0.12074215848436218,0.29261654294867573,0.618705035971223,0.10657894736842105,0.23800733632438884
calendar_assumed_replay,00:15,2025-02-01T00:00:00,identity,joint_logit,False,145,0.041379310344827586,0.39375787494284525,0.16688100359638552,0.5215673998716578,0.3523785645980177,0.05779303573672859,0.25619831554576195,0.1348663872516311,0.10908796785965694,0.26536908432589584,0.6091127098321343,0.0872565289924625,0.2175121773463866
calendar_assumed_replay,00:15,2025-05-01T00:00:00,identity,identity,True,250,0.016,0.22397137278770168,0.059493868755567975,0.2736706132680832,0.2079713727877017,0.059493868755567975,0.2736706132680832,0.2079713727877017,0.0,0.0,0.4725609756097561,0.019073267120416276,0.0
calendar_assumed_replay,00:15,2025-05-01T00:00:00,identity,anchor_logit,True,250,0.016,0.20005135913404393,0.049618622089467566,0.24538244309391413,0.18405135913404394,0.059493868755567975,0.2736706132680832,0.2079713727877017,-0.009875246666100408,-0.02828817017416904,0.4725609756097561,0.019073267120416276,-0.023920013653657757
calendar_assumed_replay,00:15,2025-05-01T00:00:00,identity,joint_logit,True,250,0.016,0.03673788355854663,0.01625768633860588,0.09024471516762908,0.02073788355854663,0.059493868755567975,0.2736706132680832,0.2079713727877017,-0.043236182416962095,-0.1834258981004541,0.4400406504065041,0.016909029213727923,-0.18723348922915506
calendar_assumed_replay,00:15,2025-06-01T00:00:00,anchor_logit,identity,True,250,0.04,0.2002589094840381,0.06596455647489603,0.28275786401199343,0.1602589094840381,0.06596455647489603,0.28275786401199343,0.1602589094840381,0.0,0.0,0.4033333333333333,0.03808237530526814,0.0
