candidate,horizon_lift_min,horizon_lift_mean,symmetric_benefit_min,future_benefit_min,period
matched_stale20,1.5048888278262464,1.622446890424661,10.070886219495396,49.525373089946925,screen_2024
noon_consensus,1.565624159129013,1.7222082478709044,11.517488945235309,53.403549854213466,screen_2024
online_global_w250_eta5,1.549893939739525,1.646935185383711,14.747873209987928,54.89001305762104,screen_2024
signed_spot,1.6435212660731948,1.683802698525976,15.794377952238586,65.89034813734955,screen_2024
static_equal,1.5423841352751095,1.6321986147726224,12.665174476303354,54.503477541229664,screen_2024
static_equal_stale20,1.3964546402502607,1.4938230855259191,9.008226492511033,44.80987183417716,screen_2024
matched_stale20,1.770480861313445,1.923213833937552,19.816520761480053,-0.9721478326932751,retrospective_2025
noon_consensus,1.8461305091290199,2.0186142141703636,21.370980146520107,3.3205799786887464,retrospective_2025
online_global_w250_eta5,1.8484174989449993,2.0199802049915245,23.801362440914765,1.0013629009195226,retrospective_2025
signed_spot,1.663939393939394,1.7451487939568662,22.0243400064204,-28.10865143046758,retrospective_2025
static_equal,1.824481181850158,1.984531200893381,23.301088301543167,-5.015295841857567,retrospective_2025
static_equal_stale20,1.7039948660356168,1.8910150673139998,18.753997317018918,-7.260117119708453,retrospective_2025
matched_stale20,1.5572505800464038,1.8174238228622959,14.268131329665257,67.68645468245286,retrospective_2026
noon_consensus,1.5649369686309,1.783685742896529,17.51851102073449,73.70211539962665,retrospective_2026
online_global_w250_eta5,1.560494450050454,1.7917465828597965,17.964734871299907,75.248045260999,retrospective_2026
signed_spot,1.5232959022852643,1.723574211503252,14.87780476668229,68.24245749152551,retrospective_2026
static_equal,1.5602385077973704,1.7712294097703567,18.046966707153956,75.27939545017261,retrospective_2026
static_equal_stale20,1.507634498389598,1.788448232221106,9.85922760109389,59.99444634111091,retrospective_2026
matched_stale20,1.6765667084835527,1.8708713360619202,17.601594840595904,66.95424797472182,combined_2025_2026
noon_consensus,1.7138720541352086,1.8915237412322903,19.722902199207486,70.75305246623316,combined_2025_2026
online_global_w250_eta5,1.7138695154353647,1.8981695682634836,21.32620000861513,72.69389764362687,combined_2025_2026
signed_spot,1.6039124835707557,1.7390680917033585,19.27116659439014,43.2329924807422,combined_2025_2026
static_equal,1.7042197641756462,1.8726267423189185,21.132569025313437,66.72824227510931,combined_2025_2026
static_equal_stale20,1.6227811153208809,1.8434538554093751,15.441933353699428,59.84439508916296,combined_2025_2026
