date,currency,noon_rank,signed_spot_rank,stale_spot_rank,noon_weight,stale_system_noon_weight,online_score
2024-01-10,TJS,0.5,0.04048582995951417,0.8663967611336032,0.5,0.5,0.2702429149797571
2024-01-11,TJS,0.5,0.10483870967741936,0.9475806451612904,0.5,0.5,0.3024193548387097
2024-01-12,TJS,0.5,0.08032128514056225,0.17670682730923695,0.22412204469320912,0.9243670178600776,0.17438053682907773
2024-01-13,TJS,0.5,0.496,0.072,0.228213853452806,0.9464134320675047,0.49691285541381125
2024-01-16,TJS,0.5,0.528,0.476,0.2272159223516479,0.8566851303542288,0.5216379541741538
2024-01-17,TJS,0.5,0.852,0.1,0.2653079938341331,0.8217030215240392,0.7586115861703852
2024-01-18,TJS,0.5,0.76,0.124,0.28164188300489146,0.7617321161502306,0.6867731104187283
2024-01-19,TJS,0.5,0.684,0.58,0.28935145900094517,0.7812453190589934,0.630759331543826
2024-01-20,TJS,0.5,0.484,0.812,0.3057883759424899,0.7426796644058355,0.4888926140150799
2024-01-23,TJS,0.5,0.68,0.476,0.3301223232523184,0.7282868553270558,0.6205779818145827
2024-01-24,TJS,0.5,0.844,0.112,0.37158180151334735,0.7070545147301592,0.7161758602794085
2024-01-25,TJS,0.5,0.756,0.804,0.3857986701462666,0.7244783576977972,0.6572355404425558
2024-01-26,TJS,0.5,0.936,0.896,0.39479133532269556,0.7442394117324019,0.7638709777993047
2024-01-27,TJS,0.5,0.476,0.668,0.4044612689720322,0.7077419200894222,0.4857070704553288
2024-01-30,TJS,0.5,0.172,0.48,0.39855882265940884,0.7008847360656821,0.3027272938322861
2024-01-31,TJS,0.5,0.728,0.14,0.4080340111016845,0.6746393013001356,0.6349682454688159
2024-02-01,TJS,0.5,0.86,0.552,0.39606779592314006,0.6846724845068297,0.7174155934676695
2024-02-02,TJS,0.5,0.764,0.056,0.40280401900783275,0.6762272344984522,0.6576597389819321
2024-02-03,TJS,0.5,0.48,0.052,0.41508453706758097,0.6409032448181158,0.48830169074135166
2024-02-06,TJS,0.5,0.136,0.488,0.42165415428450004,0.6670565591037863,0.28948211215955805
2024-02-07,TJS,1.0,0.804,0.044,0.429294328942141,0.6605438302889193,0.8881416884726596
2024-02-08,TJS,0.8571428571428571,0.556,0.108,0.41764466068831213,0.6924049330854797,0.6817707063901375
2024-02-09,TJS,0.0,0.192,0.08,0.3950906935521035,0.7103163596599198,0.11614258683799611
2024-02-10,TJS,0.5652173913043478,0.484,0.496,0.38893358690343155,0.6977313524554952,0.5155881713189395
2024-02-13,TJS,0.9166666666666666,0.6,0.528,0.39172653731357493,0.6981049270979155,0.7240467368159653
2024-02-14,TJS,0.68,0.7,0.852,0.38568599375165497,0.6839286929565949,0.6922862801249668
2024-02-15,TJS,0.8076923076923077,0.712,0.76,0.3851887739016008,0.7346246132375327,0.7488596026718148
2024-02-16,TJS,0.8888888888888888,0.876,0.684,0.3959260231841495,0.6989401410204158,0.8811030465210401
2024-02-17,TJS,0.39285714285714285,0.48,0.484,0.4121072662680652,0.7128056669597661,0.4440877953680686
2024-02-20,TJS,0.7241379310344828,0.628,0.68,0.42078558688409445,0.693563983764786,0.6684534557321673
2024-02-21,TJS,0.7333333333333333,0.588,0.844,0.43547445153235176,0.677494596310987,0.6512889536227018
2024-02-22,TJS,0.967741935483871,0.676,0.756,0.45047244412040977,0.6630085573643136,0.8074217027298383
2024-02-23,TJS,0.375,0.484,0.936,0.45825890354184073,0.6231821857884706,0.43404977951393936
2024-02-27,TJS,0.12121212121212122,0.164,0.476,0.4690028180179421,0.5998075416967786,0.1439323642714747
2024-02-28,TJS,0.4117647058823529,0.508,0.172,0.47596433792109616,0.6031928076131874,0.46219543195065216
2024-02-29,TJS,0.0,0.052,0.728,0.47883711021671527,0.6148894918070014,0.0271004702687308
2024-03-01,TJS,0.3888888888888889,0.812,0.86,0.4763673014698415,0.5936620744458281,0.6104437017780937
2024-03-02,TJS,0.7027027027027027,0.48,0.764,0.4642497502887216,0.6205072419391557,0.5833896741183532
2024-03-05,TJS,0.3684210526315789,0.224,0.48,0.4476881400595634,0.6099706440800572,0.2886555924380759
2024-03-06,TJS,0.02564102564102564,0.056,0.136,0.4447875338921472,0.6212503372602383,0.04249670666337686
2024-03-07,TJS,0.325,0.8,0.804,0.4276905588600749,0.6080081683371361,0.5968469845414645
2024-03-08,TJS,0.8780487804878049,0.484,0.556,0.42087420117799695,0.582857163339896,0.6498449657129688
2024-03-12,TJS,0.8809523809523809,0.716,0.192,0.40955691814931017,0.582218939877654,0.7835573887842481
2024-03-13,TJS,1.0,0.896,0.484,0.39537373339851456,0.5942173167204755,0.9371188682734455
2024-03-14,TJS,0.7272727272727273,0.592,0.6,0.37139280963138216,0.5725589524787269,0.6422393182483179
2024-03-15,TJS,0.9555555555555556,0.568,0.7,0.363966370590231,0.5504696462044586,0.7090571889576363
2024-03-16,TJS,0.9347826086956522,0.472,0.712,0.36105766085140373,0.536139134112755,0.6390912061783627
2024-03-19,TJS,0.6382978723404256,0.548,0.876,0.3800398538033107,0.5387569291086467,0.5823167902030053
2024-03-20,TJS,1.0,0.78,0.48,0.3870902192222502,0.5354038633239522,0.8651598482288949
2024-03-21,TJS,0.3877551020408163,0.2,0.628,0.39746142282596275,0.524478961147222,0.27462540999997664
2024-03-22,TJS,0.48,0.92,0.588,0.41554122828568474,0.5397371177535912,0.7371618595542988
2024-03-23,TJS,0.8235294117647058,0.472,0.676,0.41705944969051306,0.5389388834705005,0.618608663020618
2024-03-26,TJS,0.38461538461538464,0.248,0.484,0.40407237265375684,0.5190854159302175,0.303202502602544
2024-03-27,TJS,0.8113207547169812,0.608,0.164,0.42236573836493196,0.5461961525111126,0.6938757206909529
2024-03-28,TJS,0.2962962962962963,0.208,0.508,0.42443086184929507,0.5428508666039912,0.24547567313513774
2024-03-29,TJS,0.8,0.612,0.052,0.4438292616299288,0.581576346688344,0.6954399011864267
2024-03-30,TJS,0.3392857142857143,0.48,0.812,0.4483698119601183,0.5826555996224083,0.41690796217418336
2024-04-02,TJS,0.9122807017543859,0.764,0.48,0.45016764180157354,0.5870272963408123,0.8307511738334543
2024-04-03,TJS,0.3793103448275862,0.504,0.224,0.44164127826789884,0.6033535320633875,0.44893190130287164
2024-04-04,TJS,0.3559322033898305,0.528,0.056,0.42223185898628,0.5925552420357856,0.45534749436561506
2024-04-05,TJS,0.6833333333333333,0.688,0.8,0.41607724228552473,0.5997051246745413,0.6860583062026675
2024-04-06,TJS,0.4098360655737705,0.48,0.484,0.41273762411185616,0.5891925436424452,0.45104070440657795
2024-04-09,TJS,0.7419354838709677,0.572,0.716,0.42846173861980463,0.6105980562982285,0.6448108528725525
2024-04-10,TJS,0.9365079365079365,0.832,0.896,0.417061113010076,0.5780673814670119,0.8755861963183864
2024-04-11,TJS,0.671875,0.844,0.592,0.4284191072365828,0.5724672710943957,0.7702583611669032
2024-04-12,TJS,0.046153846153846156,0.18,0.568,0.42986765454955955,0.5610205321438221,0.12246386777567433
2024-04-13,TJS,0.2878787878787879,0.484,0.472,0.4333942862728613,0.551759967371836,0.39900218724975883
2024-04-16,TJS,0.835820895522388,0.844,0.548,0.4280947523159105,0.5455009759960753,0.8404985682944908
2024-04-17,TJS,0.7794117647058824,0.876,0.78,0.43239954503599415,0.5218295858397091,0.834235291002994
2024-04-18,TJS,0.14492753623188406,0.172,0.2,0.44110732735415603,0.5186999644490652,0.16005813786235415
2024-04-19,TJS,0.04285714285714286,0.112,0.92,0.4392779795013727,0.5066715909712025,0.08162706541733365
2024-04-20,TJS,0.16901408450704225,0.484,0.472,0.45164528186998926,0.5181417135230378,0.3417380974121065
2024-04-23,TJS,0.25,0.536,0.248,0.4602155945597155,0.5413482681896463,0.40437833995592143
2024-04-24,TJS,0.0547945205479452,0.068,0.608,0.4655676044527424,0.5301794884287131,0.061851956565856944
2024-04-25,TJS,0.04054054054054054,0.188,0.208,0.46519195814203723,0.5496533658707231,0.11940304530748772
2024-04-26,TJS,0.3333333333333333,0.588,0.612,0.4768514719583659,0.5592811726907748,0.46656182514126954
2024-04-27,TJS,0.02631578947368421,0.164,0.48,0.4856538722712761,0.5915273435219652,0.09713313000728115
2024-04-28,TJS,0.5584415584415584,0.492,0.764,0.4990451478168911,0.6058331178367312,0.5251573373536521
2024-05-03,TJS,0.038461538461538464,0.56,0.504,0.5067402224667572,0.6001024792390933,0.2957154839750297
2024-05-04,TJS,0.35443037974683544,0.488,0.528,0.5208631080400533,0.6088978439516408,0.41842851245520707
2024-05-07,TJS,0.05,0.212,0.688,0.533876725116555,0.6171703158158419,0.12551197053111807
2024-05-08,TJS,0.5061728395061729,0.856,0.48,0.542920859477801,0.6460873574306186,0.6660715373560128
2024-05-09,TJS,0.2682926829268293,0.484,0.572,0.5644366529742245,0.6512572805326188,0.36224688392916976
