candidate,currency,n_signals,empty_complete_months,weekly_max,weekly_zero_share,calendar_gap_max
cny_cbr_w25_r25,AMD,168,0,5,0.35507246376811596,34
cny_cbr_w25_r25,KGS,166,0,4,0.34057971014492755,34
cny_cbr_w25_r25,KZT,165,0,5,0.3333333333333333,29
cny_cbr_w25_r25,TJS,170,0,5,0.3333333333333333,34
cny_cbr_w25_r25,UZS,169,0,5,0.3333333333333333,34
change_z_r25,AMD,177,0,4,0.2753623188405797,28
change_z_r25,KGS,173,0,4,0.2898550724637681,26
change_z_r25,KZT,172,0,4,0.2608695652173913,43
change_z_r25,TJS,173,0,4,0.2826086956521739,28
change_z_r25,UZS,174,1,4,0.2826086956521739,34
cny_last_r25,AMD,164,1,4,0.32608695652173914,41
cny_last_r25,KGS,164,1,4,0.32608695652173914,41
cny_last_r25,KZT,164,1,4,0.32608695652173914,41
cny_last_r25,TJS,164,1,4,0.32608695652173914,41
cny_last_r25,UZS,164,1,4,0.32608695652173914,41
stale20_cny_r35,AMD,224,0,4,0.16666666666666666,24
stale20_cny_r35,KGS,224,0,4,0.16666666666666666,24
stale20_cny_r35,KZT,224,0,4,0.16666666666666666,24
stale20_cny_r35,TJS,224,0,4,0.16666666666666666,24
stale20_cny_r35,UZS,224,0,4,0.16666666666666666,24
cbr_hist_r25,AMD,121,5,5,0.5362318840579711,83
cbr_hist_r25,KGS,130,4,5,0.5289855072463768,76
cbr_hist_r25,KZT,126,5,5,0.5362318840579711,76
cbr_hist_r25,TJS,124,6,5,0.5362318840579711,76
cbr_hist_r25,UZS,113,6,5,0.5869565217391305,83
market_hist_r25,AMD,144,3,4,0.41304347826086957,73
market_hist_r25,KGS,144,1,4,0.391304347826087,43
market_hist_r25,KZT,144,2,4,0.39855072463768115,59
market_hist_r25,TJS,146,2,4,0.37681159420289856,58
market_hist_r25,UZS,143,0,4,0.35507246376811596,43
market_logit_r25,AMD,189,4,5,0.4057971014492754,80
market_logit_r25,KGS,208,4,5,0.3333333333333333,73
market_logit_r25,KZT,193,4,5,0.34782608695652173,80
market_logit_r25,TJS,217,2,5,0.32608695652173914,80
market_logit_r25,UZS,200,2,5,0.32608695652173914,80
market_extra_r25,AMD,158,0,4,0.34057971014492755,37
market_extra_r25,KGS,151,1,4,0.35507246376811596,38
market_extra_r25,KZT,160,1,4,0.34782608695652173,41
market_extra_r25,TJS,151,1,4,0.34057971014492755,38
market_extra_r25,UZS,155,1,4,0.36231884057971014,38
multi_hist_r25,AMD,136,2,4,0.39855072463768115,53
multi_hist_r25,KGS,135,1,4,0.38405797101449274,53
multi_hist_r25,KZT,132,1,4,0.39855072463768115,60
multi_hist_r25,TJS,140,1,4,0.38405797101449274,53
multi_hist_r25,UZS,133,1,4,0.4057971014492754,53
floor_quantile_r25,AMD,169,4,5,0.5072463768115942,109
floor_quantile_r25,KGS,180,4,5,0.4855072463768116,109
floor_quantile_r25,KZT,142,4,5,0.4927536231884058,109
floor_quantile_r25,TJS,173,3,5,0.4782608695652174,109
floor_quantile_r25,UZS,147,3,5,0.5217391304347826,109
local_ridge_r25,AMD,175,10,5,0.5507246376811594,116
local_ridge_r25,KGS,188,9,5,0.5072463768115942,203
local_ridge_r25,KZT,166,9,5,0.5869565217391305,162
local_ridge_r25,TJS,173,8,5,0.4927536231884058,116
local_ridge_r25,UZS,169,7,5,0.47101449275362317,191
residual_w25_r25,AMD,160,10,5,0.572463768115942,147
residual_w25_r25,KGS,134,14,5,0.6884057971014492,354
residual_w25_r25,KZT,161,14,5,0.6521739130434783,252
residual_w25_r25,TJS,153,8,5,0.5434782608695652,224
residual_w25_r25,UZS,160,10,5,0.5217391304347826,155
residual_w50_r25,AMD,155,10,5,0.6014492753623188,137
residual_w50_r25,KGS,124,16,5,0.7101449275362319,486
residual_w50_r25,KZT,162,14,5,0.6521739130434783,252
residual_w50_r25,TJS,144,9,5,0.5434782608695652,264
residual_w50_r25,UZS,145,11,5,0.5652173913043478,282
residual_w100_r25,AMD,164,11,5,0.6086956521739131,152
residual_w100_r25,KGS,111,18,5,0.7318840579710145,502
residual_w100_r25,KZT,141,16,5,0.6884057971014492,276
residual_w100_r25,TJS,153,12,5,0.5869565217391305,263
residual_w100_r25,UZS,145,9,5,0.5869565217391305,193
