candidate,min_lift,mean_lift,min_rate,max_rate,min_forward,min_symmetric,cadence_penalty,selection_value
change_z_r25,0.9390053713001709,1.0447643019938597,1.2532751091703056,1.3287380699893954,14.898735472809603,-39.48188495593427,0.0,0.9390053713001709
change_z_r35,1.0669424616937038,1.1175393903499014,1.7194323144104804,1.8040468583599574,18.207548097530047,-30.61530151832506,0.0,1.0669424616937038
change_z_r35_cd3,1.0205536244607256,1.0695027467179112,1.0775109170305677,1.1357370095440085,11.07109266026979,-23.730979960740708,0.0,1.0205536244607256
cny_last_r25,1.6163430782983315,1.6883209190876733,1.1997816593886463,1.232237539766702,61.271119241361,16.256177097600666,0.0,1.6163430782983315
cny_last_r35,1.511235188005824,1.5682228396884625,1.6812227074235808,1.7073170731707317,47.982898653514205,13.052017416926475,0.0,1.511235188005824
cny_last_r35_cd3,1.4736757989060154,1.5204601778534568,1.131004366812227,1.1405750798722045,45.37396770684222,17.1901691254775,0.0,1.4736757989060154
cny_post_r25,1.5582255245170193,1.6339377652017089,1.1997816593886463,1.232237539766702,61.080475572191006,15.91403826790576,0.0,1.5582255245170193
cny_post_r35,1.47222851686705,1.541636040922863,1.74235807860262,1.7816826411075612,51.298183667655046,14.8773369402622,0.0,1.47222851686705
cny_post_r35_cd3,1.4263651991625874,1.523379777320935,1.1692139737991265,1.1853035143769968,44.28907877202602,18.68534978307055,0.0,1.4263651991625874
cny_late_r25,1.4613641243409594,1.5044982556548494,1.138646288209607,1.1440860215053763,36.29128138442614,15.963707843456714,0.0,1.4613641243409594
cny_late_r35,1.3319373516200108,1.3702500435885951,1.6124454148471614,1.633085896076352,17.487412812001903,6.70442365545845,0.0,1.3319373516200108
cny_late_r35_cd3,1.2802060343748893,1.3191874606430534,1.1157205240174672,1.1283138918345705,20.534185285488622,12.194360472704657,0.0,1.2802060343748893
local_mix_w25_r25,1.5639036845075722,1.66049330458334,1.1692139737991265,1.4451612903225806,59.77190783444573,17.068937741951526,0.0,1.5639036845075722
local_mix_w25_r35,1.467666138383077,1.5403571405823964,1.650655021834061,1.8860489882854101,52.170606023802186,14.732370413063505,0.0,1.467666138383077
local_mix_w25_r35_cd3,1.4394991032983868,1.5023276520288233,1.0851528384279476,1.1554845580404687,48.24332522410628,19.9620084683444,0.0,1.4394991032983868
local_mix_w50_r25,1.4932344868675616,1.5784476887424517,1.1462882096069869,1.5240128068303094,54.08278025764523,16.58644807028424,0.0,1.4932344868675616
local_mix_w50_r35,1.432806119061124,1.5144228350002624,1.6430131004366813,1.9498399146211312,47.33425456554168,14.187053136127862,0.0,1.432806119061124
local_mix_w50_r35_cd3,1.4132588902344665,1.481187812895381,1.0698689956331877,1.1405750798722045,44.04030303052335,18.72614133042929,0.0,1.4132588902344665
local_mix_w100_r25,1.4184269718129345,1.501645468974472,1.1768558951965065,1.5837780149413019,45.5868747673893,14.271892577453746,0.0,1.4184269718129345
local_mix_w100_r35,1.3499240392919032,1.4227344245927818,1.6124454148471614,1.9573105656350054,37.61236343212546,12.057362997568896,0.0,1.3499240392919032
local_mix_w100_r35_cd3,1.3306378511582129,1.3907411189640964,0.962882096069869,1.1405750798722045,35.906037304723604,15.939831828331311,0.037117903930131035,1.2564020432979508
cny_cbr_w25_r25,1.5414960569525333,1.590905743585915,1.207423580786026,1.2767762460233296,62.9778593328086,1.1287677658913935,0.0,1.5414960569525333
cny_cbr_w25_r35,1.4599886092206897,1.5025421703220452,1.6277292576419213,1.7370095440084834,52.885390153353995,0.9563496708254946,0.0,1.4599886092206897
cny_cbr_w25_r35_cd3,1.4176698278138498,1.4554999982426875,1.0622270742358078,1.1554845580404687,48.991905074131076,3.2231280656688615,0.0,1.4176698278138498
cbr_hist_r25,1.1256378910757696,1.269973638282138,0.8388123011664899,0.978494623655914,8.889229863130007,-7.908694850912141,0.16118769883351014,0.8032624934087493
cbr_hist_r35,1.0852215486847097,1.18953892464643,1.2619300106044538,1.467741935483871,7.140347143676548,-7.082039199709451,0.0,1.0852215486847097
cbr_hist_r35_cd3,1.047065525540706,1.1070980743502818,0.7489082969432315,0.8580645161290322,7.651294897022046,-8.198614603956996,0.25109170305676853,0.5448821194271689
market_hist_r25,1.606769359837602,1.770734161452803,1.0622270742358078,1.0989247311827957,62.11538657614672,12.693888184725884,0.0,1.606769359837602
market_hist_r35,1.5161481816223974,1.612156967500102,1.490174672489083,1.6258064516129032,51.64216116861858,10.265433842533852,0.0,1.5161481816223974
market_hist_r35_cd3,1.4878557430346013,1.568744706290637,1.0010917030567685,1.073482428115016,50.921466582713855,14.75263380506926,0.0,1.4878557430346013
market_logit_r25,1.389028441464183,1.4832222552263867,1.3755458515283843,1.633085896076352,46.580521603299,8.65573868624571,0.0,1.389028441464183
market_logit_r35,1.325308140158832,1.3823615427845617,1.8875545851528384,2.1618743343982962,37.692865949150764,7.501374781055517,0.16187433439829624,1.0015594713622396
market_logit_r35_cd3,1.3073513055202428,1.372159205074836,1.0927947598253274,1.215122470713525,39.785460494576796,13.167670290738172,0.0,1.3073513055202428
market_extra_r25,1.6448038383236994,1.789424821469095,1.1080786026200873,1.20254506892895,68.2021259360694,14.062929101709125,0.0,1.6448038383236994
market_extra_r35,1.5419885608906665,1.643359907519231,1.5513100436681222,1.6483870967741936,56.16341348779741,11.4662744388948,0.0,1.5419885608906665
market_extra_r35_cd3,1.5347005741045487,1.5973704690644321,1.0775109170305677,1.1107561235356762,57.252691843463104,18.131078833635275,0.0,1.5347005741045487
multi_hist_r25,1.6361447737736265,1.776619928114353,0.9781659388646288,1.053763440860215,63.33132135552283,13.144213658876655,0.02183406113537123,1.592476651502884
multi_hist_r35,1.5199727932694442,1.6001528099936653,1.4137554585152838,1.5655913978494622,52.28204623166947,11.406353921936663,0.0,1.5199727932694442
multi_hist_r35_cd3,1.4938256617446846,1.5960960600934824,0.9705240174672489,1.0387096774193547,52.81321136287829,16.20292848042439,0.029475982532751077,1.4348736966791824
floor_quantile_r25,1.331107350765161,1.4156526262211018,1.0540827147401908,1.3755458515283843,33.9266339055859,4.3819056574254045,0.0,1.331107350765161
floor_quantile_r35,1.2442328972819068,1.3061992982201287,1.588547189819724,1.7270742358078601,26.81158594200409,3.9718614058112927,0.0,1.2442328972819068
floor_quantile_r35_cd3,1.09066067912094,1.17210180734513,0.8833510074231177,0.9858078602620087,22.816407888518942,3.296457583218494,0.11664899257688233,0.8573626939671752
