stage,pooled_pass,local_pass,pass,local_groups,local_noninferior,brier_delta,logloss_delta,ece_delta,auc_delta,worst_brier_ci_high,worst_auc_ci_low
screen_2019_2022,False,False,False,9,0,0.006539325280355293,0.022601106281093297,0.025032588868821544,0.00438503366272025,0.013553222425398007,-0.09865953916599252
validation_2023_2024,False,False,False,7,5,-0.0023928124252111937,-0.009266850846433528,-0.018653779196157613,0.09832363799190164,0.0033240185189587347,-0.027004402965351976
