stage,metric,block_dates,draws,mean_delta,ci_low,ci_high
screen_2019_2022,brier,20,1000,0.006442058603568401,0.0023681765397417227,0.012239892204299455
screen_2019_2022,logloss,20,1000,0.02231004212877923,0.009135286046479778,0.038513892719314456
screen_2019_2022,auc,20,1000,0.004792196011894216,-0.09719614612323042,0.1116461380057787
screen_2019_2022,brier,50,1000,0.006390234518737357,0.001245794896766487,0.013553222425398007
screen_2019_2022,logloss,50,1000,0.02210529842006265,0.005249943478916707,0.042592706629433756
screen_2019_2022,auc,50,1000,0.006572377135188097,-0.09865953916599252,0.11381042985418759
validation_2023_2024,brier,20,1000,-0.0022333082438067433,-0.007915513265732527,0.0033240185189587347
validation_2023_2024,logloss,20,1000,-0.008673293993054793,-0.029911898337095094,0.011626254231720725
validation_2023_2024,auc,20,1000,0.09474564447087895,0.007365645082881887,0.2014247868036588
validation_2023_2024,brier,50,1000,-0.0026463884503415917,-0.009151290917988799,0.0029964458109613176
validation_2023_2024,logloss,50,1000,-0.010196939097245835,-0.03391828615068551,0.010242479802576003
validation_2023_2024,auc,50,1000,0.09135143420594784,-0.027004402965351976,0.23987921365523932
