year,fit_origin,evaluation_origin,fit_cutoff_ord,calibration_cutoff_ord,training_rows,calibration_rows,query_rows,latest_training_date,latest_training_maturity_ord,latest_calibration_date,latest_calibration_maturity_ord,raw_intercept,raw_coefficients,platt_intercept,platt_slope
2019,2018-01-01,2019-01-01,736693,737058,8546,1130,1230,2017-12-01,736692,2018-12-01,737057,-2.0772288819029208,"[0.1491657918344496, 0.28688504524406544, -0.09110512365233082, 0.23572725141659134, 0.022746171880334336, -0.5188477903034384, 0.13425983838005703, -0.557839844386195, -0.23856816986708954, 0.10216550486691688, -0.9756444721144097, 0.07125282285949451, -0.1606556184897752, 0.08206037957689588, 0.1288585043954185, -0.11598347376234301, 0.06807292268619942, -0.4251975550231108, -0.029429893538927193, 0.2932325940383199, 0.03781907549124459, 0.19597384153309175, -0.358602857238977, 0.25842484380032427, -0.13266757286706662, -0.05916841879831612, -0.547827530152735, 0.5425498643755039, -0.04744653229484322, -0.6424294678161113, -0.467209878409933, -0.2647416812793156, 0.0958353490663856, 0.20600784625775778, 0.006350732095010081, 0.008361254327402114, 0.06467572317921874, -0.04150292749428149, -0.049089715256162784, 0.024561062924567948, 0.0013555592770676753]",-2.4645048120981747,-0.3591320340230061
2020,2019-01-01,2020-01-01,737058,737423,9781,1125,1215,2018-12-01,737057,2019-11-30,737421,-2.0059844866008163,"[0.2061565805175999, 0.24763962689428978, -0.08737249098531917, 0.20677615223063675, -0.08475943618598102, -0.2607699016111602, 0.0842924583645381, -0.20160946809954408, -0.28910095590040846, 0.13367506191795323, -0.829147625726528, -0.05349088181469351, -0.018545037960898236, -0.2046915813586275, 0.0497141698750757, -0.04980079479597652, 0.004957761146190729, -0.2735618107178644, -0.009446726040204806, 0.2440250213806796, -0.08943756709177128, 0.22538917792965713, -0.31914936008057465, 0.34191349988490727, -0.16487135020743143, -0.09911775848375223, -0.41550117682879495, 0.1476702393550398, -0.2688173384076067, -0.15868267056322619, -0.258691736680469, -0.338047101220579, 0.016257844413410064, 0.198995225949374, 0.0034633860928339265, -0.005482247476193228, 0.041249067968509356, -0.0050177000502199, -0.04311933019288707, 0.02612842690438654, -0.019236777422011322]",-2.4242230801384275,0.009728392177276574
2021,2020-01-01,2021-01-01,737423,737789,11011,1105,1240,2019-11-30,737421,2020-12-01,737788,-2.0423851394862655,"[0.1692307190405429, 0.23314239869773065, -0.09021355789277244, 0.16749109142032698, -0.06936225820071602, -0.1945523083652146, 0.10382258730992548, -0.05664723255831702, -0.23896621087613895, 0.13696903757502082, -0.6732410314382568, -0.12425622779339701, -0.02936773928120437, -0.31807404018880875, 0.0010927077672634187, -0.017162309098297163, 0.0010064810966989265, -0.19129272260856287, -0.03335614938805968, 0.18202249730684075, -0.09107113264725178, 0.20696548260705658, -0.2706219983293881, 0.28394786247538284, -0.14159311832614438, -0.07314747876503497, -0.4063725308540307, 0.4171710291957186, -0.163568573668362, -0.45787296091690743, -0.09357150841087498, -0.3505073554838468, -0.07627121737017147, 0.10869295021372843, 0.009545405821512629, -0.009177448663457563, 0.029268480271008125, -0.02854276802933378, -0.03192436671622073, 0.034443208551079386, -0.003244001733681911]",-1.469219433758959,0.015484980480472914
2022,2021-01-01,2022-01-01,737789,738154,12221,1130,1235,2020-12-01,737788,2021-12-01,738153,-1.9987440489507255,"[0.1118542906995823, 0.2189631953601585, -0.10405755039866954, 0.16468800995569172, -0.07624550436540892, -0.1721691954486738, 0.10148056243945618, 0.2615619486034188, -0.1837665806285861, 0.04841823297219712, -0.40383669171389985, -0.07738539792290655, -0.0328386427249141, -0.35035769083185625, -0.10738502457756996, -0.06194678579750211, -0.05942053311486263, -0.11314178369575664, 0.011013112234494853, 0.2155712781884311, -0.11514954155015286, 0.18924032678842156, -0.27545821611207916, 0.1932368357544696, -0.10105499849120674, -0.05820280990850107, -0.16189468935453769, 0.35085210496894004, -0.2287851637117819, -0.41523219291521646, -0.17147164550823585, -0.2567920917074105, 0.07449309687997126, 0.14535404070722685, -0.04784081351373851, 0.056519287602558706, 0.035003479085209774, -0.015581422080421672, -0.037977301274357174, 0.04318048215163045, -0.024621460715431493]",-4.188655518065422,-1.0529219038551374
2023,2022-01-01,2023-01-01,738154,738519,13461,1125,1235,2021-12-01,738153,2022-12-01,738518,-2.0111557579480652,"[0.09399121876168767, 0.1810651059242281, -0.10014518438093137, 0.09618084316811647, -0.057528202025258754, -0.15375360921445452, 0.22633612846715268, 0.23989719610915303, -0.16346576698157003, 0.029559700534463496, -0.24033683040929124, -0.19009480426175202, -0.09003300808342764, -0.3542502290828952, -0.1823335011036981, -0.08541903071484132, -0.10200154527758117, -0.043432529562456725, 0.05941025808311794, 0.1850925283831459, -0.019337860064092813, 0.1739748406093649, -0.18571352347664477, 0.1593696292344995, -0.0811774787088007, -0.03376882038486155, -0.06152340617115341, 0.21243586444271687, -0.2542268694634365, -0.303360776579351, -0.18468189848260425, -0.3611210915116424, 0.027916678331637874, 0.25209629378871284, -0.04899392587208178, 0.043770357927154155, 0.03371233429515805, -0.02051969764801539, -0.02645875155052726, 0.04202344336086582, -0.028753323723250214]",-0.43430774214198564,0.595732567572847
2024,2023-01-01,2024-01-01,738519,738884,14696,1130,1240,2022-12-01,738518,2023-12-01,738883,-2.0084224877775974,"[0.1540981689608219, 0.33190481698555396, -0.037356594438905454, 0.16793750731353632, 0.015981907935934462, -0.15392060217372405, 0.06247593469254595, 0.3568601164991934, -0.16625031472475374, -0.04307119593532391, -0.20327451720476816, -0.09574531005285179, -0.05376035655916842, -0.3560297706164825, -0.028992614410009845, -0.05591538900999649, -0.18679284557265838, -0.00537493397557082, 0.08430531780960528, 0.12176552843934003, -0.2366644291870962, 0.13249471351097775, -0.23764276516945274, 0.22415854421585943, -0.09621230203543683, -0.055964219264070914, 0.3794671533746523, 0.2636938438603301, -0.9198182113837795, -0.21601881485274596, -0.10395020263624251, -0.3284261845994038, -0.061479149919415804, 0.21762867355716903, -0.07384894920491562, 0.051394886359800766, 0.03558056651183574, -0.016675955529793726, -0.022672535459347914, 0.03406801094363641, -0.030296221412920692]",-1.2535138475652723,-0.12787195681596186
2025,2024-01-01,2025-01-01,738884,739250,15936,1140,1235,2023-12-01,738883,2024-12-03,739249,-1.9075210828837437,"[0.09800244050056942, 0.2488247794140563, 0.053342027380329685, 0.21791404859732105, -0.17286829425403008, -0.008900839145237984, 0.11090444968312921, 0.5655492875234321, 0.01793487126169711, -0.03587885957980853, -0.25855771215365186, -0.118244346290622, -0.09217336004077442, -0.5193000788950046, -0.27340637055416855, -0.0523760133920185, -0.18335006742670626, 0.06612763663403566, -0.023503621387208858, 0.12894164073136857, -0.44581327321980735, -0.00554110306493093, -0.2398702432142152, 0.1249933455286325, -0.03209618446904091, -0.021509221677985246, 0.3708454681720757, 0.46495886483937593, -0.6598661794351203, -0.545526590130972, -0.03179498390752302, -0.32792137826606643, -0.03841727332015544, 0.284833997350828, -0.14631027512213374, 0.11962226346613812, 0.026907296574461934, -0.013155016242374062, -0.017095684845618308, 0.03608305704337898, -0.032735801183574796]",0.6033224551689446,1.3458100444325611
2026,2025-01-01,2026-01-01,739250,739615,17181,1125,810,2024-12-03,739249,2025-11-29,739612,-1.8940920638013814,"[0.11416721597964974, 0.21373287351916412, 0.06686484598250893, 0.24422415497545033, -0.14201438676001454, 0.0034948690162273175, 0.09995747133968413, 0.4706066761805214, 0.17550255049611463, -0.10334743532778211, -0.3303320879643456, -0.020908572906472543, -0.17920472648030447, -0.4695088845725331, -0.31904773634430034, 0.005049139354041819, -0.2476234489435327, 0.10927241859726543, -0.05039894073025606, 0.23899251318136694, -0.6144105761897863, -0.011656170523798042, -0.26412295224491966, 0.1537538689454656, -0.052906196670883004, -0.039290684277882175, 0.3909636017072213, 0.5775441352480283, -0.7375660622717718, -0.6260760161863372, -0.12944630447678931, -0.3683895926010689, -0.00626105439849745, 0.3785358999383278, -0.15941077390244673, 0.11507716442820633, 0.024140683464967286, -0.011888746839232984, -0.009730892663720271, 0.03689775022900827, -0.03941449309861742]",0.058360537246488625,1.1849397216140058
