rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,candidate,policy_type,rate,rolling,cooldown,history,strong,late,late_weekday,weekly_cap
0.15,335,1.3248587570621468,20,0,0.3970149253731343,0.3379032258064516,1.1749367719873187,0.5567734208529675,38.7282071947094,1.1749367719873187,1.1749367719873187,1,1,1.2457627118644068,1.4039548022598871,1.0980392156862744,0.8848484848484849,1.1749367719873187,1.3248587570621468,1.3248587570621468,0.9280898876404495,2.0363636363636366,4,geometric,rolling,0.15,20,0,0,0.0,0.0,0,0
0.15,277,1.0954802259887007,40,0,0.4404332129963899,0.3379032258064516,1.3034300336886002,0.5567734208529675,57.18996535998497,1.3034300336886002,1.3034300336886002,1,1,1.0677966101694916,1.1073446327683616,1.1652846876727474,0.9044117647058824,1.3034300336886002,1.0954802259887007,1.0954802259887007,0.7707865168539327,1.5272727272727273,4,geometric,rolling,0.15,40,0,0,0.0,0.0,0,0
0.15,220,0.8700564971751413,60,0,0.4954545454545455,0.3379032258064516,1.4662616619657194,0.5567734208529675,67.03551289916668,1.4662616619657194,1.4662616619657194,1,1,0.8107344632768362,0.9491525423728814,1.3658536585365855,0.8883720930232558,1.4662616619657194,0.8700564971751413,0.8700564971751413,0.39772727272727276,1.4477272727272728,4,geometric,rolling,0.15,60,0,0,0.0,0.0,0,0
0.15,170,0.672316384180791,120,0,0.5470588235294118,0.3379032258064516,1.6189807665309564,0.5567734208529675,78.54227706546065,1.6189807665309564,1.6189807665309564,1,1,0.632768361581921,0.711864406779661,1.3366500829187398,0.9575757575757575,1.6189807665309564,0.672316384180791,0.672316384180791,0.0,1.2075,4,geometric,rolling,0.15,120,0,0,0.0,0.0,0,0
0.15,127,0.5022598870056497,250,0,0.5039370078740157,0.3379032258064516,1.49136489203766,0.5567734208529675,69.91811316239234,1.49136489203766,1.49136489203766,1,1,0.43502824858757067,0.5536723163841808,0.8412483039348712,0.9344262295081968,1.49136489203766,0.5022598870056497,0.5022598870056497,0.0,1.2075,4,geometric,rolling,0.15,250,0,0,0.0,0.0,0,0
0.15,136,0.5378531073446328,40,3,0.4411764705882353,0.3379032258064516,1.3056296504281903,0.5567734208529675,54.19217377346063,1.3056296504281903,1.3056296504281903,1,1,0.5141242937853108,0.5536723163841808,1.0575692963752665,0.7480916030534351,1.3056296504281903,0.5378531073446328,0.5378531073446328,0.36179775280898874,0.7318181818181818,4,geometric,rolling,0.15,40,3,0,0.0,0.0,0,0
0.15,117,0.46271186440677964,60,3,0.42735042735042733,0.3379032258064516,1.2647124818962527,0.5567734208529675,51.363821153975366,1.2647124818962527,1.2647124818962527,1,1,0.43502824858757067,0.4745762711864407,1.0094979647218454,0.7232142857142857,1.2647124818962527,0.46271186440677964,0.46271186440677964,0.28314606741573034,0.6681818181818182,4,geometric,rolling,0.15,60,3,0,0.0,0.0,0,0
0.15,81,0.32033898305084746,120,3,0.4691358024691358,0.3379032258064516,1.3883732579038863,0.5567734208529675,68.86846757375237,1.3883732579038863,1.3883732579038863,1,1,0.2966101694915254,0.3559322033898305,1.0281923714759538,0.8421052631578947,1.3883732579038863,0.32033898305084746,0.32033898305084746,0.0,0.6649999999999999,4,geometric,rolling,0.15,120,3,0,0.0,0.0,0,0
0.18,374,1.4790960451977402,20,0,0.37433155080213903,0.3379032258064516,1.1078069761208889,0.5567734208529675,32.045787059660505,1.1078069761208889,1.1078069761208889,1,1,1.384180790960452,1.6412429378531075,1.0439831615619104,0.9051490514905149,1.1078069761208889,1.4790960451977402,1.4790960451977402,1.101123595505618,2.1954545454545458,4,geometric,rolling,0.18,20,0,0,0.0,0.0,0,0
0.18,312,1.2338983050847459,40,0,0.42948717948717946,0.3379032258064516,1.271036044305734,0.5567734208529675,57.198681620823876,1.271036044305734,1.271036044305734,1,1,1.2062146892655368,1.2853107344632768,1.1750769959725185,0.9185667752442996,1.271036044305734,1.2338983050847459,1.2338983050847459,0.8337078651685393,1.7818181818181817,4,geometric,rolling,0.18,40,0,0,0.0,0.0,0,0
0.18,242,0.9570621468926553,60,0,0.4834710743801653,0.3379032258064516,1.430797451626265,0.5567734208529675,64.57426179141075,1.430797451626265,1.430797451626265,1,1,0.8898305084745763,1.0480225988700564,1.353034780631962,0.8987341772151899,1.430797451626265,0.9570621468926553,0.9570621468926553,0.4931818181818182,1.590909090909091,4,geometric,rolling,0.18,60,0,0,0.0,0.0,0,0
