scenario,metric,block_dates,mean_delta,ci_low,ci_high
calendar_assumed_replay,brier,20,-0.005450195841039781,-0.008854316114359833,-0.0028358800910279936
calendar_assumed_replay,logloss,20,-0.019756300301388977,-0.03221980453782986,-0.01013580943518565
calendar_assumed_replay,auc,20,0.13107274481125908,0.0761143288420145,0.19587076690521565
calendar_assumed_replay,brier,50,-0.005597390850277931,-0.009566062934681758,-0.0024119940662217054
calendar_assumed_replay,logloss,50,-0.02027762419297224,-0.034270329272986975,-0.009196838550768695
calendar_assumed_replay,auc,50,0.13190746018920044,0.07307977832639354,0.19230740261100004
no_same_day_receipt,brier,20,-0.004051026336888022,-0.0074723623431670275,-0.001466258245205475
no_same_day_receipt,logloss,20,-0.014700807298734912,-0.02663169118104987,-0.005538445953605647
no_same_day_receipt,auc,20,0.09846077317156036,0.04017154132173255,0.1661929871552635
no_same_day_receipt,brier,50,-0.00405810756002698,-0.007621542531137351,-0.0010203433744210547
no_same_day_receipt,logloss,50,-0.014712557767129151,-0.027375371097619308,-0.004130708037026592
no_same_day_receipt,auc,50,0.09720325463922627,0.030258236161932635,0.1654068762656652
