candidate,period,horizon,n,case_lift,matched_base_rate,macro_corridor_year_lift,symmetric_benefit_bps,future_only_benefit_bps
selected_threeway,retrospective_2025,1,310,1.6086441681468324,0.46322319446258325,1.6150160966198748,20.73811760230217,62.33399910442207
selected_threeway,retrospective_2025,3,310,1.966180462890535,0.28383178790649083,1.9725313130162156,35.922830468447685,61.49393057895002
selected_threeway,retrospective_2025,5,310,2.039396083982071,0.2214444299333943,2.047196285496402,46.45959792170091,58.69481260831339
selected_threeway,retrospective_2025,10,310,2.216722942953617,0.14697662269818465,2.225874594557526,59.148916986547675,49.94953018736994
selected_threeway,retrospective_2025,20,310,2.1533850973981745,0.0958730573331592,2.139324192633936,71.54161558554163,22.688505419128024
selected_threeway,retrospective_2026,1,205,1.6248727519511368,0.5493863601056392,1.628505481615489,19.393025102898367,73.27007105800307
selected_threeway,retrospective_2026,3,205,1.7530417372555058,0.4034798819325773,1.7549407414331657,29.102899309185887,91.37038307424653
selected_threeway,retrospective_2026,5,205,1.7240117130307466,0.3395370514214696,1.7277754473884877,35.920694151343106,107.22466379714616
selected_threeway,retrospective_2026,10,200,1.6644840821855948,0.29138157894736844,1.6676065933969668,46.92983176023569,141.95932027126986
selected_threeway,retrospective_2026,20,181,1.505141591520329,0.24593416854719477,1.5085462478999005,85.43003894839238,184.69115578832577
selected_threeway,combined_2025_2026,1,515,1.6157775188562662,0.4975211536020521,1.621760789117682,20.20269243263658,66.68719279468249
selected_threeway,combined_2025_2026,3,515,1.8629039750451046,0.3314586991207582,1.8637360272246908,33.208100589518224,73.38649904795155
selected_threeway,combined_2025_2026,5,515,1.880611970064022,0.2684521724674825,1.8874858664424448,42.26450030437402,78.01252036309147
selected_threeway,combined_2025_2026,10,510,1.9067967600128661,0.20360601730570774,1.9467405939772466,54.357118858582204,86.03180080850717
selected_threeway,combined_2025_2026,20,491,1.764672626626094,0.15119090077458575,1.8239352202669181,76.66138061339495,82.40842337600134
incumbent_nested,retrospective_2025,1,316,1.6320081831250692,0.46343463332137547,1.6356200452647034,18.45935618673006,66.6909721255278
incumbent_nested,retrospective_2025,3,316,2.036264528335886,0.2844001434940809,2.0371470876551543,34.24545115341266,70.17735775246841
incumbent_nested,retrospective_2025,5,316,2.065574715958244,0.22214677394557478,2.0719428304409515,41.07254728398513,64.1844585857615
incumbent_nested,retrospective_2025,10,316,2.164786532454009,0.14764515963716496,2.164989967566919,49.02196414868605,45.90956617704427
incumbent_nested,retrospective_2025,20,316,2.132987910189983,0.09643570952698201,2.1024480517572797,62.98428476592117,10.081362220821005
incumbent_nested,retrospective_2026,1,219,1.612046152217635,0.5495157490620365,1.6197286807965927,17.35559496507539,75.46700153640572
incumbent_nested,retrospective_2026,3,219,1.7884643114635903,0.4033970276008493,1.792033386814498,27.082538428996706,97.80766158055724
incumbent_nested,retrospective_2026,5,219,1.8030510798765853,0.33935375039990695,1.8096384650119777,33.91184360769942,115.74108977325565
incumbent_nested,retrospective_2026,10,214,1.7482325630473778,0.29134899163797345,1.7550509902993494,44.1879314135016,149.0058434424759
incumbent_nested,retrospective_2026,20,192,1.7154362416107383,0.2459286971830986,1.7220429717577428,82.34207651596454,193.49728753618788
incumbent_nested,combined_2025_2026,1,535,1.6230036627345803,0.49867157602643114,1.627674363030648,18.007536172632168,70.28340285633575
incumbent_nested,combined_2025_2026,3,535,1.9134256869073194,0.333111017549001,1.914590237234826,31.313342954072297,81.4877064222842
incumbent_nested,combined_2025_2026,5,535,1.9305707003955412,0.27012495683061916,1.9407906477264647,38.141343349206494,85.28894873540864
incumbent_nested,combined_2025_2026,10,530,1.9265250031338068,0.20566897104881215,1.9600204789331344,47.07010942164931,87.53711963893554
incumbent_nested,combined_2025_2026,20,508,1.8792155066718188,0.15293699620015994,1.912245511757511,70.30061550609504,79.40391667072346
