candidate,period,horizon,n,case_lift,matched_base_rate,macro_corridor_year_lift,symmetric_benefit_bps,future_only_benefit_bps
threeway_p40_g10_a50,screen_2024,1,295,1.3717503897018153,0.5436577364680153,1.3713946690560712,11.075032616796532,31.566869720757424
threeway_p40_g10_a50,screen_2024,3,295,1.4431164848949438,0.3922772006560963,1.4407028382112652,21.24031890790224,46.27521824481944
threeway_p40_g10_a50,screen_2024,5,295,1.54323581703572,0.33827227993439035,1.5425721936235195,29.203834669820356,58.192729856766604
threeway_p40_g10_a50,screen_2024,10,295,1.545601945683016,0.2697648988518316,1.5409130629364711,40.06924882127211,82.57608251926938
threeway_p40_g10_a50,screen_2024,20,295,1.8689855072463766,0.18862766539092402,1.8678244853101755,59.99599271756666,126.26913812655819
threeway_p40_g20_a40,screen_2024,1,305,1.4426676402580019,0.543164992067689,1.442594325815349,4.438723054414908,42.96069349201604
threeway_p40_g20_a40,screen_2024,3,305,1.508108108108108,0.39132734003172925,1.5055282085668356,12.379360358606267,51.0715189161578
threeway_p40_g20_a40,screen_2024,5,305,1.5559563955768176,0.33714965626652565,1.5511603779077927,19.05382231391333,58.45060593951162
threeway_p40_g20_a40,screen_2024,10,305,1.5011072289749519,0.26865415124272873,1.4911874914893253,28.868562377132633,77.90073807436664
threeway_p40_g20_a40,screen_2024,20,305,1.6705023856300871,0.1884188260179799,1.6708503408004542,49.013520684986354,116.22395426564033
threeway_p40_g30_a30,screen_2024,1,302,1.4447667272995428,0.5431798760948515,1.4457230370517458,3.0429956249035444,47.663880423447125
threeway_p40_g30_a30,screen_2024,3,302,1.5228738102548358,0.3913827173680838,1.5252090949845871,11.677567583982366,56.40140897927494
threeway_p40_g30_a30,screen_2024,5,302,1.5611687386174677,0.3372409741508225,1.5614619308925,18.73375019446389,61.97882130020134
threeway_p40_g30_a30,screen_2024,10,302,1.4041221753166127,0.26883945738090154,1.4044968645309581,23.79999501930037,73.28888810746795
threeway_p40_g30_a30,screen_2024,20,302,1.529019913542626,0.18840792565691095,1.5362299262150862,38.37711281364289,98.82056615998326
threeway_p40_g40_a20,screen_2024,1,298,1.4007116020999726,0.5438271270837843,1.4004105781775475,-1.6638599550320745,42.52203212668837
threeway_p40_g40_a20,screen_2024,3,298,1.4794992930790716,0.3923874215198095,1.4784855772953933,5.089072125220104,51.423330533341954
threeway_p40_g40_a20,screen_2024,5,298,1.506875599616246,0.3384931803420653,1.4983176983122108,11.92030916421416,59.228839937106486
threeway_p40_g40_a20,screen_2024,10,298,1.3561430793157077,0.26971476510067116,1.3520140028680576,14.505929439588922,68.65033331603124
threeway_p40_g40_a20,screen_2024,20,298,1.3856733524355305,0.18889369993505084,1.3906496928329974,24.045177665980592,84.89193259376778
threeway_p40_g50_a10,screen_2024,1,295,1.434751987121441,0.5434117003827228,1.4365548976463998,-2.9304807351718924,42.68974005913484
