candidate,horizon_lift_min,horizon_lift_mean,symmetric_benefit_min,future_benefit_min
threeway_p40_g10_a50,1.3717503897018153,1.5545380289123742,11.075032616796532,31.566869720757424
threeway_p40_g20_a40,1.4426676402580019,1.5356683517095933,4.438723054414908,42.96069349201604
threeway_p40_g30_a30,1.4041221753166127,1.492390273006217,3.0429956249035444,47.663880423447125
threeway_p40_g40_a20,1.3561430793157077,1.4257805853093057,-1.6638599550320745,42.52203212668837
threeway_p40_g50_a10,1.4240561004116066,1.480601588982455,-2.9304807351718924,42.68974005913484
threeway_p50_g10_a40,1.417390436258361,1.5250018457781498,5.219917874220047,44.23780645004974
threeway_p50_g20_a30,1.369815373599959,1.4686771162101708,2.318419320903907,45.46889465814124
threeway_p50_g30_a20,1.3852598913886733,1.4632087598625243,1.2423982079126212,46.549968767124184
threeway_p50_g40_a10,1.420516253812393,1.4952625888886313,-1.6312490224680156,45.029040063693564
threeway_p60_g10_a30,1.4131054131054128,1.4857187545880983,2.6074824142510575,45.61559460744868
threeway_p60_g20_a20,1.4117981925567498,1.485959360732439,1.5271232878284131,45.85765076489509
threeway_p60_g30_a10,1.416998265483114,1.4892618099954489,-1.5286522187939169,43.38339820793537
threeway_p70_g10_a20,1.4350621517359623,1.5080360174808463,2.0282456625176226,46.06122455270563
threeway_p70_g20_a10,1.4007292485879748,1.4881717529753005,1.4381315048272727,45.62510137240905
threeway_p80_g10_a10,1.403409492820259,1.5162013042441091,2.5199274502596003,48.70132998242979
