h,bin,n,predicted_bps,actual_bps,mae
3,"(-605.172, -78.284]",654,-143.69716327024818,-147.89417464909653,65.14468877323844
3,"(-78.284, -29.148]",654,-52.38261347535767,-37.807517323773,52.03125319071256
3,"(-29.148, 16.284]",654,-7.97107060316785,3.528489084766889,54.45668891283246
3,"(16.284, 79.0]",654,46.05782946723362,45.07684986893975,46.457806037748796
3,"(79.0, 383.999]",654,137.6965550025124,137.16174095971468,65.1423897948118
5,"(-636.893, -86.55]",652,-153.1320075187129,-147.35949091130377,92.9268335288464
5,"(-86.55, -33.54]",652,-57.704160435879444,-44.61187483004548,78.71096470422673
5,"(-33.54, 17.877]",652,-9.698004892724605,5.914546905549597,81.07313990123677
5,"(17.877, 87.845]",652,51.177316821847654,49.64295515436774,75.92460228808432
5,"(87.845, 416.279]",652,151.4508957208372,135.93563003972693,100.93860133046248
10,"(-706.1859999999999, -96.287]",647,-165.70525868512928,-138.59089160638493,139.3985551174817
10,"(-96.287, -33.447]",647,-62.70689095497918,-55.15808638649317,129.0212415765752
10,"(-33.447, 28.073]",647,-4.622658082640119,-0.8210327613133483,118.33846536377322
10,"(28.073, 109.033]",647,66.65823834918342,69.39664392339937,128.8039246050583
10,"(109.033, 525.421]",647,182.4253179678285,124.9354798957303,147.83394844383565
20,"(-639.0269999999999, -78.844]",637,-154.86392157530312,-133.69050653631092,193.85120078647242
20,"(-78.844, -3.916]",637,-41.52203131844582,-69.95172847161327,193.49682173624888
20,"(-3.916, 69.689]",637,32.52730908853423,-5.276667826338961,187.5884709338947
20,"(69.689, 156.77]",637,110.40189928191965,87.68109754881824,188.81717732021903
20,"(156.77, 618.446]",637,241.64072851896378,106.01127088333035,221.65020562505313
