h,origin,n_train,n_query,constant_prediction,weighted_train_mean,target_clip_lo,target_clip_hi,coefficients,last_target_maturity
3,2023-01-01,1215,285,False,-4.501911262879962,-804.9870585810974,1062.9118497485513,"[4.183289609557658, 16.751231695524364, -0.14763628924337116, 25.201084064368665, -14.57055270404388, -21.401510651553732, -11.446345280284165, -3.804319717877492, 253.21725178635398, -12.716490883444145, 81.46900288389598, -74.58287475580683, 26.639412156720773, -37.903787762868205, -6.121786570167022, 25.739292148750234, -17.442541919119503, -5.501724306182703, 12.249409558894554, -5.735697115552051, 1.727743761253949, -3.0261247798780513, -0.9833154004278916, 2.8841125111168893, -0.6024160920667088, 0.0]",2022-12-29
3,2023-04-01,1495,305,False,2.6477890268456097,-782.2533750733244,1036.7738369157494,"[14.407812625164148, 10.877725938921618, 9.30675817065454, 16.22319354983276, -20.177071286005095, -7.747487123331335, -4.145379793766382, 0.5254359476500433, 229.4625526861654, -10.78239639346518, 75.45891954321725, -69.00396823238476, 7.7433811792892016, -9.650630534031466, -8.37125506917539, 22.46799304678607, -0.4674828909647826, 4.7241441421148735, 0.5813989993965991, -7.985514083003474, -0.7787161151092699, -1.4483824693542078, -1.111976762848018, 3.0567622810736808, 0.28231306623922836, -4.742356826698932]",2023-03-29
3,2023-07-01,1800,325,False,8.983673529940443,-761.0717824304937,1023.5945669286809,"[10.014336459905573, 0.3964541870333734, 6.356103038609462, 12.3600615616663, -14.483214729020665, -3.157723135643735, -5.58530973464503, 5.541368619038113, 211.7710017432448, -12.847954999273844, 59.63069898616492, -50.774489895910754, 13.948333003281478, -12.470161655387999, -6.833705897957095, 9.839104236510003, -6.66900965895779, 7.851729073732649, 0.34172123749497174, -8.550822980549395, 0.0348031431579976, -1.2344273106075303, -0.42453990772800765, 1.7296284080612108, -0.10546433288290602, -2.132705462536377]",2023-06-28
3,2023-10-01,2130,320,False,12.921840960950698,-753.9246278970046,1006.8083877213422,"[15.278858785739903, 3.9186513829432092, 1.7978459431216562, 13.246435962498735, 2.130365993136962, -6.875284006963353, 3.205558124431539, -1.6802671416469983, 198.2524428091729, -8.998509259604383, 55.90549632947111, -49.59815059685613, 15.103899733076936, -14.638171941826032, -3.075179194663812, 13.551791414390497, -10.759456473953668, 8.458262015187689, 8.298617602047672, -3.5444640084530166, 0.43280325380498047, -1.7408264666350597, -0.4023966673541696, 1.6342978402524702, 0.07612203993161788, -5.665539927326167]",2023-09-28
3,2024-01-01,2455,285,False,7.683390130150148,-733.5757190051838,939.2919568012957,"[19.078032396662714, -2.6993446903531844, -2.184873207824677, 9.687515685668039, 14.389539123773716, -10.660922234590833, 10.443683021574142, 2.4249025711027854, 184.09233108888557, -5.777125449274762, 45.504698749480696, -41.916727511031446, 17.515201113894594, -17.27185497440058, -2.5156468770493117, 4.752772447808032, -18.454253838827256, 4.949857797592859, 14.230878963353545, 0.6020730978257735, 0.45522812390050416, -1.644199652695583, 0.00585343115409135, 0.4442849093464658, 0.7388331882950027, -3.3848896407927938]",2023-12-29
3,2024-04-01,2740,300,False,7.334344695070725,-715.0341763303438,917.1559789735994,"[18.455548422093663, -0.31490904227327876, 1.4471754071723457, 14.53163092088855, 4.142025390461268, -11.895927210664667, 8.965153054496929, 1.8344300045105382, 173.232509663417, -4.970092223829147, 38.92710297221637, -35.17790726680971, 19.40670807667107, -15.753546449960295, -1.3689040948025817, 5.151256860925394, -15.187413701932611, 6.110889055501984, 12.362422594225167, 0.5736498012509665, 0.4082027051806722, -1.6347155426713358, -0.0571609897220291, 0.9085467317592104, 0.37512709545319484, -6.611268639368705]",2024-03-29
3,2024-07-01,3040,330,False,3.73457431687952,-703.9676695868086,871.7064031450992,"[16.285287457503415, -7.101658821737538, -4.8752807255563715, 8.761870236282714, 26.929283425417804, -15.107594617867399, 20.394660366552717, 6.5890460389411105, 163.1968322498413, -2.672078212352947, 28.10051868611142, -25.783818353263623, 21.157242433381914, -16.455714638935625, -2.2135225312437457, 5.504539604466697, -5.857922886838737, 6.579427476462904, 9.515072974667765, 0.0679883973924061, 0.45266121392342584, -1.464459879946228, 0.23210369705165082, 1.1569010991396484, -0.3772061301682873, -6.830847505651962]",2024-06-28
3,2024-10-01,3365,325,False,5.767287823513577,-699.5990333832527,858.9544733086205,"[15.471844062795906, -10.49188329984029, 0.49423689725869635, 11.903365264030747, 28.656372263650926, -21.86978055965049, 23.776991117538405, 0.9517774385467378, 157.31987781929638, -5.03402011073839, 22.778778313689248, -21.455649744929584, 6.756362341947694, -0.014127447430609542, 0.596690269275083, 3.3534544335425718, -2.6050754176722606, 6.897934770439875, 6.427584233029813, -2.5663396577225277, 0.5945704134042961, -1.30647062129495, 0.597032384019774, 0.9673574791557932, -0.8524896552860826, -7.0821188719904375]",2024-09-27
3,2025-01-01,3695,290,False,6.376070652335091,-673.7653138392176,834.000791380382,"[17.00259640366959, -2.332416504523726, 7.432421763929994, 12.890643998047402, 20.332017763492683, -21.6413170793452, 20.22609332259388, -10.926657836378158, 153.24306562771991, -3.6123586336154854, 28.387524069926457, -27.19734898527934, 0.7052924383696351, 12.096988991985462, -1.8702383850611133, 2.9340533115630407, -2.0597139963706446, 6.1173753759075575, 3.0840128287345996, -1.7575375269427527, 0.41074915292171715, -0.8964127463422925, 0.3953340236172043, 1.2661117464563318, -1.1757821766538017, -5.681626314543147]",2024-12-28
3,2025-04-01,3980,295,False,-0.9761702238721284,-666.3035635342179,818.7197989363165,"[23.46942572721683, 2.275497969311677, 4.908687878387315, 13.373845982746158, 23.916954977971397, -26.61353258211995, 21.930746707823367, -14.36117472754827, 150.3364012992695, -1.2681418923092334, 25.048186010636083, -26.25598398399159, 2.2243766278541397, 10.00910578299098, -1.1916494342986268, 5.760933664397754, 3.312064035161699, 5.795078256322097, 4.416018468613822, 1.8669150745708065, 0.3761087482809079, -0.9810101503085346, 0.43133996072114184, 1.2622320598624743, -1.0886706185561652, -6.610566439334728]",2025-03-28
