hypothesis,subset,n,share,target_rate,lift,benefit_bps
residual_freshness,control,529,0.2618811881188119,0.46880907372400754,1.7504516246256843,64.58638384069988
residual_freshness,challenger,519,0.25693069306930694,0.4913294797687861,1.8345389078243028,69.53591462886159
residual_freshness,intersection,462,0.22871287128712872,0.48268398268398266,1.802258123884741,69.30774513316761
residual_freshness,control_only,67,0.03316831683168317,0.373134328358209,1.3932187491378596,32.0301313463701
residual_freshness,challenger_only,57,0.02821782178217822,0.5614035087719298,2.0961831565975935,71.38528843606538
residual_freshness,neither,1434,0.7099009900990099,0.18200836820083682,0.6795876224874129,-36.69728380113691
hist_primary_increment,control,544,0.2693069306930693,0.4944852941176471,1.8463221702729151,71.28443344868988
hist_primary_increment,challenger,519,0.25693069306930694,0.4913294797687861,1.8345389078243028,69.53591462886159
hist_primary_increment,intersection,474,0.23465346534653464,0.4936708860759494,1.8432813121504947,74.24212370706215
hist_primary_increment,control_only,70,0.034653465346534656,0.5,1.8669131238447318,51.25664512771203
hist_primary_increment,challenger_only,45,0.022277227722772276,0.4666666666666667,1.7424522489217498,19.96384567181588
hist_primary_increment,neither,1431,0.7084158415841584,0.17540181691125087,0.6549199078756501,-37.78186675720712
extra_primary_increment,control,544,0.2693069306930693,0.4944852941176471,1.8463221702729151,71.28443344868988
extra_primary_increment,challenger,546,0.2702970297029703,0.49633699633699635,1.8532361046224262,70.43022725080344
extra_primary_increment,intersection,500,0.24752475247524752,0.49,1.829574861367837,70.27149717318503
extra_primary_increment,control_only,44,0.02178217821782178,0.5454545454545454,2.0366324987397073,82.79507294306322
extra_primary_increment,challenger_only,46,0.02277227722772277,0.5652173913043478,2.1104235313027404,72.15555418143835
extra_primary_increment,neither,1430,0.7079207920792079,0.17202797202797201,0.6423225572948308,-39.5011424941803
