candidate,period,h,n,brier,mean_probability,event_rate
expanding_cny,early,1,1135,0.19410461887126987,0.5992589737022482,0.5744493392070484
expanding_cny,early,3,1135,0.2061893536995903,0.4514679262029494,0.45198237885462555
expanding_cny,early,5,1135,0.20384363573797837,0.3910981281673832,0.3894273127753304
expanding_cny,early,10,1135,0.19905981548116408,0.3300467663529412,0.31541850220264317
expanding_cny,early,20,1135,0.18611218836804672,0.2804019051552411,0.2669603524229075
expanding_cny,later,1,3280,0.1922852683287814,0.5130754045517706,0.5161585365853658
expanding_cny,later,3,3270,0.19228058967516193,0.3705155136585021,0.354434250764526
expanding_cny,later,5,3260,0.18294979722351032,0.3140548504742548,0.294478527607362
expanding_cny,later,10,3235,0.16545280783922287,0.24698884666274443,0.22812982998454404
expanding_cny,later,20,3185,0.13566395263144923,0.18989012758741244,0.16577708006279435
expanding_hist,early,1,1135,0.22568815856208532,0.6240764350094616,0.5744493392070484
expanding_hist,early,3,1135,0.22601308082179125,0.48662344096962123,0.45198237885462555
expanding_hist,early,5,1135,0.2159514214078541,0.4264751102630804,0.3894273127753304
expanding_hist,early,10,1135,0.20053886501596768,0.36624648437957125,0.31541850220264317
expanding_hist,early,20,1135,0.18521990718780498,0.3162120165569407,0.2669603524229075
expanding_hist,later,1,3280,0.20779193887649322,0.5435454341187547,0.5161585365853658
expanding_hist,later,3,3270,0.19930984828622822,0.3889373754866437,0.354434250764526
expanding_hist,later,5,3260,0.18583768939309142,0.3279556531135211,0.294478527607362
expanding_hist,later,10,3235,0.1635870440172564,0.2559602133504922,0.22812982998454404
expanding_hist,later,20,3185,0.13111339236874173,0.19667883135774125,0.16577708006279435
expanding_extra,early,1,1135,0.23215424836479376,0.6289918579539236,0.5744493392070484
expanding_extra,early,3,1135,0.2332156470842134,0.4971589884288494,0.45198237885462555
expanding_extra,early,5,1135,0.22545868961344379,0.4392330599184792,0.3894273127753304
expanding_extra,early,10,1135,0.21431927719500538,0.38605318033923103,0.31541850220264317
expanding_extra,early,20,1135,0.1995229290068098,0.34207946995708854,0.2669603524229075
expanding_extra,later,1,3280,0.20230005622680644,0.5247023717859248,0.5161585365853658
expanding_extra,later,3,3270,0.19644966083113463,0.37622772553369427,0.354434250764526
expanding_extra,later,5,3260,0.18349359715978267,0.317425207705544,0.294478527607362
expanding_extra,later,10,3235,0.16266049432629728,0.2488844364280558,0.22812982998454404
expanding_extra,later,20,3185,0.1323651861783459,0.19136642775694843,0.16577708006279435
expanding_survival_hist,early,1,1135,0.20408270467463335,0.6115721860654039,0.5744493392070484
expanding_survival_hist,early,3,1135,0.2242977483120876,0.4880461082460991,0.45198237885462555
expanding_survival_hist,early,5,1135,0.22536818888385723,0.43047983351068775,0.3894273127753304
expanding_survival_hist,early,10,1135,0.21470678572767982,0.3814220969277786,0.31541850220264317
expanding_survival_hist,early,20,1135,0.20867793785028937,0.3474350414092122,0.2669603524229075
expanding_survival_hist,later,1,3280,0.1952088078648331,0.5215447053410659,0.5161585365853658
expanding_survival_hist,later,3,3270,0.19724758997143113,0.3833261644871712,0.354434250764526
expanding_survival_hist,later,5,3260,0.18940853510508185,0.33121166978187844,0.294478527607362
expanding_survival_hist,later,10,3235,0.1676124315184918,0.265038190179685,0.22812982998454404
expanding_survival_hist,later,20,3185,0.1368305882504245,0.21278139448393102,0.16577708006279435
expanding_survival_logit,early,1,1135,0.24306438699855035,0.5776696385341779,0.5744493392070484
expanding_survival_logit,early,3,1135,0.25044882643453115,0.43256236698185724,0.45198237885462555
expanding_survival_logit,early,5,1135,0.24267423376226438,0.36807377719955375,0.3894273127753304
expanding_survival_logit,early,10,1135,0.2250390011207498,0.29822267626714666,0.31541850220264317
expanding_survival_logit,early,20,1135,0.20937474218249869,0.24224797595540726,0.2669603524229075
expanding_survival_logit,later,1,3280,0.24352858951068285,0.5745418120911916,0.5161585365853658
expanding_survival_logit,later,3,3270,0.22900136507331675,0.42306642811078443,0.354434250764526
