origin,mode,fit_origin,n_calibration,last_calibration_maturity,n_test,constant_maps
2022-07-01,expanding,2022-07-01,0,,105,30
2022-07-01,rolling365,2022-07-01,0,,105,30
2022-07-01,local365,2022-07-01,0,,105,30
2022-07-01,isotonic,2022-07-01,0,,105,30
2022-07-01,frozen2023,2022-07-01,0,,105,30
2022-08-01,expanding,2022-08-01,5,2022-07-29,115,30
2022-08-01,rolling365,2022-08-01,5,2022-07-29,115,30
2022-08-01,local365,2022-08-01,5,2022-07-29,115,30
2022-08-01,isotonic,2022-08-01,5,2022-07-29,115,30
2022-08-01,frozen2023,2022-08-01,5,2022-07-29,115,30
2022-09-01,expanding,2022-09-01,110,2022-08-29,110,30
2022-09-01,rolling365,2022-09-01,110,2022-08-29,110,30
2022-09-01,local365,2022-09-01,110,2022-08-29,110,30
2022-09-01,isotonic,2022-09-01,110,2022-08-29,110,30
2022-09-01,frozen2023,2022-09-01,110,2022-08-29,110,30
2022-10-01,expanding,2022-10-01,220,2022-09-28,105,0
2022-10-01,rolling365,2022-10-01,220,2022-09-28,105,0
2022-10-01,local365,2022-10-01,220,2022-09-28,105,0
2022-10-01,isotonic,2022-10-01,220,2022-09-28,105,0
2022-10-01,frozen2023,2022-10-01,220,2022-09-28,105,0
2022-11-01,expanding,2022-11-01,330,2022-10-28,105,0
2022-11-01,rolling365,2022-11-01,330,2022-10-28,105,0
2022-11-01,local365,2022-11-01,330,2022-10-28,105,0
2022-11-01,isotonic,2022-11-01,330,2022-10-28,105,0
2022-11-01,frozen2023,2022-11-01,330,2022-10-28,105,0
2022-12-01,expanding,2022-12-01,430,2022-11-28,110,0
2022-12-01,rolling365,2022-12-01,430,2022-11-28,110,0
2022-12-01,local365,2022-12-01,430,2022-11-28,110,0
2022-12-01,isotonic,2022-12-01,430,2022-11-28,110,0
2022-12-01,frozen2023,2022-12-01,430,2022-11-28,110,0
2023-01-01,expanding,2023-01-01,545,2022-12-29,85,0
2023-01-01,rolling365,2023-01-01,545,2022-12-29,85,0
2023-01-01,local365,2023-01-01,545,2022-12-29,85,0
2023-01-01,isotonic,2023-01-01,545,2022-12-29,85,0
2023-01-01,frozen2023,2023-01-01,545,2022-12-29,85,0
2023-02-01,expanding,2023-02-01,625,2023-01-27,90,0
2023-02-01,rolling365,2023-02-01,625,2023-01-27,90,0
2023-02-01,local365,2023-02-01,625,2023-01-27,90,0
2023-02-01,isotonic,2023-02-01,625,2023-01-27,90,0
2023-02-01,frozen2023,2023-01-01,545,2022-12-29,90,0
2023-03-01,expanding,2023-03-01,715,2023-02-22,110,0
2023-03-01,rolling365,2023-03-01,715,2023-02-22,110,0
2023-03-01,local365,2023-03-01,715,2023-02-22,110,0
2023-03-01,isotonic,2023-03-01,715,2023-02-22,110,0
2023-03-01,frozen2023,2023-01-01,545,2022-12-29,110,0
2023-04-01,expanding,2023-04-01,825,2023-03-29,100,0
2023-04-01,rolling365,2023-04-01,825,2023-03-29,100,0
2023-04-01,local365,2023-04-01,825,2023-03-29,100,0
2023-04-01,isotonic,2023-04-01,825,2023-03-29,100,0
2023-04-01,frozen2023,2023-01-01,545,2022-12-29,100,0
2023-05-01,expanding,2023-05-01,935,2023-04-28,100,0
2023-05-01,rolling365,2023-05-01,935,2023-04-28,100,0
2023-05-01,local365,2023-05-01,935,2023-04-28,100,0
2023-05-01,isotonic,2023-05-01,935,2023-04-28,100,0
2023-05-01,frozen2023,2023-01-01,545,2022-12-29,100,0
2023-06-01,expanding,2023-06-01,1025,2023-05-29,105,0
2023-06-01,rolling365,2023-06-01,1025,2023-05-29,105,0
2023-06-01,local365,2023-06-01,1025,2023-05-29,105,0
2023-06-01,isotonic,2023-06-01,1025,2023-05-29,105,0
2023-06-01,frozen2023,2023-01-01,545,2022-12-29,105,0
2023-07-01,expanding,2023-07-01,1130,2023-06-28,105,0
2023-07-01,rolling365,2023-07-01,1130,2023-06-28,105,0
2023-07-01,local365,2023-07-01,1130,2023-06-28,105,0
2023-07-01,isotonic,2023-07-01,1130,2023-06-28,105,0
2023-07-01,frozen2023,2023-01-01,545,2022-12-29,105,0
2023-08-01,expanding,2023-08-01,1240,2023-07-28,115,0
2023-08-01,rolling365,2023-08-01,1135,2023-07-28,115,0
2023-08-01,local365,2023-08-01,1135,2023-07-28,115,0
2023-08-01,isotonic,2023-08-01,1240,2023-07-28,115,0
2023-08-01,frozen2023,2023-01-01,545,2022-12-29,115,0
2023-09-01,expanding,2023-09-01,1350,2023-08-29,105,0
2023-09-01,rolling365,2023-09-01,1130,2023-08-29,105,0
2023-09-01,local365,2023-09-01,1130,2023-08-29,105,0
2023-09-01,isotonic,2023-09-01,1350,2023-08-29,105,0
2023-09-01,frozen2023,2023-01-01,545,2022-12-29,105,0
2023-10-01,expanding,2023-10-01,1460,2023-09-28,110,0
2023-10-01,rolling365,2023-10-01,1130,2023-09-28,110,0
2023-10-01,local365,2023-10-01,1130,2023-09-28,110,0
2023-10-01,isotonic,2023-10-01,1460,2023-09-28,110,0
2023-10-01,frozen2023,2023-01-01,545,2022-12-29,110,0
2023-11-01,expanding,2023-11-01,1565,2023-10-27,105,0
2023-11-01,rolling365,2023-11-01,1130,2023-10-27,105,0
2023-11-01,local365,2023-11-01,1130,2023-10-27,105,0
2023-11-01,isotonic,2023-11-01,1565,2023-10-27,105,0
2023-11-01,frozen2023,2023-01-01,545,2022-12-29,105,0
2023-12-01,expanding,2023-12-01,1670,2023-11-28,105,0
2023-12-01,rolling365,2023-12-01,1130,2023-11-28,105,0
2023-12-01,local365,2023-12-01,1130,2023-11-28,105,0
2023-12-01,isotonic,2023-12-01,1670,2023-11-28,105,0
2023-12-01,frozen2023,2023-01-01,545,2022-12-29,105,0
2024-01-01,expanding,2024-01-01,1785,2023-12-29,85,0
2024-01-01,rolling365,2024-01-01,1135,2023-12-29,85,0
2024-01-01,local365,2024-01-01,1135,2023-12-29,85,0
2024-01-01,isotonic,2024-01-01,1785,2023-12-29,85,0
2024-01-01,frozen2023,2023-01-01,545,2022-12-29,85,0
2024-02-01,expanding,2024-02-01,1860,2024-01-29,100,0
2024-02-01,rolling365,2024-02-01,1125,2024-01-29,100,0
2024-02-01,local365,2024-02-01,1125,2024-01-29,100,0
2024-02-01,isotonic,2024-02-01,1860,2024-01-29,100,0
2024-02-01,frozen2023,2023-01-01,545,2022-12-29,100,0
2024-03-01,expanding,2024-03-01,1960,2024-02-27,100,0
2024-03-01,rolling365,2024-03-01,1130,2024-02-27,100,0
2024-03-01,local365,2024-03-01,1130,2024-02-27,100,0
2024-03-01,isotonic,2024-03-01,1960,2024-02-27,100,0
2024-03-01,frozen2023,2023-01-01,545,2022-12-29,100,0
2024-04-01,expanding,2024-04-01,2070,2024-03-29,105,0
2024-04-01,rolling365,2024-04-01,1135,2024-03-29,105,0
2024-04-01,local365,2024-04-01,1135,2024-03-29,105,0
2024-04-01,isotonic,2024-04-01,2070,2024-03-29,105,0
2024-04-01,frozen2023,2023-01-01,545,2022-12-29,105,0
2024-05-01,expanding,2024-05-01,2175,2024-04-27,100,0
2024-05-01,rolling365,2024-05-01,1140,2024-04-27,100,0
2024-05-01,local365,2024-05-01,1140,2024-04-27,100,0
2024-05-01,isotonic,2024-05-01,2175,2024-04-27,100,0
2024-05-01,frozen2023,2023-01-01,545,2022-12-29,100,0
2024-06-01,expanding,2024-06-01,2265,2024-05-29,95,0
2024-06-01,rolling365,2024-06-01,1125,2024-05-29,95,0
2024-06-01,local365,2024-06-01,1125,2024-05-29,95,0
2024-06-01,isotonic,2024-06-01,2265,2024-05-29,95,0
2024-06-01,frozen2023,2023-01-01,545,2022-12-29,95,0
2024-07-01,expanding,2024-07-01,2370,2024-06-28,115,0
2024-07-01,rolling365,2024-07-01,1130,2024-06-28,115,0
2024-07-01,local365,2024-07-01,1130,2024-06-28,115,0
2024-07-01,isotonic,2024-07-01,2370,2024-06-28,115,0
2024-07-01,frozen2023,2023-01-01,545,2022-12-29,115,0
2024-08-01,expanding,2024-08-01,2475,2024-07-29,110,0
2024-08-01,rolling365,2024-08-01,1125,2024-07-29,110,0
2024-08-01,local365,2024-08-01,1125,2024-07-29,110,0
2024-08-01,isotonic,2024-08-01,2475,2024-07-29,110,0
2024-08-01,frozen2023,2023-01-01,545,2022-12-29,110,0
2024-09-01,expanding,2024-09-01,2590,2024-08-29,105,0
2024-09-01,rolling365,2024-09-01,1125,2024-08-29,105,0
2024-09-01,local365,2024-09-01,1125,2024-08-29,105,0
2024-09-01,isotonic,2024-09-01,2590,2024-08-29,105,0
2024-09-01,frozen2023,2023-01-01,545,2022-12-29,105,0
2024-10-01,expanding,2024-10-01,2695,2024-09-27,115,0
2024-10-01,rolling365,2024-10-01,1130,2024-09-27,115,0
2024-10-01,local365,2024-10-01,1130,2024-09-27,115,0
2024-10-01,isotonic,2024-10-01,2695,2024-09-27,115,0
2024-10-01,frozen2023,2023-01-01,545,2022-12-29,115,0
2024-11-01,expanding,2024-11-01,2805,2024-10-29,105,0
2024-11-01,rolling365,2024-11-01,1125,2024-10-29,105,0
2024-11-01,local365,2024-11-01,1125,2024-10-29,105,0
2024-11-01,isotonic,2024-11-01,2805,2024-10-29,105,0
2024-11-01,frozen2023,2023-01-01,545,2022-12-29,105,0
2024-12-01,expanding,2024-12-01,2915,2024-11-28,105,0
2024-12-01,rolling365,2024-12-01,1130,2024-11-28,105,0
2024-12-01,local365,2024-12-01,1130,2024-11-28,105,0
2024-12-01,isotonic,2024-12-01,2915,2024-11-28,105,0
2024-12-01,frozen2023,2023-01-01,545,2022-12-29,105,0
2025-01-01,expanding,2025-01-01,3025,2024-12-28,85,0
2025-01-01,rolling365,2025-01-01,1140,2024-12-28,85,0
2025-01-01,local365,2025-01-01,1140,2024-12-28,85,0
2025-01-01,isotonic,2025-01-01,3025,2024-12-28,85,0
2025-01-01,frozen2023,2023-01-01,545,2022-12-29,85,0
2025-02-01,expanding,2025-02-01,3100,2025-01-29,100,0
2025-02-01,rolling365,2025-02-01,1125,2025-01-29,100,0
2025-02-01,local365,2025-02-01,1125,2025-01-29,100,0
2025-02-01,isotonic,2025-02-01,3100,2025-01-29,100,0
2025-02-01,frozen2023,2023-01-01,545,2022-12-29,100,0
2025-03-01,expanding,2025-03-01,3200,2025-02-26,105,0
2025-03-01,rolling365,2025-03-01,1130,2025-02-26,105,0
2025-03-01,local365,2025-03-01,1130,2025-02-26,105,0
2025-03-01,isotonic,2025-03-01,3200,2025-02-26,105,0
2025-03-01,frozen2023,2023-01-01,545,2022-12-29,105,0
2025-04-01,expanding,2025-04-01,3310,2025-03-28,110,0
2025-04-01,rolling365,2025-04-01,1140,2025-03-28,110,0
2025-04-01,local365,2025-04-01,1140,2025-03-28,110,0
2025-04-01,isotonic,2025-04-01,3310,2025-03-28,110,0
2025-04-01,frozen2023,2023-01-01,545,2022-12-29,110,0
2025-05-01,expanding,2025-05-01,3415,2025-04-28,90,0
2025-05-01,rolling365,2025-05-01,1140,2025-04-28,90,0
2025-05-01,local365,2025-05-01,1140,2025-04-28,90,0
2025-05-01,isotonic,2025-05-01,3415,2025-04-28,90,0
2025-05-01,frozen2023,2023-01-01,545,2022-12-29,90,0
2025-06-01,expanding,2025-06-01,3510,2025-05-29,95,0
2025-06-01,rolling365,2025-06-01,1135,2025-05-29,95,0
2025-06-01,local365,2025-06-01,1135,2025-05-29,95,0
2025-06-01,isotonic,2025-06-01,3510,2025-05-29,95,0
2025-06-01,frozen2023,2023-01-01,545,2022-12-29,95,0
2025-07-01,expanding,2025-07-01,3605,2025-06-27,115,0
2025-07-01,rolling365,2025-07-01,1135,2025-06-27,115,0
2025-07-01,local365,2025-07-01,1135,2025-06-27,115,0
2025-07-01,isotonic,2025-07-01,3605,2025-06-27,115,0
2025-07-01,frozen2023,2023-01-01,545,2022-12-29,115,0
2025-08-01,expanding,2025-08-01,3715,2025-07-29,105,0
2025-08-01,rolling365,2025-08-01,1130,2025-07-29,105,0
2025-08-01,local365,2025-08-01,1130,2025-07-29,105,0
2025-08-01,isotonic,2025-08-01,3715,2025-07-29,105,0
