candidate,min_lift,mean_lift,min_rate,max_rate,min_forward,min_symmetric,cadence_penalty,selection_value
cny_hist50_urgent_cap2,1.5032617719706234,1.5524711905392805,1.334398296059638,1.3831877729257642,48.198912070070506,19.677498417883786,0.0,1.5032617719706234
cny50_hazard_hist_h5_urgent_cap2,1.4776399147598245,1.5506139382223298,1.326943556975506,1.3679039301310043,46.93280122312076,21.140797167380946,0.0,1.4776399147598245
cal_expanding_cny_urgent_cap2,1.4982802708902716,1.5606835647552642,1.3865814696485623,1.3924731182795698,45.53771232594094,20.125778464842416,0.0,1.4982802708902716
cal_expanding_hist_urgent_cap2,1.4816698865898985,1.5787598179434281,1.2747603833865815,1.3473118279569891,47.70613493166089,17.482318322844524,0.0,1.4816698865898985
cal_expanding_extra_urgent_cap2,1.542597458266561,1.6012265840332696,1.2523961661341854,1.3120340788072418,54.375256219018084,18.647918391957667,0.0,1.542597458266561
cal_expanding_survival_hist_urgent_cap2,1.482111089366523,1.543100189633346,1.2673056443024495,1.3373362445414847,46.370663409839594,17.85014455087821,0.0,1.482111089366523
cal_expanding_survival_logit_urgent_cap2,1.3327105903627448,1.3750181572296019,1.0851528384279476,1.1580063626723223,27.846053337815636,16.111683150725877,0.0,1.3327105903627448
cal_expanding_survival_local_urgent_cap2,1.332595165211298,1.4008684553054995,0.9399563318777292,1.0958466453674123,17.36111898938016,16.05034251007686,0.0600436681222708,1.2125078289667564
equal_expanding_h5_urgent_cap2,1.5226841656313654,1.588038328316474,1.3045793397231098,1.3397849462365592,52.24185083675613,20.315733918708023,0.0,1.5226841656313654
equal_expanding_mean_urgent_cap2,1.5273556330346059,1.6004398008140814,1.2896698615548456,1.3397849462365592,52.56625976950174,20.425658511669237,0.0,1.5273556330346059
cny50_probability_expanding_urgent_cap2,1.538073986292234,1.5827175122466393,1.356762513312034,1.3924731182795698,51.33944978956482,20.639805139982688,0.0,1.538073986292234
cal_rolling365_cny_urgent_cap2,1.5047620113721079,1.5370139832334395,1.4014909478168265,1.40752688172043,39.667712159404445,21.368255987172827,0.0,1.5047620113721079
cal_rolling365_hist_urgent_cap2,1.4900720675349248,1.5736985138831678,1.2822151224707135,1.3397849462365592,48.999782677182225,18.635677216077912,0.0,1.4900720675349248
cal_rolling365_extra_urgent_cap2,1.5392570749260777,1.6088168681917492,1.2609170305676856,1.3045793397231098,53.405123148239774,17.840624095938203,0.0,1.5392570749260777
cal_rolling365_survival_hist_urgent_cap2,1.4539050073144015,1.5540054253807114,1.247083775185578,1.3021505376344085,45.006882565626015,17.229921932332733,0.0,1.4539050073144015
cal_rolling365_survival_logit_urgent_cap2,1.2309599898356218,1.298689669111368,1.0316593886462881,1.1033013844515442,15.028379013599709,14.755298069862965,0.0,1.2309599898356218
cal_rolling365_survival_local_urgent_cap2,1.174175162118939,1.2582410158312656,0.9427359490986214,1.0511182108626198,-12.369217034135676,13.472828476434161,0.05726405090137865,1.0596470603161816
equal_rolling365_h5_urgent_cap2,1.535625659341557,1.5864036758503395,1.2673056443024495,1.324731182795699,52.134143432452994,19.355006482060308,0.0,1.535625659341557
equal_rolling365_mean_urgent_cap2,1.5288415990403819,1.5893510338937986,1.2822151224707135,1.3397849462365592,52.40987861206218,19.509258551568095,0.0,1.5288415990403819
cny50_probability_rolling365_urgent_cap2,1.5324653562562756,1.5863443440171487,1.34185303514377,1.3548387096774193,50.336638514293604,20.68406036649883,0.0,1.5324653562562756
cal_local365_cny_urgent_cap2,1.5090806775487688,1.543232560200869,1.3865814696485623,1.4225806451612903,39.22367716230716,21.302959109847077,0.0,1.5090806775487688
cal_local365_hist_urgent_cap2,1.4839185030675397,1.5576017080667515,1.2747603833865815,1.3473118279569891,48.51838767073739,17.956829896516982,0.0,1.4839185030675397
