quarter_origin,candidate,window,ridge,cutoff_ord,eligible_feedback_batches,selected_feedback_batches,training_rows,latest_feedback_publication_date,latest_feedback_maturity_ord,weight_identity,weight_all,weight_recent2y,weight_sum,objective,query_rows
2023-01-01,qstack_w060_r000,60,0.0,738519,0,0,0,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,,280
2023-01-01,qstack_w060_r001,60,0.01,738519,0,0,0,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,,280
2023-01-01,qstack_w060_r010,60,0.1,738519,0,0,0,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,,280
2023-01-01,qstack_w060_r100,60,1.0,738519,0,0,0,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,,280
2023-01-01,qstack_w125_r000,125,0.0,738519,0,0,0,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,,280
2023-01-01,qstack_w125_r001,125,0.01,738519,0,0,0,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,,280
2023-01-01,qstack_w125_r010,125,0.1,738519,0,0,0,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,,280
2023-01-01,qstack_w125_r100,125,1.0,738519,0,0,0,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,,280
2023-01-01,qstack_w250_r000,250,0.0,738519,0,0,0,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,,280
2023-01-01,qstack_w250_r001,250,0.01,738519,0,0,0,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,,280
2023-01-01,qstack_w250_r010,250,0.1,738519,0,0,0,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,,280
2023-01-01,qstack_w250_r100,250,1.0,738519,0,0,0,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,,280
2023-01-01,qstack_wexp_r000,expanding,0.0,738519,0,0,0,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,,280
2023-01-01,qstack_wexp_r001,expanding,0.01,738519,0,0,0,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,,280
2023-01-01,qstack_wexp_r010,expanding,0.1,738519,0,0,0,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,,280
2023-01-01,qstack_wexp_r100,expanding,1.0,738519,0,0,0,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,,280
2023-04-01,qstack_w060_r000,60,0.0,738609,34,34,170,2023-02-28,738608.0,0.985848742324298,0.0,0.014151257675702038,1.0,0.6930979666305457,305
2023-04-01,qstack_w060_r001,60,0.01,738609,34,34,170,2023-02-28,738608.0,0.9493742857455817,0.0,0.05062571425441826,1.0,0.6991309030380217,305
2023-04-01,qstack_w060_r010,60,0.1,738609,34,34,170,2023-02-28,738608.0,0.7646626748182973,0.043595065349021696,0.191742259832681,1.0,0.7356440475138775,305
2023-04-01,qstack_w060_r100,60,1.0,738609,34,34,170,2023-02-28,738608.0,0.4541112148524326,0.2600856270651325,0.2858031580824349,1.0,0.8046317641969736,305
2023-04-01,qstack_w125_r000,125,0.0,738609,34,34,170,2023-02-28,738608.0,0.985848742324298,0.0,0.014151257675702038,1.0,0.6930979666305457,305
2023-04-01,qstack_w125_r001,125,0.01,738609,34,34,170,2023-02-28,738608.0,0.9493742857455817,0.0,0.05062571425441826,1.0,0.6991309030380217,305
2023-04-01,qstack_w125_r010,125,0.1,738609,34,34,170,2023-02-28,738608.0,0.7646626748182973,0.043595065349021696,0.191742259832681,1.0,0.7356440475138775,305
2023-04-01,qstack_w125_r100,125,1.0,738609,34,34,170,2023-02-28,738608.0,0.4541112148524326,0.2600856270651325,0.2858031580824349,1.0,0.8046317641969736,305
2023-04-01,qstack_w250_r000,250,0.0,738609,34,34,170,2023-02-28,738608.0,0.985848742324298,0.0,0.014151257675702038,1.0,0.6930979666305457,305
2023-04-01,qstack_w250_r001,250,0.01,738609,34,34,170,2023-02-28,738608.0,0.9493742857455817,0.0,0.05062571425441826,1.0,0.6991309030380217,305
