date,currency,router_equal_logit,router_equal_hist,router_equal_tree,router_tail_logit,router_tail_hist,router_tail_tree,router_equal_logit_stale20
2011-09-22,TJS,,,,,,,
2011-09-23,TJS,,,,,,,
2011-09-24,TJS,,,,,,,
2011-09-27,TJS,,,,,,,
2011-09-28,TJS,,,,,,,
2011-09-29,TJS,,,,,,,
2011-09-30,TJS,,,,,,,
2011-10-01,TJS,,,,,,,
2011-10-04,TJS,,,,,,,
2011-10-05,TJS,,,,,,,
2011-10-06,TJS,,,,,,,
2011-10-07,TJS,,,,,,,
2011-10-08,TJS,,,,,,,
2011-10-11,TJS,,,,,,,
2011-10-12,TJS,,,,,,,
2011-10-13,TJS,,,,,,,
2011-10-14,TJS,,,,,,,
2011-10-15,TJS,,,,,,,
2011-10-18,TJS,,,,,,,
2011-10-19,TJS,,,,,,,
2011-10-20,TJS,,,,,,,
2011-10-21,TJS,,,,,,,
2011-10-22,TJS,,,,,,,
2011-10-25,TJS,,,,,,,
2011-10-26,TJS,,,,,,,
2011-10-27,TJS,,,,,,,
2011-10-28,TJS,,,,,,,
2011-10-29,TJS,,,,,,,
2011-11-01,TJS,,,,,,,
2011-11-02,TJS,,,,,,,
2011-11-03,TJS,,,,,,,
2011-11-04,TJS,,,,,,,
2011-11-08,TJS,,,,,,,
2011-11-09,TJS,,,,,,,
2011-11-10,TJS,,,,,,,
2011-11-11,TJS,,,,,,,
2011-11-12,TJS,,,,,,,
2011-11-15,TJS,,,,,,,
2011-11-16,TJS,,,,,,,
2011-11-17,TJS,,,,,,,
2011-11-18,TJS,,,,,,,
2011-11-19,TJS,,,,,,,
2011-11-22,TJS,,,,,,,
2011-11-23,TJS,,,,,,,
2011-11-24,TJS,,,,,,,
2011-11-25,TJS,,,,,,,
2011-11-26,TJS,,,,,,,
2011-11-29,TJS,,,,,,,
2011-11-30,TJS,,,,,,,
2011-12-01,TJS,,,,,,,
2011-12-02,TJS,,,,,,,
2011-12-03,TJS,,,,,,,
2011-12-06,TJS,,,,,,,
2011-12-07,TJS,,,,,,,
2011-12-08,TJS,,,,,,,
2011-12-09,TJS,,,,,,,
2011-12-10,TJS,,,,,,,
2011-12-13,TJS,,,,,,,
2011-12-14,TJS,,,,,,,
2011-12-15,TJS,,,,,,,
2011-12-16,TJS,,,,,,,
2011-12-17,TJS,,,,,,,
2011-12-20,TJS,,,,,,,
2011-12-21,TJS,,,,,,,
2011-12-22,TJS,,,,,,,
2011-12-23,TJS,,,,,,,
2011-12-24,TJS,,,,,,,
2011-12-27,TJS,,,,,,,
2011-12-28,TJS,,,,,,,
2011-12-29,TJS,,,,,,,
2011-12-30,TJS,,,,,,,
2011-12-31,TJS,,,,,,,
2012-01-11,TJS,,,,,,,
2012-01-12,TJS,,,,,,,
2012-01-13,TJS,,,,,,,
2012-01-14,TJS,,,,,,,
2012-01-17,TJS,,,,,,,
2012-01-18,TJS,,,,,,,
2012-01-19,TJS,,,,,,,
2012-01-20,TJS,,,,,,,
2012-01-21,TJS,,,,,,,
2012-01-24,TJS,,,,,,,
2012-01-25,TJS,,,,,,,
2012-01-26,TJS,,,,,,,
2012-01-27,TJS,,,,,,,
2012-01-28,TJS,,,,,,,
2012-01-31,TJS,,,,,,,
2012-02-01,TJS,,,,,,,
2012-02-02,TJS,,,,,,,
2012-02-03,TJS,,,,,,,
2012-02-04,TJS,,,,,,,
2012-02-07,TJS,,,,,,,
2012-02-08,TJS,,,,,,,
2012-02-09,TJS,,,,,,,
2012-02-10,TJS,,,,,,,
2012-02-11,TJS,,,,,,,
2012-02-14,TJS,,,,,,,
2012-02-15,TJS,,,,,,,
2012-02-16,TJS,,,,,,,
2012-02-17,TJS,,,,,,,
2012-02-18,TJS,,,,,,,
2012-02-21,TJS,,,,,,,
2012-02-22,TJS,,,,,,,
2012-02-23,TJS,,,,,,,
2012-02-25,TJS,,,,,,,
2012-02-28,TJS,,,,,,,
2012-02-29,TJS,,,,,,,
2012-03-01,TJS,,,,,,,
2012-03-02,TJS,,,,,,,
2012-03-03,TJS,,,,,,,
2012-03-06,TJS,,,,,,,
2012-03-07,TJS,,,,,,,
2012-03-08,TJS,,,,,,,
2012-03-12,TJS,,,,,,,
2012-03-13,TJS,,,,,,,
2012-03-14,TJS,,,,,,,
2012-03-15,TJS,,,,,,,
2012-03-16,TJS,,,,,,,
2012-03-17,TJS,,,,,,,
2012-03-20,TJS,,,,,,,
2012-03-21,TJS,,,,,,,
2012-03-22,TJS,,,,,,,
2012-03-23,TJS,,,,,,,
2012-03-24,TJS,,,,,,,
2012-03-27,TJS,,,,,,,
2012-03-28,TJS,,,,,,,
2012-03-29,TJS,,,,,,,
2012-03-30,TJS,,,,,,,
2012-03-31,TJS,,,,,,,
2012-04-03,TJS,,,,,,,
2012-04-04,TJS,,,,,,,
2012-04-05,TJS,,,,,,,
2012-04-06,TJS,,,,,,,
2012-04-07,TJS,,,,,,,
2012-04-10,TJS,,,,,,,
2012-04-11,TJS,,,,,,,
2012-04-12,TJS,,,,,,,
2012-04-13,TJS,,,,,,,
2012-04-14,TJS,,,,,,,
2012-04-17,TJS,,,,,,,
2012-04-18,TJS,,,,,,,
2012-04-19,TJS,,,,,,,
2012-04-20,TJS,,,,,,,
2012-04-21,TJS,,,,,,,
2012-04-24,TJS,,,,,,,
2012-04-25,TJS,,,,,,,
2012-04-26,TJS,,,,,,,
2012-04-27,TJS,,,,,,,
2012-04-28,TJS,,,,,,,
2012-04-29,TJS,,,,,,,
2012-05-03,TJS,,,,,,,
2012-05-04,TJS,,,,,,,
2012-05-05,TJS,,,,,,,
2012-05-06,TJS,,,,,,,
2012-05-11,TJS,,,,,,,
2012-05-12,TJS,,,,,,,
2012-05-13,TJS,,,,,,,
2012-05-15,TJS,,,,,,,
2012-05-16,TJS,,,,,,,
2012-05-17,TJS,,,,,,,
2012-05-18,TJS,,,,,,,
2012-05-19,TJS,,,,,,,
2012-05-22,TJS,,,,,,,
2012-05-23,TJS,,,,,,,
2012-05-24,TJS,,,,,,,
2012-05-25,TJS,,,,,,,
2012-05-26,TJS,,,,,,,
2012-05-29,TJS,,,,,,,
2012-05-30,TJS,,,,,,,
2012-05-31,TJS,,,,,,,
2012-06-01,TJS,,,,,,,
2012-06-02,TJS,,,,,,,
2012-06-05,TJS,,,,,,,
2012-06-06,TJS,,,,,,,
2012-06-07,TJS,,,,,,,
2012-06-08,TJS,,,,,,,
2012-06-09,TJS,,,,,,,
2012-06-10,TJS,,,,,,,
2012-06-14,TJS,,,,,,,
2012-06-15,TJS,,,,,,,
2012-06-16,TJS,,,,,,,
2012-06-19,TJS,,,,,,,
2012-06-20,TJS,,,,,,,
2012-06-21,TJS,,,,,,,
2012-06-22,TJS,,,,,,,
2012-06-23,TJS,,,,,,,
2012-06-26,TJS,,,,,,,
2012-06-27,TJS,,,,,,,
2012-06-28,TJS,,,,,,,
2012-06-29,TJS,,,,,,,
2012-06-30,TJS,,,,,,,
2012-07-03,TJS,,,,,,,
2012-07-04,TJS,,,,,,,
2012-07-05,TJS,,,,,,,
2012-07-06,TJS,,,,,,,
2012-07-07,TJS,,,,,,,
2012-07-10,TJS,,,,,,,
2012-07-11,TJS,,,,,,,
2012-07-12,TJS,,,,,,,
2012-07-13,TJS,,,,,,,
2012-07-14,TJS,,,,,,,
2012-07-17,TJS,,,,,,,
2012-07-18,TJS,,,,,,,
2012-07-19,TJS,,,,,,,
2012-07-20,TJS,,,,,,,
2012-07-21,TJS,,,,,,,
2012-07-24,TJS,,,,,,,
2012-07-25,TJS,,,,,,,
2012-07-26,TJS,,,,,,,
