candidate,horizon_lift_min,horizon_lift_mean,symmetric_benefit_min,future_benefit_min
incumbent,1.6230036627345803,1.8545481119686134,18.007536172632168,70.28340285633575
incumbent50_regime50,1.6206025537558901,1.9017552803002218,17.0836056266678,67.30591714084073
regime,1.585846358235881,1.8875670486445322,17.215437527892366,63.270326645417626
router_equal_hist_hard,1.5998922039820143,1.8922071718636602,18.006596239142226,66.5878808275238
router_equal_hist_soft,1.6049363143563777,1.8833581319778947,16.70712492074934,66.45785599970984
router_equal_logit_hard,1.6088104920091495,1.8952084317895597,18.029453663205516,66.4264968007591
router_equal_logit_soft,1.617281920697041,1.884525514314372,16.979917198577365,67.21022018577354
router_equal_logit_soft_stale20,1.592541216067946,1.866257499126742,16.418619166488963,64.84294708418882
router_equal_tree_hard,1.6258469304847651,1.913612807699295,18.835387397112957,68.94310045713797
router_equal_tree_soft,1.6109257944536166,1.8829144619647686,17.083111673403273,67.20781666691579
router_tail_hist_hard,1.6196498120807044,1.9044993995683448,18.374697346341986,68.04543952758914
router_tail_hist_soft,1.6078452366556895,1.889854315696147,16.74748309756914,66.56737862050961
router_tail_logit_hard,1.624837414646506,1.9245460965194963,18.650957377190192,68.4673826289626
router_tail_logit_soft,1.6157218399282356,1.896501005085058,16.97301867210305,67.16207131515615
router_tail_tree_hard,1.6090257566134873,1.894540336913495,16.574363297839213,66.60404552255784
router_tail_tree_soft,1.6143551380045917,1.8926295197128993,16.79785320879058,67.19839063151494
