feature,importance,is_context
broad_chf_ret_10,0.0025099217917684364,False
moex_cnyrub_tom_log_trades_change_20,0.0025004622399276027,False
broad_exusd_ret_1_dispersion,0.0024774397166699956,False
broad_aud_vol_20,0.002472833014199934,False
eurusd_ret_20,0.0024639874696990856,False
context_rgbi_yield,0.0024616343833775323,True
broad_sek_ret_20,0.0024504944873697805,False
broad_huf_ret_10,0.0024399803447031155,False
context_rgbi_vol_60,0.0024389912356029254,True
context_gldrub_tom_activity_change_20,0.0024336488498810423,True
context_rgbi_vol_20,0.002429668496257354,True
broad_sgd_ret_1,0.002410183998205926,False
broad_dkk_ret_20,0.002382955015345295,False
broad_krw_ret_2,0.0023732327395490868,False
context_rgbi_ret_10,0.0023651682952904587,True
broad_huf_vol_20,0.0023642630412425386,False
broad_krw_ret_1,0.0023588411491307715,False
broad_gbp_vol_20,0.002358357086215143,False
broad_czk_vol_20,0.002347944628968449,False
dow_cos,0.0023432777413372493,False
moex_cnyrub_tom_log_trades_change_5,0.002330590586243933,False
broad_krw_ret_10,0.002305206332856787,False
context_rusfar_level_z_20,0.0022946603599407955,True
broad_jpy_vol_20,0.002293386075565056,False
range_pos_60,0.0022928998003817064,False
broad_chf_ret_60,0.0022919783443909143,False
broad_cny_ret_1,0.002260980154013965,False
broad_cad_ret_1,0.00225831154885105,False
context_rusfar_log_activity,0.002256320336013922,True
ruonia_volume,0.0022414853858672285,False
broad_dkk_ret_60,0.0022282258541672455,False
broad_sek_ret_1,0.0022266902265894797,False
broad_inr_vol_60,0.0022247782414633152,False
pct_range_180,0.0022183867719527484,False
context_gldrub_tom_vol_5,0.0022157258278936273,True
broad_exusd_ret_10_mean,0.002210814162150723,False
context_rusfar_vol_5,0.0022056051069119444,True
broad_try_ret_10,0.0021907098473331822,False
broad_exusd_ret_1_positive_breadth,0.0021774724840933147,False
broad_zar_ret_10,0.002176508418950181,False
broad_eur_ret_10,0.0021735492516614715,False
broad_brl_ret_20,0.002168069948559879,False
broad_cny_ret_20,0.002167650377669465,False
bars_since_min_30,0.002162366524325684,False
context_rgbi_ret_5,0.002148129485721411,True
broad_factor_ret_5_positive_breadth,0.0021466045469439995,False
broad_factor_ret_10_dispersion,0.002142207840127438,False
broad_usd_ret_20,0.002140480191478689,False
broad_exusd_ret_5_mean,0.0021404098242975437,False
broad_exusd_ret_5_median,0.002135992507186727,False
broad_inr_ret_10,0.0021084101236292195,False
broad_gbp_ret_5,0.0020943556565672337,False
broad_zar_ret_60,0.0020846879394975314,False
broad_aud_vol_60,0.002078889295162977,False
broad_factor_ret_1_dispersion,0.002076024480455878,False
context_rusfar_vol_60,0.0020746494871742094,True
broad_inr_ret_5,0.002070666249040007,False
broad_gbp_ret_10,0.002068816124073937,False
broad_dkk_ret_5,0.0020674191291968763,False
broad_cny_ret_10,0.002066114267164606,False
broad_factor_ret_1_mean,0.002045324283240024,False
context_rgbi_ret_20,0.0020415729160652824,True
broad_jpy_ret_1,0.002028842946435735,False
broad_cad_ret_60,0.002026524596560203,False
broad_dkk_vol_20,0.002024590452582542,False
context_gldrub_tom_vol_60,0.0020161359515412274,True
context_rusfar_level_z_120,0.002004284366298846,True
broad_huf_vol_60,0.001998535673746704,False
broad_jpy_vol_60,0.0019982697962774693,False
broad_aud_ret_2,0.0019878890915442987,False
broad_factor_ret_10_median,0.0019811618255371286,False
broad_try_ret_1,0.0019570433433464965,False
ruonia_trades,0.001947176555224647,False
broad_usd_ret_5,0.0019370179330365528,False
broad_usd_ret_60,0.0019218536640337167,False
broad_brl_ret_60,0.001906379956482246,False
context_imoex_ret_20,0.001898886901157891,True
raw_vol_20,0.0018957966391939594,False
broad_factor_ret_5_dispersion,0.0018951338337360407,False
context_rusfar_activity_change_20,0.0018842903685899837,True
broad_pln_ret_60,0.0018817988910132507,False
context_imoex_vol_60,0.0018810737133944694,True
broad_exusd_ret_2_median,0.0018704202122814411,False
broad_dkk_ret_10,0.001866784883837339,False
broad_chf_ret_5,0.001860198149997854,False
rank_level_60,0.0018589243893746715,False
broad_gbp_ret_60,0.0018518035205006887,False
