stage,model,slice,group,n,positive_rate,mean_prediction,brier,logloss,ece,baseline_brier,baseline_logloss,baseline_ece,brier_delta,logloss_delta,auc,average_precision,auc_delta_identity,ece_delta_identity,brier_delta_t25,logloss_delta_t25,auc_delta_t25,ece_delta_t25
screen,identity_early,ALL,ALL,1130,0.2663716814159292,0.4521291186161866,0.22651243761774856,0.6431333658031961,0.18575743720025736,0.22651243761774856,0.6431333658031961,0.18575743720025736,0.0,0.0,0.5884025504049628,0.31562321732167953,-1.1102230246251565e-16,0.0,0.0,0.0,-1.1102230246251565e-16,0.0
screen,identity_early,currency,AMD,226,0.3185840707964602,0.4819815701985921,0.24322464553312528,0.6788983762402373,0.16339749940213208,0.24322464553312528,0.6788983762402373,0.16339749940213208,0.0,0.0,0.5671897546897546,0.3578942280250717,-1.1102230246251565e-16,0.0,0.0,0.0,-1.1102230246251565e-16,0.0
screen,identity_early,currency,KGS,226,0.27876106194690264,0.4473615871718947,0.22969491000467998,0.6494866366391218,0.1686005252249921,0.22969491000467998,0.6494866366391218,0.1686005252249921,0.0,0.0,0.5658291946635505,0.3155772836360677,0.0,0.0,0.0,0.0,0.0,0.0
screen,identity_early,currency,KZT,226,0.23893805309734514,0.44857346293531336,0.2227577343728962,0.6355699384397704,0.20963540983796836,0.2227577343728962,0.6355699384397704,0.20963540983796836,0.0,0.0,0.5859711455641687,0.29317594436534344,-1.1102230246251565e-16,0.0,0.0,0.0,-1.1102230246251565e-16,0.0
screen,identity_early,currency,TJS,226,0.252212389380531,0.4317130012909588,0.21496484843016103,0.6180907603010117,0.17950061191042788,0.21496484843016103,0.6180907603010117,0.17950061191042788,0.0,0.0,0.6013702896293989,0.3069768134369241,-1.1102230246251565e-16,0.0,0.0,0.0,-1.1102230246251565e-16,0.0
screen,identity_early,currency,UZS,226,0.24336283185840707,0.45101597148417355,0.2219200497478805,0.6336211173958399,0.2076531396257665,0.2219200497478805,0.6336211173958399,0.2076531396257665,0.0,0.0,0.603030303030303,0.3117587008056903,0.0,0.0,0.0,0.0,0.0,0.0
screen,identity_early,year,2023,1130,0.2663716814159292,0.4521291186161866,0.22651243761774856,0.6431333658031961,0.18575743720025736,0.22651243761774856,0.6431333658031961,0.18575743720025736,0.0,0.0,0.5884025504049628,0.31562321732167953,-1.1102230246251565e-16,0.0,0.0,0.0,-1.1102230246251565e-16,0.0
screen,identity_early,currency_year,AMD:2023,226,0.3185840707964602,0.4819815701985921,0.24322464553312528,0.6788983762402373,0.16339749940213208,0.24322464553312528,0.6788983762402373,0.16339749940213208,0.0,0.0,0.5671897546897546,0.3578942280250717,-1.1102230246251565e-16,0.0,0.0,0.0,-1.1102230246251565e-16,0.0
screen,identity_early,currency_year,KGS:2023,226,0.27876106194690264,0.4473615871718947,0.22969491000467998,0.6494866366391218,0.1686005252249921,0.22969491000467998,0.6494866366391218,0.1686005252249921,0.0,0.0,0.5658291946635505,0.3155772836360677,0.0,0.0,0.0,0.0,0.0,0.0
screen,identity_early,currency_year,KZT:2023,226,0.23893805309734514,0.44857346293531336,0.2227577343728962,0.6355699384397704,0.20963540983796836,0.2227577343728962,0.6355699384397704,0.20963540983796836,0.0,0.0,0.5859711455641687,0.29317594436534344,-1.1102230246251565e-16,0.0,0.0,0.0,-1.1102230246251565e-16,0.0
