comparison,metric,block_dates,mean_delta,ci_low,ci_high
identity,brier,20,-0.008374209652575544,-0.01456907692503591,-0.003245384127028979
identity,logloss,20,-0.029677962644656858,-0.05180774119868762,-0.01202984952009938
identity,auc,20,0.2533935216994283,0.117101078502545,0.4000773299391729
identity,brier,50,-0.008232976651324742,-0.015495137128960335,-0.0021791809561051106
identity,logloss,50,-0.029196244928753116,-0.05593784426486688,-0.00781322264787772
identity,auc,50,0.24738611618013606,0.08462441694543453,0.40523019586715986
t25,brier,20,-0.003685789328885642,-0.01546772869631043,0.005635420284768819
t25,logloss,20,-0.02153568725402381,-0.07562841764767121,0.021882793788586253
t25,auc,20,0.07984662869420785,-0.05144042293775786,0.19674714516134567
t25,brier,50,-0.0037519606629451106,-0.016581778538053142,0.005850553723511448
t25,logloss,50,-0.02184041991560349,-0.07730048707012406,0.021849722734819714
t25,auc,50,0.07347757426301506,-0.021738231125604163,0.17021114248704933
