hypothesis,control,challenger,control_lift,challenger_lift,lift_difference,lift_difference_ci_low,lift_difference_ci_high,p_challenger_not_better,control_benefit_bps,challenger_benefit_bps,benefit_difference_bps,benefit_difference_ci_low,benefit_difference_ci_high,circular_p_unadjusted,p_holm_two_hypotheses
waveform_freshness,wave_extra_stale20,wave_extra,1.2483745850822563,1.827037309549019,0.5786627244667628,0.2848722351614976,0.9367761508103352,0.0004998750312421895,24.530087731922436,67.13872603117429,42.60863829925185,16.385527152528656,71.335794939776,0.00024993751562109475,0.000999750062484379
primary_increment,logit50_extra50,primary75_wave_logit25,1.8463221702729151,1.8597875012346377,0.013465330961722533,-0.08559653753831965,0.12623190029308642,0.34941264683829043,71.28443344868988,75.79076132620888,4.5063278775189985,-1.8784164193097694,11.149746951308238,0.35616095976005996,0.34941264683829043
