candidate,quarter,n_train,n_test,last_resolved,n_features
logit,2024-01-01,2055,285,2023-12-30,58
logit,2024-04-01,2340,300,2024-03-30,58
logit,2024-07-01,2640,325,2024-06-29,58
logit,2024-10-01,2965,330,2024-09-28,58
logit,2025-01-01,3295,285,2024-12-29,58
logit,2025-04-01,3580,295,2025-03-29,58
logit,2025-07-01,3875,330,2025-06-28,58
logit,2025-10-01,4205,325,2025-09-30,58
logit,2026-01-01,4530,270,2025-12-31,58
logit,2026-04-01,4800,310,2026-03-31,58
logit,2026-07-01,5110,205,2026-06-30,58
logit_stale20,2024-01-01,2055,285,2023-12-30,58
logit_stale20,2024-04-01,2340,300,2024-03-30,58
logit_stale20,2024-07-01,2640,325,2024-06-29,58
logit_stale20,2024-10-01,2965,330,2024-09-28,58
logit_stale20,2025-01-01,3295,285,2024-12-29,58
logit_stale20,2025-04-01,3580,295,2025-03-29,58
logit_stale20,2025-07-01,3875,330,2025-06-28,58
logit_stale20,2025-10-01,4205,325,2025-09-30,58
logit_stale20,2026-01-01,4530,270,2025-12-31,58
logit_stale20,2026-04-01,4800,310,2026-03-31,58
logit_stale20,2026-07-01,5110,205,2026-06-30,58
hist,2024-01-01,2055,285,2023-12-30,58
hist,2024-04-01,2340,300,2024-03-30,58
hist,2024-07-01,2640,325,2024-06-29,58
hist,2024-10-01,2965,330,2024-09-28,58
hist,2025-01-01,3295,285,2024-12-29,58
hist,2025-04-01,3580,295,2025-03-29,58
hist,2025-07-01,3875,330,2025-06-28,58
hist,2025-10-01,4205,325,2025-09-30,58
hist,2026-01-01,4530,270,2025-12-31,58
hist,2026-04-01,4800,310,2026-03-31,58
hist,2026-07-01,5110,205,2026-06-30,58
hist_stale20,2024-01-01,2055,285,2023-12-30,58
hist_stale20,2024-04-01,2340,300,2024-03-30,58
hist_stale20,2024-07-01,2640,325,2024-06-29,58
hist_stale20,2024-10-01,2965,330,2024-09-28,58
hist_stale20,2025-01-01,3295,285,2024-12-29,58
hist_stale20,2025-04-01,3580,295,2025-03-29,58
hist_stale20,2025-07-01,3875,330,2025-06-28,58
hist_stale20,2025-10-01,4205,325,2025-09-30,58
hist_stale20,2026-01-01,4530,270,2025-12-31,58
hist_stale20,2026-04-01,4800,310,2026-03-31,58
hist_stale20,2026-07-01,5110,205,2026-06-30,58
extra,2024-01-01,2055,285,2023-12-30,58
extra,2024-04-01,2340,300,2024-03-30,58
extra,2024-07-01,2640,325,2024-06-29,58
extra,2024-10-01,2965,330,2024-09-28,58
extra,2025-01-01,3295,285,2024-12-29,58
extra,2025-04-01,3580,295,2025-03-29,58
extra,2025-07-01,3875,330,2025-06-28,58
extra,2025-10-01,4205,325,2025-09-30,58
extra,2026-01-01,4530,270,2025-12-31,58
extra,2026-04-01,4800,310,2026-03-31,58
extra,2026-07-01,5110,205,2026-06-30,58
extra_stale20,2024-01-01,2055,285,2023-12-30,58
extra_stale20,2024-04-01,2340,300,2024-03-30,58
extra_stale20,2024-07-01,2640,325,2024-06-29,58
extra_stale20,2024-10-01,2965,330,2024-09-28,58
extra_stale20,2025-01-01,3295,285,2024-12-29,58
extra_stale20,2025-04-01,3580,295,2025-03-29,58
extra_stale20,2025-07-01,3875,330,2025-06-28,58
extra_stale20,2025-10-01,4205,325,2025-09-30,58
extra_stale20,2026-01-01,4530,270,2025-12-31,58
extra_stale20,2026-04-01,4800,310,2026-03-31,58
extra_stale20,2026-07-01,5110,205,2026-06-30,58
