convention,candidate,year,n_train,last_train_date,last_mature20,n_test,embargo_calendar_days
effective,logit7y,2016,3098,2015-12-02,2015-12-29,1235,2
effective,hist7y,2016,3098,2015-12-02,2015-12-29,1235,2
effective,extra7y,2016,3098,2015-12-02,2015-12-29,1235,2
effective,extra3y,2016,1932,2015-12-02,2015-12-29,1235,2
effective,local_logit7y,2016,3098,2015-12-02,2015-12-29,1235,2
effective,quantile7y,2016,6076,2015-12-02,2015-12-29,1235,2
effective,logit7y,2017,3689,2016-12-02,2016-12-29,1235,2
effective,hist7y,2017,3689,2016-12-02,2016-12-29,1235,2
effective,extra7y,2017,3689,2016-12-02,2016-12-29,1235,2
effective,extra3y,2017,1860,2016-12-02,2016-12-29,1235,2
effective,local_logit7y,2017,3689,2016-12-02,2016-12-29,1235,2
effective,quantile7y,2017,7316,2016-12-02,2016-12-29,1235,2
effective,logit7y,2018,4261,2017-12-04,2017-12-29,1235,2
effective,hist7y,2018,4261,2017-12-04,2017-12-29,1235,2
effective,extra7y,2018,4261,2017-12-04,2017-12-29,1235,2
effective,extra3y,2018,1722,2017-12-04,2017-12-29,1235,2
effective,local_logit7y,2018,4261,2017-12-04,2017-12-29,1235,2
effective,quantile7y,2018,8556,2017-12-04,2017-12-29,1235,2
effective,logit7y,2019,4317,2018-12-04,2018-12-29,1235,2
effective,hist7y,2019,4317,2018-12-04,2018-12-29,1235,2
effective,extra7y,2019,4317,2018-12-04,2018-12-29,1235,2
effective,extra3y,2019,1734,2018-12-04,2018-12-29,1235,2
effective,local_logit7y,2019,4317,2018-12-04,2018-12-29,1235,2
effective,quantile7y,2019,8560,2018-12-04,2018-12-29,1235,2
effective,logit7y,2020,4334,2019-12-02,2019-12-27,1215,2
effective,hist7y,2020,4334,2019-12-02,2019-12-27,1215,2
effective,extra7y,2020,4334,2019-12-02,2019-12-27,1215,2
effective,extra3y,2020,1781,2019-12-02,2019-12-27,1215,2
effective,local_logit7y,2020,4334,2019-12-02,2019-12-27,1215,2
effective,quantile7y,2020,8540,2019-12-02,2019-12-27,1215,2
effective,logit7y,2021,4265,2020-12-01,2020-12-28,1235,2
effective,hist7y,2021,4265,2020-12-01,2020-12-28,1235,2
effective,extra7y,2021,4265,2020-12-01,2020-12-28,1235,2
effective,extra3y,2021,1798,2020-12-01,2020-12-28,1235,2
effective,local_logit7y,2021,4265,2020-12-01,2020-12-28,1235,2
effective,quantile7y,2021,8520,2020-12-02,2020-12-29,1235,2
effective,logit7y,2022,4143,2021-12-02,2021-12-29,1235,2
effective,hist7y,2022,4143,2021-12-02,2021-12-29,1235,2
effective,extra7y,2022,4143,2021-12-02,2021-12-29,1235,2
effective,extra3y,2022,1723,2021-12-02,2021-12-29,1235,2
effective,local_logit7y,2022,4143,2021-12-02,2021-12-29,1235,2
effective,quantile7y,2022,8525,2021-12-02,2021-12-29,1235,2
effective,logit7y,2023,4112,2022-12-02,2022-12-29,1235,2
effective,hist7y,2023,4112,2022-12-02,2022-12-29,1235,2
effective,extra7y,2023,4112,2022-12-02,2022-12-29,1235,2
effective,extra3y,2023,1738,2022-12-02,2022-12-29,1235,2
effective,local_logit7y,2023,4112,2022-12-02,2022-12-29,1235,2
effective,quantile7y,2023,8525,2022-12-02,2022-12-29,1235,2
effective,logit7y,2024,4281,2023-12-04,2023-12-29,1240,2
effective,hist7y,2024,4281,2023-12-04,2023-12-29,1240,2
effective,extra7y,2024,4281,2023-12-04,2023-12-29,1240,2
effective,extra3y,2024,1861,2023-12-04,2023-12-29,1240,2
effective,local_logit7y,2024,4281,2023-12-04,2023-12-29,1240,2
effective,quantile7y,2024,8530,2023-12-04,2023-12-29,1240,2
effective,logit7y,2025,4385,2024-11-28,2024-12-25,1235,2
effective,hist7y,2025,4385,2024-11-28,2024-12-25,1235,2
effective,extra7y,2025,4385,2024-11-28,2024-12-25,1235,2
effective,extra3y,2025,1951,2024-11-28,2024-12-25,1235,2
effective,local_logit7y,2025,4385,2024-11-28,2024-12-25,1235,2
effective,quantile7y,2025,8535,2024-12-03,2024-12-28,1235,2
effective,logit7y,2026,4287,2025-12-02,2025-12-29,810,2
effective,hist7y,2026,4287,2025-12-02,2025-12-29,810,2
effective,extra7y,2026,4287,2025-12-02,2025-12-29,810,2
effective,extra3y,2026,1898,2025-12-02,2025-12-29,810,2
effective,local_logit7y,2026,4287,2025-12-02,2025-12-29,810,2
effective,quantile7y,2026,8530,2025-12-02,2025-12-29,810,2
publication,logit7y,2016,6071,2015-12-01,2015-12-29,1235,2
publication,hist7y,2016,6071,2015-12-01,2015-12-29,1235,2
publication,extra7y,2016,6071,2015-12-01,2015-12-29,1235,2
publication,extra3y,2016,3595,2015-12-01,2015-12-29,1235,2
publication,local_logit7y,2016,6071,2015-12-01,2015-12-29,1235,2
publication,quantile7y,2016,6071,2015-12-01,2015-12-29,1235,2
publication,logit7y,2017,7311,2016-12-01,2016-12-29,1235,2
publication,hist7y,2017,7311,2016-12-01,2016-12-29,1235,2
publication,extra7y,2017,7311,2016-12-01,2016-12-29,1235,2
publication,extra3y,2017,3600,2016-12-01,2016-12-29,1235,2
publication,local_logit7y,2017,7311,2016-12-01,2016-12-29,1235,2
publication,quantile7y,2017,7311,2016-12-01,2016-12-29,1235,2
publication,logit7y,2018,8551,2017-12-01,2017-12-29,1235,2
publication,hist7y,2018,8551,2017-12-01,2017-12-29,1235,2
publication,extra7y,2018,8551,2017-12-01,2017-12-29,1235,2
publication,extra3y,2018,3605,2017-12-01,2017-12-29,1235,2
publication,local_logit7y,2018,8551,2017-12-01,2017-12-29,1235,2
publication,quantile7y,2018,8551,2017-12-01,2017-12-29,1235,2
publication,logit7y,2019,8555,2018-12-03,2018-12-29,1235,2
publication,hist7y,2019,8555,2018-12-03,2018-12-29,1235,2
publication,extra7y,2019,8555,2018-12-03,2018-12-29,1235,2
publication,extra3y,2019,3605,2018-12-03,2018-12-29,1235,2
publication,local_logit7y,2019,8555,2018-12-03,2018-12-29,1235,2
publication,quantile7y,2019,8555,2018-12-03,2018-12-29,1235,2
publication,logit7y,2020,8535,2019-11-29,2019-12-27,1215,2
publication,hist7y,2020,8535,2019-11-29,2019-12-27,1215,2
publication,extra7y,2020,8535,2019-11-29,2019-12-27,1215,2
publication,extra3y,2020,3595,2019-11-29,2019-12-27,1215,2
publication,local_logit7y,2020,8535,2019-11-29,2019-12-27,1215,2
publication,quantile7y,2020,8535,2019-11-29,2019-12-27,1215,2
publication,logit7y,2021,8515,2020-12-01,2020-12-29,1235,2
publication,hist7y,2021,8515,2020-12-01,2020-12-29,1235,2
publication,extra7y,2021,8515,2020-12-01,2020-12-29,1235,2
publication,extra3y,2021,3575,2020-12-01,2020-12-29,1235,2
publication,local_logit7y,2021,8515,2020-12-01,2020-12-29,1235,2
publication,quantile7y,2021,8515,2020-12-01,2020-12-29,1235,2
publication,logit7y,2022,8520,2021-12-01,2021-12-29,1235,2
publication,hist7y,2022,8520,2021-12-01,2021-12-29,1235,2
publication,extra7y,2022,8520,2021-12-01,2021-12-29,1235,2
publication,extra3y,2022,3580,2021-12-01,2021-12-29,1235,2
publication,local_logit7y,2022,8520,2021-12-01,2021-12-29,1235,2
publication,quantile7y,2022,8520,2021-12-01,2021-12-29,1235,2
publication,logit7y,2023,8520,2022-12-01,2022-12-29,1235,2
publication,hist7y,2023,8520,2022-12-01,2022-12-29,1235,2
publication,extra7y,2023,8520,2022-12-01,2022-12-29,1235,2
publication,extra3y,2023,3580,2022-12-01,2022-12-29,1235,2
publication,local_logit7y,2023,8520,2022-12-01,2022-12-29,1235,2
publication,quantile7y,2023,8520,2022-12-01,2022-12-29,1235,2
publication,logit7y,2024,8525,2023-12-01,2023-12-29,1240,2
publication,hist7y,2024,8525,2023-12-01,2023-12-29,1240,2
publication,extra7y,2024,8525,2023-12-01,2023-12-29,1240,2
publication,extra3y,2024,3605,2023-12-01,2023-12-29,1240,2
publication,local_logit7y,2024,8525,2023-12-01,2023-12-29,1240,2
publication,quantile7y,2024,8525,2023-12-01,2023-12-29,1240,2
publication,logit7y,2025,8530,2024-12-02,2024-12-28,1235,2
publication,hist7y,2025,8530,2024-12-02,2024-12-28,1235,2
publication,extra7y,2025,8530,2024-12-02,2024-12-28,1235,2
publication,extra3y,2025,3610,2024-12-02,2024-12-28,1235,2
publication,local_logit7y,2025,8530,2024-12-02,2024-12-28,1235,2
publication,quantile7y,2025,8530,2024-12-02,2024-12-28,1235,2
publication,logit7y,2026,8525,2025-12-01,2025-12-29,810,2
publication,hist7y,2026,8525,2025-12-01,2025-12-29,810,2
publication,extra7y,2026,8525,2025-12-01,2025-12-29,810,2
publication,extra3y,2026,3605,2025-12-01,2025-12-29,810,2
publication,local_logit7y,2026,8525,2025-12-01,2025-12-29,810,2
publication,quantile7y,2026,8525,2025-12-01,2025-12-29,810,2
