candidate,horizon_lift_min,horizon_lift_mean,symmetric_benefit_min,future_benefit_min
full_a10_b01_negative_innovation,0.8288409436984594,0.9290944520232705,11.677846463993832,-4.771205299993455
full_a10_b01_next_gap,0.8246454767726162,0.8971904301970941,11.541650819134505,-5.003578526663423
full_a10_b01_positive_slope,0.3244544455492176,0.6867698184039273,-126.10664658697763,-55.711519102332765
full_a10_b01_rebound,0.8235456899448519,0.9032188644795752,11.60700150745544,-4.972761383634697
full_a20_b03_negative_innovation,0.7798279442301987,0.8749316580192967,13.14470437292598,-9.249210306945502
full_a20_b03_next_gap,0.6500853450377957,0.8332690290953947,5.604907787596147,-11.529141784954092
full_a20_b03_positive_slope,0.669031323375131,0.9753105703248319,-112.42700904628114,-28.38906387310889
full_a20_b03_rebound,0.7024225623719416,0.8544213829972762,12.577727301720998,-9.3564748271786
full_a40_b08_negative_innovation,1.0226157348848977,1.1246637478049952,7.630122953310159,-15.31543319332905
full_a40_b08_next_gap,0.9948624111478641,1.0792885905708847,-16.85868882730111,-14.484218701529192
full_a40_b08_positive_slope,0.6159879730701353,0.8583370064497362,-99.60154843570476,-9.628415860287372
full_a40_b08_rebound,0.953167259786477,1.0589004331670284,-14.72941178389038,-15.805617813420028
reset2022_a10_b01_negative_innovation,0.8288409436984594,0.9290944520232705,11.677846463993832,-4.771205299993455
reset2022_a10_b01_next_gap,0.8246454767726162,0.8971904301970941,11.541650819134505,-5.003578526663423
reset2022_a10_b01_positive_slope,0.3244544455492176,0.6867698184039273,-126.10664658697763,-55.711519102332765
reset2022_a10_b01_rebound,0.8235456899448519,0.9032188644795752,11.60700150745544,-4.972761383634697
reset2022_a20_b03_negative_innovation,0.7798279442301987,0.8749316580192967,13.14470437292598,-9.249210306945502
reset2022_a20_b03_next_gap,0.6500853450377957,0.8332690290953947,5.604907787596147,-11.529141784954092
reset2022_a20_b03_positive_slope,0.669031323375131,0.9753105703248319,-112.42700904628114,-28.38906387310889
reset2022_a20_b03_rebound,0.7024225623719416,0.8544213829972762,12.577727301720998,-9.3564748271786
reset2022_a40_b08_negative_innovation,1.0226157348848977,1.1246637478049952,7.630122953310159,-15.31543319332905
reset2022_a40_b08_next_gap,0.9948624111478641,1.0792885905708847,-16.85868882730111,-14.484218701529192
reset2022_a40_b08_positive_slope,0.6159879730701353,0.8583370064497362,-99.60154843570476,-9.628415860287372
reset2022_a40_b08_rebound,0.953167259786477,1.0589004331670284,-14.72941178389038,-15.805617813420028
