candidate,period,kind,rate,memory,horizon,case_lift,matched_random_day_rate,macro_corridor_year_lift,symmetric_benefit_bps,future_only_benefit_bps,n_signals
default,retrospective_2025,rolling,0.22,20,1,1.6320081831250692,0.46343463332137547,1.6356200452647034,18.45935618673006,66.6909721255278,316
default,retrospective_2025,rolling,0.22,20,3,2.036264528335886,0.2844001434940809,2.0371470876551543,34.24545115341266,70.17735775246841,316
default,retrospective_2025,rolling,0.22,20,5,2.065574715958244,0.22214677394557478,2.0719428304409515,41.07254728398513,64.1844585857615,316
default,retrospective_2025,rolling,0.22,20,10,2.164786532454009,0.14764515963716496,2.164989967566919,49.02196414868605,45.90956617704427,316
default,retrospective_2025,rolling,0.22,20,20,2.132987910189983,0.09643570952698201,2.1024480517572797,62.98428476592117,10.081362220821005,316
default,retrospective_2026,rolling,0.22,20,1,1.612046152217635,0.5495157490620365,1.6197286807965927,17.35559496507539,75.46700153640572,219
default,retrospective_2026,rolling,0.22,20,3,1.7884643114635903,0.4033970276008493,1.792033386814498,27.082538428996706,97.80766158055724,219
default,retrospective_2026,rolling,0.22,20,5,1.8030510798765853,0.33935375039990695,1.8096384650119777,33.91184360769942,115.74108977325565,219
default,retrospective_2026,rolling,0.22,20,10,1.7482325630473778,0.29134899163797345,1.7550509902993494,44.1879314135016,149.0058434424759,214
default,retrospective_2026,rolling,0.22,20,20,1.7154362416107383,0.2459286971830986,1.7220429717577428,82.34207651596454,193.49728753618788,192
default,combined_2025_2026,rolling,0.22,20,1,1.6230036627345803,0.49867157602643114,1.627674363030648,18.007536172632168,70.28340285633575,535
default,combined_2025_2026,rolling,0.22,20,3,1.9134256869073194,0.333111017549001,1.914590237234826,31.313342954072297,81.4877064222842,535
default,combined_2025_2026,rolling,0.22,20,5,1.9305707003955412,0.27012495683061916,1.9407906477264647,38.141343349206494,85.28894873540864,535
default,combined_2025_2026,rolling,0.22,20,10,1.9265250031338068,0.20566897104881215,1.9600204789331344,47.07010942164931,87.53711963893554,530
default,combined_2025_2026,rolling,0.22,20,20,1.8792155066718188,0.15293699620015994,1.912245511757511,70.30061550609504,79.40391667072346,508
selected,retrospective_2025,exponential,0.3,40,1,1.575729338398681,0.46423381953302645,1.5829756877383945,12.579121967232865,56.11822403728994,365
selected,retrospective_2025,exponential,0.3,40,3,1.928263487008195,0.28558593533359217,1.9375411164358898,26.399377489172373,63.71230214502902,365
selected,retrospective_2025,exponential,0.3,40,5,2.0093253968253966,0.2236148854750153,2.0290591716081314,35.71296221379524,65.04141616390595,365
selected,retrospective_2025,exponential,0.3,40,10,2.1521447721179627,0.1489434862181798,2.152215472847981,41.410619445179634,54.63311805794701,365
selected,retrospective_2025,exponential,0.3,40,20,2.0758659852356613,0.09766513227219789,2.047377296576566,48.17788257424508,37.08639129118948,365
selected,retrospective_2026,exponential,0.3,40,1,1.6156659295798603,0.5506744098913451,1.6248102355617775,16.575379325485738,73.49666576572892,272
selected,retrospective_2026,exponential,0.3,40,3,1.7751942479415515,0.40384975646309484,1.7800923595221128,25.13815333437643,98.27180771868282,272
selected,retrospective_2026,exponential,0.3,40,5,1.825832645196807,0.3402959910078681,1.8353134899392356,30.925701936797623,117.13502646010846,272
selected,retrospective_2026,exponential,0.3,40,10,1.7549300522501265,0.292381233983836,1.7683561670833794,31.246610209104336,151.3767505131744,267
selected,retrospective_2026,exponential,0.3,40,20,1.6667864414899987,0.2470410699491064,1.678940277643478,50.02779489190065,199.14446210188814,238
selected,combined_2025_2026,exponential,0.3,40,1,1.5944677488916443,0.5011440873155424,1.6038929616500859,14.285530132766276,63.53884593703154,637
selected,combined_2025_2026,exponential,0.3,40,3,1.849723941377789,0.3360847726133797,1.8588167379790015,25.860832795130783,78.46926527852013,637
selected,combined_2025_2026,exponential,0.3,40,5,1.9118159917708493,0.2734379007103935,1.9321863307736837,33.668794560194996,87.28546953999242,637
selected,combined_2025_2026,exponential,0.3,40,10,1.917992066706919,0.20954139547993644,1.96028581996568,37.11664718879972,95.5042412629244,632
selected,combined_2025_2026,exponential,0.3,40,20,1.8211937583339295,0.15662279921598599,1.8631587871100224,48.908030387847106,101.04960995279194,603
