candidate,period,kind,rate,memory,horizon_lift_min,horizon_lift_mean,symmetric_benefit_min,future_benefit_min,frequency,corridor_frequency_min,quarter_frequency_min
default,retrospective_2025,rolling,0.22,20,1.6320081831250692,2.006324374012638,18.45935618673006,10.081362220821005,1.2461971830985916,1.2028169014084507,1.1666666666666667
default,retrospective_2026,rolling,0.22,20,1.612046152217635,1.7334460696431855,17.35559496507539,75.46700153640572,1.3626666666666665,1.3066666666666666,1.0733333333333333
default,combined_2025_2026,rolling,0.22,20,1.6230036627345803,1.8545481119686134,18.007536172632168,70.28340285633575,1.2630691399662732,1.2158516020236088,1.0733333333333333
selected,retrospective_2025,exponential,0.3,40,1.575729338398681,1.9482657959171796,12.579121967232865,37.08639129118948,1.43943661971831,1.380281690140845,0.8256410256410256
selected,retrospective_2026,exponential,0.3,40,1.6156659295798603,1.727681863291669,16.575379325485738,73.49666576572892,1.6924444444444442,1.5555555555555554,0.9488888888888888
selected,combined_2025_2026,exponential,0.3,40,1.5944677488916443,1.8190387014162261,14.285530132766276,63.53884593703154,1.503878583473862,1.4755480607082632,0.8256410256410256
