policy,kind,rate,memory,horizon,case_lift,matched_random_day_rate,macro_corridor_year_lift,symmetric_benefit_bps,future_only_benefit_bps,n_signals
rolling_r18_m010,rolling,0.18,10,1,1.3822218005881797,0.543182520869834,1.379907334842728,1.3450826642060936,44.30466670188861,313
rolling_r18_m010,rolling,0.18,10,3,1.476676097111652,0.3916056889621767,1.47535744400828,12.164478893046935,58.634371600724,313
rolling_r18_m010,rolling,0.18,10,5,1.524434941967013,0.33742141605688963,1.519572470823285,21.158713877056545,66.65312147692835,313
rolling_r18_m010,rolling,0.18,10,10,1.4138839649307717,0.26889879418736473,1.404616156855104,29.54036098316558,74.50250101541533,313
rolling_r18_m010,rolling,0.18,10,20,1.4261655370712671,0.18817633721529423,1.4243173212456322,37.39462217605527,91.59788964047853,313
rolling_r18_m015,rolling,0.18,15,1,1.4334893475536459,0.5436457174638487,1.433812820123147,3.0685035215091823,46.46512511590101,290
rolling_r18_m015,rolling,0.18,15,3,1.5652235577775413,0.3921440489432703,1.5636852353147954,12.933399210119303,57.499762404857634,290
rolling_r18_m015,rolling,0.18,15,5,1.6217816895615698,0.3380700778642936,1.6162580582966712,19.932458693497733,63.53525162606228,290
rolling_r18_m015,rolling,0.18,15,10,1.5731009231086588,0.26961902113459396,1.5613410359521545,24.673183586116714,76.50060627458826,290
rolling_r18_m015,rolling,0.18,15,20,1.735671135995285,0.18873748609566185,1.730956879072855,43.29208963908188,102.68884606480695,290
rolling_r18_m020,rolling,0.18,20,1,1.436265709156194,0.5439453125,1.4352844011053445,2.0672650745477434,49.56920377418742,256
rolling_r18_m020,rolling,0.18,20,3,1.5820895522388059,0.392578125,1.5797551219680377,11.4903920187826,61.925922514575596,256
rolling_r18_m020,rolling,0.18,20,5,1.6148837209302327,0.33864667338709675,1.6035629370928777,20.71246946302297,71.36200788924643,256
rolling_r18_m020,rolling,0.18,20,10,1.4329403525154663,0.2698777721774194,1.4200556485326832,26.314233923012985,82.53992877429086,256
