policy,kind,rate,memory,horizon_lift_min,horizon_lift_mean,symmetric_benefit_min,future_benefit_min,frequency,corridor_frequency_min,quarter_frequency_min
rolling_r18_m010,rolling,0.18,10,1.3822218005881797,1.444676468333777,1.3450826642060936,44.30466670188861,1.2378531073446328,1.1666666666666667,1.0022727272727272
rolling_r18_m015,rolling,0.18,15,1.4334893475536459,1.5858533307993403,3.0685035215091823,46.46512511590101,1.1468926553672316,1.0875706214689267,0.9545454545454546
rolling_r18_m020,rolling,0.18,20,1.4329403525154663,1.5315555869214652,2.0672650745477434,49.56920377418742,1.0124293785310736,0.9491525423728814,0.755056179775281
rolling_r18_m030,rolling,0.18,30,1.3250080463469587,1.4378392532621649,0.9577089380956888,51.86193475242278,0.9175141242937853,0.8700564971751413,0.6921348314606742
rolling_r18_m040,rolling,0.18,40,1.3816155988857939,1.4829520296444545,-0.6703568601581287,47.71675555480355,0.7830508474576272,0.711864406779661,0.4719101123595506
rolling_r18_m060,rolling,0.18,60,1.5077162899454402,1.749311378973435,2.6322928864428365,49.60754881730041,0.7514124293785311,0.672316384180791,0.42
rolling_r18_m090,rolling,0.18,90,1.5628026203360867,1.7742047685534916,3.117818705884246,55.55052154700541,0.8225988700564972,0.731638418079096,0.44545454545454544
rolling_r20_m010,rolling,0.2,10,1.3787126004071002,1.444578486708136,1.843409859482951,44.3351691257274,1.340677966101695,1.2853107344632768,1.0977272727272729
rolling_r20_m015,rolling,0.2,15,1.4176920841003784,1.5581487985280569,3.4539585455478434,46.71273924949001,1.2101694915254237,1.1468926553672316,1.0022727272727272
rolling_r20_m020,rolling,0.2,20,1.4336816392997693,1.5243423927297144,2.2308388874917315,48.20462736796315,1.0796610169491525,1.0084745762711864,0.7865168539325843
rolling_r20_m030,rolling,0.2,30,1.400470588235294,1.4702636048468125,1.062773554825962,50.64604274875756,1.0005649717514125,0.8898305084745763,0.7636363636363637
rolling_r20_m040,rolling,0.2,40,1.3873897591154403,1.479064169372902,-0.44131867808604386,45.90585868379984,0.8937853107344633,0.7909604519774012,0.597752808988764
rolling_r20_m060,rolling,0.2,60,1.5031855907979477,1.7407086564431342,2.7599199261444207,49.025673015691645,0.8502824858757062,0.7711864406779662,0.525
rolling_r20_m090,rolling,0.2,90,1.5587480759363779,1.7815258842780406,2.9042562121619433,56.16560198501204,0.9135593220338984,0.8107344632768362,0.46136363636363636
rolling_r22_m010,rolling,0.22,10,1.3758809871165267,1.4596582032915613,2.010334106992845,43.35552976285338,1.4276836158192092,1.384180790960452,1.1454545454545455
rolling_r22_m015,rolling,0.22,15,1.4217290799815072,1.5474205627276028,3.2783272049553727,45.725011730918894,1.269491525423729,1.2457627118644068,1.065909090909091
rolling_r22_m020,rolling,0.22,20,1.424175824175824,1.478091009096385,2.039553329844701,46.38983128414809,1.1903954802259888,1.1468926553672316,0.9438202247191012
rolling_r22_m030,rolling,0.22,30,1.4001992693457324,1.4706757264952777,1.7997421535214961,49.27597820575322,1.0638418079096046,0.9491525423728814,0.8272727272727273
rolling_r22_m040,rolling,0.22,40,1.4243868818562977,1.4990038162929538,-0.17737647568381829,45.64169107083232,1.0203389830508476,0.9491525423728814,0.6649999999999999
rolling_r22_m060,rolling,0.22,60,1.4855888348753332,1.6849105485547575,2.546007736120213,47.077685127126784,0.9333333333333335,0.8107344632768362,0.6045454545454545
