rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,candidate
0.2,1176,2.2930362116991643,0,0,0.37329931972789115,0.32793522267206476,1.1383324934912238,0.5939428082701175,49.63134917091153,1.1008568661552949,1.130410625475756,2,2,1.7451253481894151,2.651810584958217,1.0351851851851852,0.9718189581554227,anchor_pct90
0.2,759,1.4799442896935935,120,0,0.37417654808959155,0.32793522267206476,1.1410074984954213,0.5939428082701175,60.24628974823706,1.079435587670093,1.2105752695876602,2,2,1.3161559888579388,1.5988857938718664,1.0356394129979036,0.9416445623342176,anchor_pct90
0.2,774,1.5091922005571032,250,0,0.3992248062015504,0.32793522267206476,1.2173892238491721,0.5939428082701175,73.65037645807678,1.1680175708736193,1.203925802316452,2,2,1.4428969359331476,1.6476323119777159,1.0573710965867829,0.9479843953185956,anchor_pct90
0.2,836,1.63008356545961,500,0,0.39473684210526316,0.32793522267206476,1.2037037037037037,0.5939428082701175,73.34507404070824,1.186739269698911,1.213819313650312,2,2,1.394150417827298,1.7451253481894151,1.0328988206083178,0.9494584837545126,anchor_pct90
0.2,342,0.6668523676880224,250,3,0.4064327485380117,0.32793522267206476,1.239368998628258,0.5939428082701175,58.2993690273011,1.2182710583932825,1.2348466150247006,2,2,0.6239554317548747,0.692200557103064,1.0317460317460319,0.8783382789317508,anchor_pct90
0.2,209,0.4075208913649025,250,5,0.40669856459330145,0.32793522267206476,1.2401795735129069,0.5939428082701175,66.71486508360782,1.1539809227175393,1.2498266954194936,2,2,0.3802228412256268,0.4192200557103064,0.9405684754521965,0.7647058823529411,anchor_pct90
0.25,1315,2.564066852367688,0,0,0.37566539923954373,0.32793522267206476,1.1455475754588555,0.5939428082701175,46.159853815997415,1.110190270547935,1.1361256841394765,2,2,2.1643454038997216,2.9637883008356547,1.0607638888888888,0.9786259541984733,anchor_pct90
0.25,904,1.762674094707521,120,0,0.372787610619469,0.32793522267206476,1.1367720965803563,0.5939428082701175,63.28922978163645,1.0987986327535941,1.2023720607128532,2,2,1.6573816155988859,1.871866295264624,1.0957854406130267,0.9566184649610678,anchor_pct90
0.25,912,1.7782729805013928,250,0,0.38706140350877194,0.32793522267206476,1.1802983539094651,0.5939428082701175,69.80787885003127,1.16731232610461,1.1722614992046014,2,2,1.6573816155988859,1.9011142061281336,1.07168458781362,0.9592061742006616,anchor_pct90
0.25,1009,1.9674094707520893,500,0,0.37661050545094155,0.32793522267206476,1.148429566004723,0.5939428082701175,63.06681750968905,1.133771392962856,1.15304653888413,2,2,1.7061281337047354,2.0766016713091924,1.0579029733959313,0.9651394422310757,anchor_pct90
0.25,396,0.7721448467966574,250,3,0.3939393939393939,0.32793522267206476,1.2012719790497568,0.5939428082701175,59.013677693503205,1.1425438140579196,1.2061115571747325,2,2,0.7116991643454039,0.8384401114206128,1.1137884872824633,0.9002557544757033,anchor_pct90
0.25,232,0.4523676880222841,250,5,0.39655172413793105,0.32793522267206476,1.2092379736057899,0.5939428082701175,62.06037994692323,1.0621511566679538,1.2348259096353287,2,2,0.4192200557103064,0.4972144846796657,1.0231481481481481,0.7973568281938326,anchor_pct90
0.3,1405,2.7395543175487465,0,0,0.37651245551601425,0.32793522267206476,1.148130574227846,0.5939428082701175,41.15921339711935,1.114754052830524,1.1366506466339668,2,2,2.437325905292479,3.071030640668524,1.0582010582010581,0.9785714285714285,anchor_pct90
0.3,993,1.9362116991643454,120,0,0.3806646525679758,0.32793522267206476,1.160792212151729,0.5939428082701175,60.34434094763883,1.1388425749122104,1.2179459885746133,2,2,1.8231197771587744,2.066852367688022,1.0738801628853984,0.9655870445344129,anchor_pct90
0.3,1022,1.992757660167131,250,0,0.38943248532289626,0.32793522267206476,1.1875286898117947,0.5939428082701175,68.12524785780569,1.1720118746350008,1.1836735758014654,2,2,1.8231197771587744,2.183844011142061,1.060654857756307,0.9665683382497542,anchor_pct90
0.3,1162,2.265738161559889,500,0,0.3803786574870912,0.32793522267206476,1.159920103695204,0.5939428082701175,60.94177523207522,1.1604535721238076,1.1630330320469806,2,2,1.998607242339833,2.4275766016713094,1.0548639926233288,0.9706136560069144,anchor_pct90
0.3,436,0.8501392757660168,250,3,0.3967889908256881,0.32793522267206476,1.2099614905425304,0.5939428082701175,59.32207854606977,1.1350457637717686,1.219056964906848,2,2,0.7799442896935933,0.9066852367688022,1.1111111111111112,0.9164733178654292,anchor_pct90
0.3,251,0.4894150417827298,250,5,0.3705179282868526,0.32793522267206476,1.129850966504353,0.5939428082701175,53.42530652310741,1.009366265099629,1.1497876029093868,2,2,0.44846796657381616,0.5264623955431755,0.9266247379454926,0.8170731707317073,anchor_pct90
0.35,1491,2.907242339832869,0,0,0.3762575452716298,0.32793522267206476,1.147353255334476,0.5939428082701175,39.211730878596214,1.1153195745998121,1.130229575372409,2,2,2.5153203342618387,3.383008356545961,1.0735735735735736,0.9838492597577388,anchor_pct90
